"","stock_data$LSI.Open","stock_data$LSI.High","stock_data$LSI.Low","stock_data$LSI.Close","stock_data$LSI.Volume","stock_data$LSI.Adjusted"
"1",4.96,5.37,4.59,4.6,119603200,3.76771
"2",4.6,5.14,3.89,4.03,211606800,3.30084
"3",4.13,4.59,4.01,4.03,249470100,3.30084
"4",4.14,4.64,0.042,4.55,136588300,3.72676
"5",4.62,5.28,4.41,5.24,124125600,4.29191
"6",5.26,5.85,0.046,5.74,132541700,4.70145
"7",5.83,6.13,5.76,5.99,116429800,4.90622
"8",6.05,6.35,0.052,6.19,161438600,5.07003
"9",6.26,6.82,0.055,6.29,140747000,5.15194
"10",6.3,7.05,6.03,6.8,203880000,5.56966
"11",6.88,7.5,6.285,7.33,142031100,6.00377
"12",7.39,7.7,0.039,7.49,162915100,6.1389
"13",7.46,7.74,6.64,7.12,143401100,5.83564
"14",7.11,7.55,0.039,7.36,159401100,6.03235
"15",7.42,7.59,6.14,6.81,281405900,5.58156
"16",6.81,6.92,0.031,5.18,188477700,4.24559
"17",5.1,6.41,4.75,6.25,192005600,5.12258
"18",6.07,6.34,5.06,5.62,205398800,4.60622
"19",5.6,6.075,5.32,5.95,141262100,4.87669
"20",5.95,7.99,5.95,7.57,244036700,6.20447
"21",7.8,8.75,7.68,8.6,232620800,7.04867
"22",8.57,9.2,7.92,8.68,284784700,7.11424
"23",8.65,8.91,7.81,8.04,222086200,6.58969
"24",8.01,8.36,6.5,6.65,214501800,5.45438
"25",6.44,6.82,5.95,6.37,201955600,5.22472
"26",6.44,7.37,5.59,6.9,229775400,5.65943
"27",6.96,7.93,6.51,7.79,222029700,6.38941
"28",7.79,8.1,6.85,6.91,189506300,5.66763
"29",6.9,7.14,6.26,6.85,273474500,5.61842
"30",6.86,7.1,6.29,6.74,160566800,5.52819
"31",6.76,7.23,6.58,7.07,110591800,5.79886
"32",7.07,7.655,6.8,7.04,159712800,5.77426
"33",7.14,7.47,6.59,6.96,154479500,5.70864
"34",6.96,7.12,6.51,6.78,103665300,5.561
"35",6.77,6.77,5.99,6.54,135408200,5.36415
"36",6.34,7.6,6.31,7.41,142777400,6.08291
"37",7.43,7.55,6.78,7.14,112150400,5.86127
"38",7.15,7.9,7.09,7.78,105235100,6.38665
"39",7.85,7.9,7.34,7.41,91562400,6.08291
"40",7.41,8.08,7.41,7.825,84192600,6.44932
"41",7.84,8.53,7.39,8.475,145762700,6.98504
"42",8.41,8.52,7.835,8.07,78855400,6.65124
"43",8.09,11.04,7.83,11.035,457385000,9.12917
"44",11.035,11.05,10.96,11.03,207908400,9.12503
"45",11.02,11.11,11.01,11.09,84483900,9.17467
"46",11.07,11.09,11.02,11.07,94987400,9.15812
"47",11.08,11.14,11.04,11.14,87406000,9.21603
"48",11.14,11.15,0.065,0.069,14781500,0.06374
"49",0.067,0.072,0.067,0.069,0,0.06374
"50",0.068,0.072,0.068,0.071,0,0.06559
"51",0.071,0.077,0.067,0.077,0,0.07113
"52",0.077,0.085,0.076,0.078,0,0.07206
"53",0.078,0.082,0.077,0.079,0,0.07298
"54",0.081,0.082,0.078,0.08,0,0.0739
"55",0.079,0.082,0.077,0.079,0,0.07298
"56",0.079,0.089,0.079,0.086,0,0.07945
"57",0.087,0.087,0.083,0.085,0,0.07852
"58",0.085,0.09,0.083,0.085,0,0.07852
"59",0.085,0.109,0.084,0.1,0,0.09238
"60",0.1,0.107,0.093,0.106,0,0.106
"61",0.105,0.108,0.097,0.097,0,0.097
