"","stock_data$JDSU.Open","stock_data$JDSU.High","stock_data$JDSU.Low","stock_data$JDSU.Close","stock_data$JDSU.Volume","stock_data$JDSU.Adjusted"
"1",10.65,11.92,9.79,9.84,83924900,9.84
"2",9.8,11.36,9.05,10.85,102429900,10.85
"3",11.05,11.5,9.09,9.19,124536100,9.19
"4",9.43,12.95,9.32,12.39,113997000,12.39
"5",12.58,13,10.18,10.5,101176200,10.5
"6",10.61,12.35,10.26,11.87,101381500,11.87
"7",12.11,14.7,12.02,14.48,73318600,14.48
"8",14.74,17.85,14.52,16.969999,118392200,16.969999
"9",17.110001,29.120001,17.09,24.67,431345500,24.67
"10",24.940001,27.549999,18.52,20.84,450180100,20.84
"11",20.43,21.379999,17.83,20.84,260486600,20.84
"12",21.17,22.4,19.139999,20.190001,218520700,20.190001
"13",20.09,20.75,15.28,16.66,175680300,16.66
"14",16.66,17.09,12.54,13.15,139345700,13.15
"15",13.53,13.9,9.69,12.97,239428400,12.97
"16",13.3,13.73,9.97,9.97,179814500,9.97
"17",9.88,12.72,8.59,12,161265200,12
"18",11.46,12.76,9.56,10.98,130461800,10.98
"19",10.92,11.37,9.22,10.44,93035500,10.44
"20",10.77,13.95,10.44,12.69,106158300,12.69
"21",12.84,15.17,12.08,13.03,177517900,13.03
"22",12.9,15,12.39,14.49,131147300,14.49
"23",14.39,14.75,12.06,12.17,111072700,12.17
"24",12.15,12.43,9.75,10.15,129629100,10.15
"25",9.87,11,9.33,11,92541100,11
"26",10.99,11.3,8.47,9.84,118563600,9.84
"27",9.93,12.05,9.33,11.19,138738100,11.19
"28",11.12,13.6,10.96,12.38,98869400,12.38
"29",12.4,12.44,9.42,9.7,105139600,9.7
"30",9.72,12.18,9.72,12.13,94772400,12.13
"31",12.22,13.66,11.88,13.5,76430400,13.5
"32",13.88,15.14,12.38,14.51,128233000,14.51
"33",14.51,15.63,13.97,14.16,80127500,14.16
"34",14.13,15.55,13.3,13.37,90506600,13.37
"35",13.41,14.25,12.36,13.5,93752900,13.5
"36",13.4,14.15,12.4,13.62,96159200,13.62
"37",13.65,14.9,13,14.39,80305200,14.39
"38",14.42,15.31,14.27,14.67,73073700,14.67
"39",14.79,15.14,12.76,12.83,133470200,12.83
"40",13.1,15.45,12.8,14.71,93943800,14.71
"41",14.73,16.610001,13.08,13.09,105423400,13.09
"42",13.16,13.29,11.83,12.14,88754600,12.14
"43",12.13,13.14,11.7,12.99,126339600,12.99
"44",12.87,13.86,11.68,13.29,110836100,13.29
"45",13.25,14.14,12.51,13.78,77819800,13.78
"46",13.56,14.99,13.2,14,82484700,14
"47",14.06,14.54,12.42,12.67,67245700,12.67
"48",11.82,11.82,10.29,10.97,111005500,10.97
"49",10.97,12.47,10.64,12.47,86343100,12.47
"50",12.49,12.74,11.71,11.87,85873800,11.87
"51",11.86,12.08,10.62,11.55,84214700,11.55
"52",11.53,13.88,10.85,12.8,126836500,12.8
"53",12.8,13.47,11.35,13.46,114029400,13.46
"54",13.47,13.77,12.78,13.34,53912600,13.34
"55",13.31,14.25,12.76,13.72,57813600,13.72
"56",13.78,13.98,12.05,12.15,53212200,12.15
"57",12.15,13.8,12,13.77,55767100,13.77
"58",13.8,14.12,12.86,13.12,50476100,13.12
"59",13.07,13.65,12.63,12.66,52230600,12.66
"60",12.33,13.07,12.04,12.82,51936400,12.82
"61",12.85,13.22,12.62,13,13837000,13
