"","stock_data$TXT.Open","stock_data$TXT.High","stock_data$TXT.Low","stock_data$TXT.Close","stock_data$TXT.Volume","stock_data$TXT.Adjusted"
"1",19.219999,20.65,16.58,16.969999,74142200,16.720542
"2",16.870001,21.4,15.88,20.76,121586700,20.454831
"3",21.25,21.52,16.85,17.07,113703100,16.819073
"4",17.42,20.91,17.379999,20.559999,83040800,20.280007
"5",20.790001,21.809999,19.92,20.82,94041800,20.536467
"6",21,22.9,20.59,22.360001,68303300,22.055496
"7",22.9,24.18,22.690001,23.639999,59483900,23.338225
"8",23.860001,27.35,23.5,26.290001,73624300,25.954398
"9",26.59,28.870001,25.889999,27.09,64452700,26.744185
"10",27.190001,27.76,24.49,27.389999,88519900,27.060165
"11",27.73,28.65,24.469999,26.1,72096900,25.7857
"12",26.26,26.309999,22.02,22.879999,93488100,22.604474
"13",22.74,23.76,20.860001,23.610001,96617600,23.347343
"14",23.700001,25.17,21.26,23.129999,97974700,22.872681
"15",23.42,23.440001,14.66,16.870001,174562200,16.682325
"16",16.940001,19.309999,14.76,17.639999,182762800,17.466877
"17",17.469999,20.41,16.370001,19.42,142378200,19.229408
"18",18.59,19.68,17.23,19.43,86597900,19.23931
"19",19.27,19.709999,16.860001,18.49,75576200,18.328001
"20",18.969999,25.84,18.370001,25.48,121934300,25.256759
"21",25.709999,28.290001,25.33,27.51,86115400,27.268974
"22",27.530001,28.200001,25.27,27.83,68461500,27.607962
"23",27.799999,29.18,25.870001,26.639999,67807800,26.427455
"24",26.58,27.120001,21.969999,23.629999,61288800,23.44147
"25",23.01,26.18,22.360001,24.870001,57659400,24.691718
"26",24.940001,27.040001,22.15,26.049999,79527900,25.863257
"27",26.219999,27.65,24.780001,26.719999,59429100,26.528455
"28",26.620001,28.799999,25.49,26.17,54862600,26.001595
"29",26.290001,26.75,23.52,25.209999,66755500,25.047772
"30",25.290001,26.59,22.879999,23.49,58602700,23.338841
"31",23.620001,24.860001,22.84,24.790001,51919900,24.650832
"32",25.33,29.389999,25.120001,28.76,66509900,28.598544
"33",29.040001,29.75,27.709999,28.85,46879200,28.688039
"34",28.59,31.299999,28.17,29.809999,45656000,29.661996
"35",29.82,30.219999,25.219999,25.75,81426300,25.622154
"36",25.66,28.42,24.870001,26.959999,64289300,26.826146
"37",27.049999,27.41,25.08,26.049999,50560400,25.940132
"38",26.15,29.4,25.360001,27.379999,60726100,27.264522
"39",27.690001,29.129999,26.540001,26.940001,45809500,26.826379
"40",27.33,29.809999,27.07,27.610001,46849500,27.512206
"41",27.6,29.4,26.17,28.790001,51814000,28.688027
"42",28.799999,33.790001,28.66,33.23,44483400,33.112299
"43",33.25,37.43,31.33,36.759998,55768600,36.652533
"44",36.75,39.240002,34.66,35.5,59658600,35.396218
"45",35.560001,40.080002,33.82,39.700001,39896700,39.583941
"46",39.099998,40.549999,37.450001,39.290001,35784400,39.195125
"47",39.450001,40.900002,36.759998,40.900002,35363600,40.801238
"48",38.82,40.369999,37.919998,39.220001,39872700,39.125294
"49",39.209999,41.150002,37.540001,38.290001,26800100,38.216284
"50",38.389999,40.25,36.290001,36.369999,44974600,36.299978
"51",36.189999,39.200001,35.779999,38,31909300,37.926841
"52",38.09,38.77,35.540001,35.990002,36952100,35.939921
"53",35.919998,41.869999,32.220001,41.529999,61032700,41.472209
"54",41.529999,44.470001,41.130001,43.32,32256700,43.259719
"55",42.98,43.57,39.200001,42.110001,39795800,42.071513
"56",42.349998,43.860001,40.950001,42.560001,47309700,42.521102
"57",42.849998,45.610001,42.23,44.310001,30256800,44.269503
"58",44.310001,45.310001,42.450001,44.330002,38574400,44.3101
"59",44.119999,46.32,42.970001,43.98,39946100,43.960255
"60",44.07,46.93,43.91,45.220001,29610800,45.1997
"61",45.299999,46.09,44.16,46.060001,7910800,46.060001
