"","stock_data$TRV.Open","stock_data$TRV.High","stock_data$TRV.Low","stock_data$TRV.Close","stock_data$TRV.Volume","stock_data$TRV.Adjusted"
"1",49.259998,52,49.189999,49.25,71520200,43.307747
"2",49.43,51.639999,48.169998,50.450001,99863800,44.362962
"3",51.040001,51.220001,48.459999,48.990002,94501100,43.079119
"4",49.310001,53.669998,49.060001,52.099998,85852900,46.145263
"5",52.669998,55.900002,51.59,55.200001,72566300,48.890953
"6",55.48,57.549999,53.689999,53.990002,95609400,47.81925
"7",54.700001,56.099998,54.139999,55.709999,69573000,49.668711
"8",56.09,57.779999,52.880001,56.259998,85609200,50.159068
"9",56.419998,61.150002,56.27,59.93,84500500,53.431089
"10",59.91,60.009998,57.509998,59.48,84963400,53.35567
"11",59.759998,63.369999,58.07,63.279999,62019400,56.764404
"12",63.560001,64.169998,60.369999,62.080002,59208700,55.687964
"13",61.700001,62.25,56.119999,58.380001,82663400,52.72196
"14",58.509998,59.5,54.880001,55.130001,71964400,49.786942
"15",55.099998,55.580002,46.619999,50.459999,157922400,45.569545
"16",50.400002,51.540001,46.639999,48.73,100513700,44.38217
"17",48.419998,59.630001,45.970001,58.349998,96458500,53.143845
"18",57.349998,59.220001,52.509998,56.25,85599400,51.231215
"19",56.240002,59.889999,54.169998,59.169998,90172400,54.292851
"20",60.110001,61.619999,57.360001,58.299999,65443900,53.494563
"21",58.549999,60.279999,57.490002,57.970001,52612200,53.191765
"22",57.990002,59.98,55.860001,59.200001,72232400,54.714006
"23",59.25,64.82,57.75,64.32,66720100,59.446027
"24",64.760002,65.269997,61.889999,62.490002,62045400,57.754701
"25",61.849998,64.110001,60.080002,63.84,52892400,59.452205
"26",64.080002,64.620003,60.619999,62.650002,52243400,58.343996
"27",63.18,65.720001,62.450001,64.739998,47196100,60.290345
"28",64.760002,69.239998,64.239998,68.260002,44521200,64.024816
"29",68.760002,74.699997,68.379997,70.940002,55616400,66.538536
"30",71.160004,72.120003,67.769997,70.82,54221300,66.425979
"31",70.910004,74.5,70.519997,71.82,49623300,67.785302
"32",73.089996,80,72.5,78.459999,42418500,74.05228
"33",79,81.25,77.790001,80.419998,41731700,75.90217
"34",80.160004,84.370003,79.349998,84.190002,37812800,79.911638
"35",84.370003,89,83.339996,85.410004,41646100,81.069641
"36",85.459999,87.910004,82.589996,83.720001,42728700,79.465521
"37",83.779999,84.32,77.379997,79.919998,47100700,76.322649
"38",80.440002,85.529999,79.349998,83.550003,46151400,79.789261
"39",84.25,84.769997,79.129997,79.900002,37281800,76.303552
"40",80.739998,87.529999,79.120003,84.769997,41623700,81.459295
"41",84.93,88.050003,82.239998,86.300003,42577300,82.929547
"42",86.580002,91.68,86.019997,90.739998,34872400,87.196137
"43",90.260002,90.739998,86.260002,90.540001,41988000,87.501572
"44",90.510002,90.660004,80.879997,81.279999,59072000,78.552326
"45",81.199997,85.18,79.889999,83.839996,50613100,81.026413
"46",83.449997,85.129997,82.32,85.099998,52301200,82.73444
"47",85.169998,90.940002,84.160004,90.580002,51248300,88.062113
"48",90.639999,94.309998,89.809998,93.449997,40840600,90.85233
"49",93.699997,96.18,92.870003,94.07,43303300,91.987826
"50",94.879997,96.029999,89.550003,89.559998,43587500,87.577649
"51",89.470001,94.769997,88.809998,94.709999,30561400,92.613659
"52",94.919998,95.379997,92.32,93.940002,37422700,92.400139
"53",94.120003,101.190002,90.830002,100.800003,64255800,99.14769
"54",100.809998,105.07,99.82,104.449997,34198300,102.737853
"55",104.379997,107.940002,102.139999,105.849998,41403300,104.662099
"56",106.290001,108.239998,102.279999,102.82,42061100,101.666104
"57",102.940002,108.529999,101.940002,107.440002,42276200,106.234259
"58",107.440002,110.489998,104.720001,108.129997,39025200,107.465822
"59",108,109.010002,100.760002,101.110001,47574900,100.488945
"60",101.849998,104.120003,100.959999,101.120003,36367200,100.498885
"61",101.589996,101.870003,97.540001,99.18,15289700,99.18
