"","stock_data$DUK.Open","stock_data$DUK.High","stock_data$DUK.Low","stock_data$DUK.Close","stock_data$DUK.Volume","stock_data$DUK.Adjusted"
"1",16.119839,16.749833,15.94984,15.99984,36312700,38.009692
"2",16.069839,17.429826,15.869842,17.099829,59431100,40.622858
"3",17.239828,17.799823,16.759832,17.179829,65921000,41.386089
"4",17.329828,18.07982,17.199828,17.709824,47275500,42.662843
"5",17.849822,18.319817,17.509825,18.209819,56784600,43.867328
"6",18.289817,18.599814,17.349827,17.549825,42598400,42.846996
"7",17.699823,17.899822,17.189828,17.809822,40548300,43.481765
"8",17.919821,18.259817,17.359827,17.879821,66863500,43.652664
"9",17.97982,18.269818,17.589825,17.989821,72341500,44.522885
"10",17.94982,18.479815,17.429826,18.149819,72629500,44.918864
"11",18.189818,18.719813,17.94982,18.649814,48866700,46.156298
"12",18.689813,19.499805,18.499815,18.749813,60981600,46.994837
"13",18.749813,18.919811,18.279818,18.829813,54642500,47.19535
"14",18.799813,19.229808,18.429816,18.599814,66194500,46.618877
"15",18.829813,18.959811,16.869832,18.909811,122987800,48.068715
"16",18.929811,20.209799,18.329818,19.989801,93764000,50.814047
"17",20.0898,20.729793,19.169808,20.419796,88077600,51.907093
"18",20.179799,21.019791,19.579805,20.849792,117491900,53.648699
"19",20.759792,22.119779,20.449795,21.99978,73608400,56.60774
"20",22.10978,22.10978,20.869792,21.309787,66801400,54.832316
"21",21.359787,21.609785,20.799793,20.919791,95219100,54.462093
"22",20.909791,21.479786,20.669793,21.00979,63539900,54.696395
"23",20.99979,21.499785,20.189798,21.429786,93107200,55.789804
"24",21.409787,22.089778,21.279788,21.979781,112170800,57.889192
"25",21.869782,23.399765,21.849783,23.05977,113998900,60.733609
"26",23.449765,69.870003,23.129769,67.779999,129111100,59.505132
"27",67.970001,69.169998,64.580002,64.779999,99305900,57.516547
"28",64.699997,65.209999,63.029999,64.790001,70391600,57.525427
"29",65.010002,65.900002,63.880001,65.690002,55104400,58.324516
"30",65.639999,65.860001,59.630001,63.82,98516900,57.371969
"31",64.089996,65.660004,62.599998,63.799999,68570400,57.353989
"32",64.559998,68.919998,64.440002,68.739998,55455100,61.794877
"33",68.970001,70.300003,67.779999,69.25,70846100,62.946214
"34",68.410004,72.68,68.050003,72.589996,47203900,65.982172
"35",72.559998,75.419998,71.25,75.199997,52934000,68.354586
"36",75,75.459999,66.169998,66.93,86749700,61.490006
"37",66.959999,68.959999,64.620003,67.5,65130300,62.013677
"38",67.900002,71.910004,66.5,71,52162000,65.229201
"39",71.330002,72.010002,65.330002,65.599998,74398200,60.939284
"40",65.889999,68.639999,64.160004,66.779999,56848600,62.035448
"41",67.449997,73.059998,66.050003,71.730003,58630600,66.633767
"42",71.959999,73.529999,69.739998,69.959999,75366600,65.704091
"43",70.129997,70.540001,67.919998,69.010002,54472000,64.811885
"44",69.199997,70.68,67.050003,70.620003,70414700,66.323944
"45",70.68,72.669998,69.18,70.879997,60207800,67.304412
"46",70.589996,71.360001,68.099998,71.220001,70161000,67.627264
"47",71.389999,75.129997,70.110001,74.489998,60337900,70.732304
"48",74.599998,74.779999,69.730003,71.080002,56014300,68.23644
"49",70.949997,74.389999,68.809998,74.190002,58531500,71.222025
"50",74.199997,74.480003,70.809998,72.129997,55979700,69.24443
"51",72.239998,74,69.480003,73.989998,59977600,71.830031
"52",74.019997,75.209999,72.949997,74.769997,66332200,72.58726
"53",75.050003,82.68,74.330002,82.150002,84098100,79.751822
"54",82.230003,83.900002,78.510002,80.900002,68855700,79.301011
"55",80.389999,87.290001,80.160004,83.540001,74845300,81.888831
"56",83.540001,89.970001,82.610001,87.139999,59369100,85.417676
"57",87,87.290001,77.790001,78.550003,76110800,77.731562
"58",78.480003,78.480003,73.629997,76.779999,89031900,75.98
"59",76.940002,79.879997,76.160004,77.57,62386700,76.761769
"60",77.709999,78.849998,74.040001,75.730003,67592700,75.730003
"61",76.260002,76.360001,72.010002,72.050003,36626500,72.050003
