"","stock_data$UNP.Open","stock_data$UNP.High","stock_data$UNP.Low","stock_data$UNP.Close","stock_data$UNP.Volume","stock_data$UNP.Adjusted"
"1",70.540001,78.349998,69.349998,69.510002,120629200,31.502932
"2",69.860001,76.489998,66.839996,74.669998,190089000,33.841517
"3",75.809998,78.230003,70.339996,72.940002,126014000,33.208803
"4",74.129997,83.080002,73.900002,81.800003,119737400,37.242666
"5",81.610001,88.059998,79.32,87.68,129706000,39.919766
"6",88.660004,92.709999,88.32,90.110001,124792200,41.198633
"7",91.459999,95.779999,90.459999,92.660004,100556400,42.364504
"8",93.82,99.489998,91.980003,94.629997,146411000,43.265192
"9",95.379997,99.5,91.510002,95.410004,95275200,43.801679
"10",95.910004,99.43,90.660004,98.330002,129867400,45.142217
"11",98.989998,103.809998,92.800003,103.470001,118645200,47.501934
"12",103.830002,105,98.959999,104.970001,117309800,48.414755
"13",104.93,105.599998,98.330002,104.400002,114638400,48.151857
"14",104.599998,107.889999,98.839996,102.480003,117661600,47.266306
"15",103.470001,103.620003,84.330002,92.169998,202294000,42.737769
"16",92,93.709999,79.580002,81.669998,147666800,37.869085
"17",81.519997,103.800003,77.730003,99.57,151016800,46.169033
"18",96.169998,104.160004,95.040001,103.410004,107594400,48.253832
"19",102.760002,106.599998,97.82,105.940002,110138000,49.434396
"20",108.080002,115.809998,107.050003,114.309998,118493600,53.340056
"21",115.529999,117.400002,108.32,110.25,119237200,51.721107
"22",110.389999,114.870003,104.769997,107.480003,134604000,50.421631
"23",107.330002,114.480003,104.080002,112.440002,131246600,52.748494
"24",112.709999,116.139999,106.879997,111.400002,114234400,52.542382
"25",109.699997,119.82,105.139999,119.309998,115023200,56.273172
"26",119.889999,123.779999,115.379997,122.610001,105863000,57.829636
"27",123.089996,126.910004,120.309998,121.440002,71204800,57.55743
"28",121.57,129.270004,116.860001,118.699997,83701000,56.258783
"29",118.980003,128.380005,118.120003,123.029999,78738400,58.311021
"30",123.32,126.919998,116.059998,122.779999,73206200,58.522845
"31",123.68,127.550003,121.239998,125.720001,64340800,59.924191
"32",128.240005,136.190002,127.32,131.460007,82553800,62.660154
"33",132.839996,138.509995,131.509995,137.110001,80061000,65.693568
"34",136.410004,143,135.5,142.410004,70351800,68.23296
"35",142.410004,149.270004,135.75,147.960007,88470800,70.892135
"36",147.669998,161,145.389999,154.619995,70393800,74.408622
"37",155.199997,159.210007,148.449997,154.279999,72673800,74.245004
"38",155.649994,165.179993,153.660004,158.589996,66757200,76.319127
"39",159.940002,164.550003,152.039993,153.539993,61016800,74.270906
"40",154.899994,161.910004,152.619995,155.339996,66036200,75.14161
"41",155.460007,158.070007,149.229996,151.399994,128036800,73.235738
"42",152.110001,163.220001,151.429993,162.039993,79880600,78.764674
"43",162.119995,168.240005,160.020004,168,68989600,81.661724
"44",168.399994,177,164.970001,174.240005,98021000,84.694876
"45",174.600006,181.279999,171.119995,180.380005,79448400,88.128195
"46",179.169998,190.479996,178.289993,187.660004,83136400,91.684982
"47",188.380005,194.160004,180.720001,190.429993,86849400,93.038314
"48",190.300003,199.460007,186.809998,199.270004,73080400,97.357276
"49",199.360001,202.619995,99.160004,99.75,65316500,97.905609
"50",99.959999,103.25,97.959999,98.309998,64156600,96.492232
"51",98.220001,106.339996,96.760002,105.269997,58852300,103.815279
"52",105.699997,110.260002,105.489998,108.419998,59065200,106.921751
"53",107.480003,117.099998,96.169998,116.449997,116402900,114.840784
"54",116.57,123.610001,114.800003,116.769997,66521500,115.625196
"55",116.440002,121.400002,111.279999,119.129997,91408300,117.96206
"56",119.93,122.190002,109.540001,117.209999,96669500,116.060885
"57",118.129997,124.519997,116.699997,120.260002,62201800,119.617214
"58",120.260002,121,106.75,108.309998,101273000,107.731082
"59",107.760002,112.440002,104.160004,106.230003,124730100,105.662205
"60",106.660004,109.419998,99.870003,100.910004,115074800,100.910004
"61",101.160004,102.849998,99.309998,99.669998,51992400,99.669998
