"","stock_data$XEL.Open","stock_data$XEL.High","stock_data$XEL.Low","stock_data$XEL.Close","stock_data$XEL.Volume","stock_data$XEL.Adjusted"
"1",20.43,21.75,20.280001,20.610001,36100800,16.907061
"2",20.73,23.02,20.469999,21.99,47613000,18.03912
"3",22.219999,22.639999,21.41,22.309999,98015800,18.301626
"4",22.549999,23.280001,22.370001,22.969999,57177700,19.051342
"5",23.120001,24.08,23.02,23.860001,50436600,19.78951
"6",23.969999,24.360001,23.17,23.5,45942500,19.490925
"7",23.74,23.889999,23.200001,23.549999,48213400,19.742618
"8",23.67,24.139999,23.26,23.57,44040200,19.759385
"9",23.68,24,23.4,23.940001,31636300,20.069567
"10",24.09,24.67,23.17,23.889999,69896300,20.243846
"11",24,24.370001,23.379999,24.33,39214800,20.616693
"12",24.4,25.389999,24.1,24.74,50294800,20.964117
"13",24.74,24.780001,23.74,24.299999,46543900,20.811226
"14",24.32,24.75,23.66,24,40255500,20.554298
"15",24.17,24.719999,21.200001,24.67,96830400,21.128106
"16",24.709999,25.6,23.549999,24.690001,81242200,21.365763
"17",24.639999,26.33,23.48,25.85,59852000,22.369582
"18",25.370001,26.360001,24.82,26.290001,47029900,22.750341
"19",26.34,27.780001,25.59,27.639999,54258700,24.147378
"20",27.889999,27.93,26.16,26.6,60010200,23.238794
"21",26.719999,26.809999,26.129999,26.49,48416700,23.142693
"22",26.48,27.25,25.92,26.469999,65824300,23.35674
"23",26.360001,27.129999,25.889999,27.059999,51327700,23.877348
"24",27.08,28.120001,26.75,28.02,55823000,24.724439
"25",27.76,29.120001,27.620001,28.41,86310000,25.303994
"26",28.360001,29.700001,28.34,29.299999,48524400,26.096691
"27",29.299999,29.92,27.629999,27.889999,38444700,24.840844
"28",27.860001,28.389999,27.25,27.709999,48860000,24.922139
"29",27.57,28.33,27.4,28.25,31513000,25.407811
"30",28.34,28.34,25.84,27.049999,47257900,24.32854
"31",27.09,27.66,26.09,26.709999,47005200,24.26351
"32",27.030001,27.799999,26.77,27.780001,55001100,25.235505
"33",27.9,28.82,27.59,28.700001,48515700,26.071238
"34",28.620001,29.74,28.41,29.700001,81735700,27.234079
"35",29.719999,31.790001,29.469999,31.790001,48149900,29.150552
"36",31.700001,31.77,28.33,28.719999,63360200,26.335445
"37",28.719999,29.74,27.379999,28.34,105260600,26.236186
"38",28.379999,30.309999,27.76,29.950001,54007900,27.726669
"39",30.08,30.41,27.280001,27.92,61896700,25.847365
"40",28.059999,28.35,26.9,27.610001,100306600,25.824277
"41",27.68,29.4,27.139999,28.860001,61552900,26.993431
"42",28.950001,29.120001,27.91,28.02,65436600,26.207759
"43",28.09,28.559999,27.51,27.940001,87079500,26.395575
"44",27.91,29.02,27.27,28.91,61821800,27.311956
"45",28.940001,30.33,28.209999,30.290001,44013600,28.615675
"46",30.200001,30.77,29.4,30.360001,62361000,28.964571
"47",30.389999,32.18,30.1,31.870001,57786100,30.405168
"48",31.809999,32.369999,29.83,30.76,57639500,29.346186
"49",30.690001,32.290001,30.049999,32.23,49846800,31.049978
"50",32.169998,32.259998,30.73,30.799999,46563500,29.672334
"51",30.73,32.060001,29.6,32.049999,44780700,30.876568
"52",32.02,32.48,30.120001,30.4,48235500,29.570129
"53",30.74,33.759998,30.18,33.470001,92842500,32.556324
"54",33.619999,34.099998,32.950001,33.939999,57364200,33.013491
"55",33.560001,37.580002,33.490002,35.919998,67373100,35.235955
"56",36.02,38.349998,35.599998,37.529999,52465700,36.815296
"57",37.560001,37.84,34.599998,35.279999,76409200,34.608144
"58",35.25,35.389999,33.41,34.810001,85252200,34.467257
"59",34.619999,35.349998,33.509998,33.91,48406100,33.576117
"60",33.889999,34.849998,32.709999,34.049999,64432800,33.714738
"61",34.139999,34.299999,32.040001,32.360001,28985400,32.041379
