"","stock_data$JWN.Open","stock_data$JWN.High","stock_data$JWN.Low","stock_data$JWN.Close","stock_data$JWN.Volume","stock_data$JWN.Adjusted"
"1",37.009998,40.560001,32.040001,32.189999,52725100,29.087488
"2",32.240002,35.599998,30.75,34,77796500,30.72304
"3",34.619999,35.779999,28.440001,28.92,84657500,26.306932
"4",29.48,38.41,29.129999,37.200001,77521100,33.838793
"5",37.610001,39.990002,35.919998,38.509998,74430800,35.030426
"6",38.900002,43.950001,38.34,42.799999,58468300,39.110945
"7",43.630001,43.630001,41.34,42.380001,42058700,38.727148
"8",42.73,43.900002,40.639999,41.18,45750800,37.630579
"9",41.57,47.52,40.029999,45.259998,56040800,41.35891
"10",45.310001,45.610001,40.959999,44.880001,67692200,41.226093
"11",45,48.700001,44.740002,47.549999,42019100,43.678713
"12",47.75,49.43,44.869999,46.830002,56113100,43.235407
"13",46.549999,47,41.880001,46.939999,60223100,43.33696
"14",46.849998,52.150002,46.700001,50.16,44995600,46.309799
"15",50.889999,50.889999,37.279999,45.459999,114629000,41.970563
"16",45.259998,49.25,41.619999,45.68,61619500,42.388137
"17",45.25,53.349998,44.619999,50.689999,69586900,47.037097
"18",49.080002,51.75,44.220001,45.279999,60028000,42.236295
"19",45.650002,50.610001,45.25,49.709999,43619700,46.368512
"20",50.52,50.84,48,49.380001,42529300,46.060696
"21",49.650002,54.68,48.669998,53.619999,49967200,50.267535
"22",53.669998,56.029999,52.299999,55.720001,30553800,52.236239
"23",55.5,56.75,53.200001,55.860001,30457000,52.367485
"24",55.959999,57.75,47.240002,47.369999,57056800,44.645874
"25",47.119999,51.360001,46.27,49.689999,49497700,46.832456
"26",49.93,55.470001,49.400002,54.139999,39487400,51.026549
"27",54.439999,58.439999,51.5,57.830002,50910100,54.759129
"28",57.860001,58.439999,54.18,55.18,29780600,52.249847
"29",55.310001,58.209999,54.23,56.77,34744900,53.755416
"30",57.130001,58.400002,53.279999,54.09,41426100,51.47434
"31",54.07,54.34,50.939999,53.5,45481700,50.912871
"32",53.689999,56.330002,52.720001,55.23,43305700,52.559212
"33",55.66,56.66,52.439999,54.220001,40063600,51.598055
"34",54.029999,55.290001,52.16,55.23,36738600,52.850775
"35",55.07,57.759998,54.330002,56.59,31630000,54.152189
"36",56.48,61.810001,55.98,58.82,37007200,56.569158
"37",58.939999,60.200001,57.07,59.939999,21155300,57.646299
"38",60.279999,63.34,60.049999,61.240002,24723700,58.896555
"39",61.849998,62.299999,55.560001,55.73,43206300,53.883356
"40",56.290001,58.580002,55.34,56.200001,31946400,54.337784
"41",55.970001,61.240002,55.5,60.470001,32682100,58.466295
"42",60.52,63.720001,59.759998,62.209999,32263300,60.43689
"43",62.09,62.560001,59.310001,61.799999,23190100,60.038576
"44",61.669998,62.560001,56.57,57.450001,31386300,55.812562
"45",57.330002,61.669998,54.900002,61.48,39704900,59.727697
"46",60.779999,63.150002,60.599998,62.450001,29382100,60.996926
"47",62.459999,64.190002,59.970001,61.279999,28793800,59.854148
"48",61.470001,70.709999,60.200001,68.059998,41081600,66.800955
"49",68.199997,69.540001,66.720001,67.93,22383400,66.673362
"50",68.190002,70.559998,67.300003,69.230003,21098800,67.949316
"51",68.440002,70.559998,64.919998,69.25,33617900,68.29084
"52",69.300003,71.449997,67.620003,68.370003,24314400,67.423031
"53",68.360001,73.739998,66.080002,72.610001,35771400,71.604302
"54",72.599998,77.199997,70.209999,76.360001,31795100,75.631238
"55",76.07,80.540001,73.290001,79.389999,23346400,78.632319
"56",79.660004,80.050003,74.870003,76.199997,24161300,75.472761
"57",76.059998,81.779999,74.510002,80.43,31773900,80.02996
"58",80.5,83.160004,78.690002,80.32,22182500,79.920507
"59",80.230003,80.919998,75.269997,75.559998,21565400,75.18418
"60",75.43,78.040001,72.510002,72.639999,30390500,72.639999
"61",72.650002,74.690002,72.010002,73.610001,8847800,73.610001
