"","stock_data$RAI.Open","stock_data$RAI.High","stock_data$RAI.Low","stock_data$RAI.Close","stock_data$RAI.Volume","stock_data$RAI.Adjusted"
"1",52.189999,54.110001,51.060001,52.119999,55492600,20.129027
"2",52.209999,58.34,51.470001,57.82,58091000,22.330398
"3",58.459999,58.599998,54.27,54.540001,68697200,21.063645
"4",55.07,60.439999,55.07,59.389999,44370600,23.301331
"5",59.900002,65.120003,58.099998,64.93,57244000,25.474919
"6",65.330002,66.82,30.940001,30.940001,54637700,24.278269
"7",31.26,32.950001,31.120001,32.619999,48722800,25.986905
"8",32.889999,34.490002,31.540001,31.809999,45602400,25.341614
"9",32.02,34.669998,31.66,34.32,49676700,27.34122
"10",34.48,36.110001,32.299999,35.529999,69988600,28.744206
"11",35.91,37.450001,35.580002,37.110001,43506900,30.022447
"12",37.279999,39.869999,37,39.779999,41629500,32.182508
"13",39.75,39.82,36.580002,37.049999,52882400,30.395512
"14",37.130001,38.639999,34.919998,35.200001,52780000,28.877789
"15",35.630001,37.75,31.82,37.57,102748600,30.822116
"16",37.509998,38.43,35.970001,37.48,58228700,31.185188
"17",37.5,39.939999,36.689999,38.68,54782300,32.183647
"18",37.869999,41.880001,37.68,41.860001,86499500,34.829562
"19",41.799999,42.18,39.939999,41.419998,44419000,34.933375
"20",41.869999,41.900002,38.950001,39.23,44852600,33.086343
"21",39.5,42.07,39.18,41.93,60676000,35.363507
"22",41.959999,42.810001,40.310001,41.439999,43155200,35.419487
"23",41.470001,42.150002,39.450001,40.830002,44231500,34.898112
"24",40.91,42.380001,40,41.84,86837800,35.761375
"25",41.459999,44.900002,40.150002,44.869999,51697900,38.907391
"26",44.869999,46.650002,44.669998,46.27,33827800,40.121352
"27",46.549999,46.93,44.939999,46.099998,54097200,39.973941
"28",46.099998,46.650002,43.110001,43.34,47595800,38.067806
"29",43.32,44.509998,40.400002,41.639999,46662200,36.574606
"30",41.57,43.900002,39.700001,43.720001,49667400,38.401581
"31",43.970001,44.330002,40.790001,41.43,44946100,36.890973
"32",42.049999,44.57,41.5,43.98,37677200,39.161597
"33",44.32,45.169998,43.290001,43.68,64540500,38.894466
"34",43.639999,44.689999,42.459999,44.490002,42221000,40.147781
"35",44.490002,47.529999,44.009998,47.419998,42236600,42.79181
"36",47.330002,50.150002,47.099998,48.110001,43780400,43.414468
"37",48.16,49.400002,46.049999,48.369999,39498300,44.228382
"38",48.880001,52.93,48.209999,49.43,34432300,45.197622
"39",49.830002,51,47.220001,47.630001,34134100,43.551745
"40",47.900002,50.73,46.82,48.779999,25837900,45.197985
"41",48.919998,51.990002,48.580002,51.369999,35823900,47.597796
"42",51.470001,52.57,50.23,50.450001,30448800,46.745355
"43",50.389999,51.459999,48.009998,49.990002,45305000,46.903691
"44",50.049999,50.07,47.580002,48.5,49665100,45.50568
"45",48.43,50.939999,46.549999,50.830002,51500700,47.691831
"46",50.709999,56.77,50.540001,53.419998,84088800,50.7481
"47",53.5,56.720001,53.060001,56.43,48613500,53.607551
"48",56.470001,60.07,55.560001,59.630001,50172400,56.647498
"49",59.810001,62.639999,58.720001,60.349998,39670600,57.976415
"50",60.610001,63.389999,55.830002,55.849998,73462600,53.653401
"51",55.610001,58.689999,55.220001,58.470001,37074700,56.170358
"52",58.639999,59.450001,56.740002,59,39208000,57.331001
"53",58.990002,63.18,56.27,62.91,53464800,61.130394
"54",62.77,66.089996,62.689999,65.910004,30942800,64.045533
"55",65.870003,67.589996,62.880001,64.269997,39719300,63.095653
"56",64.419998,70.699997,62.700001,67.949997,44285800,66.708412
"57",68.120003,76.099998,67.440002,75.620003,41014800,74.238271
"58",75.669998,76.230003,67.419998,68.910004,69809000,68.270004
"59",69.040001,77.620003,68.650002,73.300003,65596000,72.619231
"60",73.360001,77.68,72.800003,76.75,73695600,76.037186
"61",76.760002,76.959999,70.779999,73.089996,26954700,73.089996
