"","stock_data$PBCT.Open","stock_data$PBCT.High","stock_data$PBCT.Low","stock_data$PBCT.Close","stock_data$PBCT.Volume","stock_data$PBCT.Adjusted"
"1",14.28,14.7,13.49,13.5,92872800,10.628485
"2",13.48,14.35,13.27,13.84,107074400,11.016414
"3",13.96,13.99,12.57,12.7,74457300,10.108992
"4",12.81,13.32,12.56,13.09,66026500,10.419426
"5",13.12,13.51,12.2,12.3,82988300,9.913032
"6",12.35,12.75,12.22,12.39,92073400,9.985566
"7",12.52,14.17,12.46,14.01,92889900,11.291185
"8",14.09,14.49,12.84,12.91,116040200,10.527061
"9",13.03,13.55,12.89,13.18,73990500,10.747224
"10",13.14,13.18,12.17,12.58,130336600,10.257973
"11",12.6,13.7,12.59,13.7,81636700,11.303734
"12",13.73,13.81,12.98,13.35,92069300,11.014952
"13",13.33,13.55,12.55,13.44,119040100,11.08921
"14",13.35,13.96,12.56,12.68,109045400,10.590762
"15",12.82,12.85,10.5,11.75,155938300,9.813994
"16",11.75,12.54,10.85,11.4,136416600,9.521662
"17",11.37,13.07,10.91,12.75,161507700,10.781174
"18",12.41,12.89,11.58,12.45,94549600,10.5275
"19",12.44,12.96,12.14,12.85,75092300,10.865733
"20",13.1,13.79,12.29,12.33,107093200,10.557164
"21",12.39,12.89,12.2,12.59,77002000,10.779781
"22",12.56,13.58,12.29,13.23,72563100,11.32776
"23",13.14,13.5,12.26,12.33,78380100,10.693826
"24",12.36,12.46,11.61,11.63,91159700,10.086715
"25",11.56,11.87,11.25,11.61,65014300,10.069369
"26",11.65,12.24,11.2,11.46,93761900,10.078042
"27",11.51,12.27,11.2,11.97,63799500,10.526542
"28",12.01,12.55,11.91,12.14,64605800,10.676042
"29",12.13,12.5,11.88,12.03,85752700,10.720481
"30",12.13,12.27,11.36,12.19,79908400,10.863064
"31",12.2,12.44,11.91,12.09,57789000,10.77395
"32",12.22,12.75,12.22,12.32,78875400,11.120576
"33",12.38,13.15,12.35,13.1,54333700,11.82464
"34",13.07,13.61,12.99,13.42,59099800,12.113485
"35",13.39,13.47,12.62,13.16,80444500,12.028119
"36",13.15,14.31,13.06,13.78,84122800,12.594793
"37",13.81,15,13.52,14.9,81077500,13.618463
"38",14.96,15.67,14.87,15,88222000,13.858773
"39",15.12,15.41,14.18,14.22,60848500,13.138117
"40",14.42,14.8,14.07,14.38,52275600,13.285944
"41",14.32,15.11,14.09,14.44,73628100,13.491281
"42",14.42,15.24,14.23,15.14,47317100,14.145292
"43",15.17,15.25,14.51,15.12,57762900,14.126605
"44",15.08,15.7,14.2,14.21,128781600,13.426289
"45",14.21,14.37,13.73,14.17,75877400,13.388495
"46",14.07,15.07,13.98,14.87,60947500,14.049889
"47",14.86,15,14.09,14.28,77822100,13.649705
"48",14.29,14.64,14,14.37,50256800,13.735733
"49",14.46,15.23,14.29,15.17,72263100,14.500423
"50",15.22,15.32,14.48,14.52,64642600,14.034108
"51",14.52,15.03,14.24,14.95,42514600,14.449718
"52",15,15.15,14.47,14.47,51142700,13.985781
"53",14.49,14.66,13.61,14.62,107624300,14.293865
"54",14.66,14.96,14.36,14.78,39167600,14.450296
"55",14.71,15.5,14.37,15.18,59735700,14.841373
"56",15.22,15.3,13.97,14.07,79455500,13.915808
"57",14.11,15.25,14.1,15.13,47295000,14.964192
"58",15.15,15.45,14.81,15.2,59514200,15.033424
"59",15.12,15.4,14.92,15.11,64761800,15.11
"60",15.22,15.62,14.95,15.56,59460900,15.56
"61",15.6,16.129999,15.42,16.07,22664800,16.07
