"","stock_data$RRC.Open","stock_data$RRC.High","stock_data$RRC.Low","stock_data$RRC.Close","stock_data$RRC.Volume","stock_data$RRC.Adjusted"
"1",47.98,51.240002,40,40.150002,61323500,39.618519
"2",40.290001,43.119999,36.130001,37.119999,91573100,36.628626
"3",38.299999,39.639999,32.25,33.810001,75888600,33.362444
"4",34.669998,39.32,34.439999,38.130001,66881700,37.665936
"5",38.610001,38.740002,35.110001,37.389999,71020500,36.93494
"6",38.099998,44.700001,37.5,41.990002,59217900,41.478958
"7",42.759998,46.25,41.27,44.98,52605800,44.474561
"8",45.630001,50.02,44.200001,49.869999,53919500,49.309611
"9",48.810001,55.490002,47.599998,54.299999,46941900,53.689832
"10",51.790001,59.23,46.18,58.459999,64356300,57.852176
"11",58.98,59.639999,51.509998,56.450001,45913900,55.863076
"12",56.880001,57.529999,50.68,55.919998,41235200,55.338584
"13",55.810001,56,50.549999,55.5,35452700,54.965114
"14",55.5,66.449997,53.349998,65.160004,59209800,64.532018
"15",66.07,67.330002,51.560001,64.760002,70594200,64.135872
"16",65.239998,77.239998,56.919998,58.459999,89411100,57.933483
"17",57.560001,74.93,52.209999,68.839996,66465000,68.219993
"18",66.459999,73.739998,63.650002,71.709999,41219300,71.064147
"19",71.330002,73,58.91,61.939999,39489800,61.421802
"20",63.73,63.970001,52.34,57.52,69536700,57.038782
"21",57.84,68.5,56.810001,63.68,49141500,63.147247
"22",63.700001,64.959999,56.110001,58.139999,41799600,57.690781
"23",57.779999,66.690002,54.860001,66.660004,48791300,66.144956
"24",66.940002,69.18,55.950001,57.439999,72066100,56.996189
"25",55.93,63.200001,53.09,61.869999,60254300,61.435705
"26",61.48,65.68,56.5,62.599998,40649700,62.16058
"27",62.799999,70,60.049999,65.190002,35829900,64.732404
"28",65,72.480003,64.25,69.870003,30020700,69.4188
"29",70.709999,73.940002,64.139999,65.360001,33753900,64.937922
"30",65.410004,69.739998,63.950001,64.019997,30719200,63.606572
"31",64.739998,66.239998,61.029999,62.830002,29887000,62.462872
"32",63.650002,69.400002,61.25,67.169998,34840600,66.777509
"33",67.709999,77.18,67.029999,76.800003,28421100,76.351244
"34",76.360001,83.150002,75.669998,81.040001,30852000,80.607123
"35",80.110001,81.019997,71.139999,73.519997,40416000,73.127287
"36",73.150002,79.5,71.43,75.18,30899900,74.778424
"37",75.290001,81.129997,72.769997,77.32,32049300,76.948194
"38",77.620003,85.230003,74.660004,79.099998,38141000,78.719633
"39",79.480003,82.400002,74.690002,74.980003,23396500,74.61945
"40",75.980003,81,75.330002,75.889999,26120200,75.562999
"41",75.830002,81.419998,72.540001,75.709999,45763100,75.383774
"42",75.68,79.900002,73.040001,77.650002,30850800,77.315417
"43",77.730003,85.489998,75.209999,84.309998,32286400,83.988697
"44",83.129997,88.709999,79.279999,86.190002,35664900,85.861537
"45",86.5,90.760002,82.370003,86.050003,37894500,85.722071
"46",85.790001,89.68,82.389999,82.970001,34467600,82.691852
"47",83.209999,95.410004,82.629997,90.449997,36158500,90.146772
"48",90.129997,93.169998,87.279999,92.949997,22384400,92.638391
"49",92.949997,94.260002,85.32,86.949997,31557300,86.697297
"50",87.07,87.370003,74.959999,75.589996,54738300,75.370312
"51",74.980003,79.379997,73.830002,78.589996,30961600,78.361593
"52",78.410004,78.720001,66.980003,67.809998,42403900,67.649175
"53",68,70.699997,61.330002,68.400002,55466400,68.237779
"54",69.190002,74.639999,65.449997,65.650002,42991800,65.494301
"55",65.339996,66.080002,51.830002,53.450001,81503400,53.364062
"56",53,55.740002,44.169998,46.27,68040100,46.195606
"57",47.279999,55.259998,46.02,49.540001,60141000,49.460349
"58",49.540001,52.740002,43.880001,52.040001,61820200,52.000502
"59",52.049999,64.620003,51.32,63.560001,62247300,63.511759
"60",63.389999,65.529999,55.009998,55.41,53619200,55.367943
"61",55.299999,56.360001,52.470001,52.93,25986100,52.889826
