"","stock_data$MCK.Open","stock_data$MCK.High","stock_data$MCK.Low","stock_data$MCK.Close","stock_data$MCK.Volume","stock_data$MCK.Adjusted"
"1",69.330002,71.269997,66.959999,67.160004,35009800,64.592108
"2",67,69.480003,59.630001,62.82,68530700,60.418047
"3",63.23,63.639999,57.810001,58.049999,56226200,55.997422
"4",58.669998,63.639999,58.080002,61.779999,57696900,59.595533
"5",62.09,66.080002,59.540001,65.980003,48872700,63.64703
"6",66,68.279999,63.32,63.900002,46216100,61.81305
"7",64.559998,71.089996,64.379997,70.379997,36314500,68.081411
"8",70.529999,75.489998,70.440002,75.169998,46260100,72.714972
"9",76.400002,81,75.040001,79.279999,40143800,76.867653
"10",79.470001,80.940002,75.07,79.050003,43701200,76.644656
"11",79.300003,84.68,77.550003,83.010002,34879000,80.48416
"12",83.010002,87.32,80.75,85.610001,42581900,83.005045
"13",85.639999,85.889999,80.970001,83.650002,46566900,81.297446
"14",83.790001,84.959999,79.389999,81.120003,43791800,78.8386
"15",81.379997,81.559998,70.860001,79.93,65761800,77.881428
"16",79.709999,81.5,72.25,72.699997,44261500,70.836727
"17",72.669998,85.699997,66.610001,81.550003,45102400,79.459911
"18",79.830002,83.639999,76.309998,81.309998,33785900,79.429099
"19",81.459999,82.260002,76.360001,77.910004,25412900,76.107755
"20",79.040001,83.290001,74.889999,81.720001,43954200,79.829618
"21",82.010002,83.900002,80.419998,83.510002,34203100,81.7774
"22",83.489998,88.910004,81.529999,87.769997,41861200,85.949011
"23",87.650002,92.690002,86.639999,91.410004,41901400,89.513498
"24",88.739998,91.260002,85.949997,87.279999,42948300,85.469179
"25",86.220001,94.470001,86.220001,93.75,33033800,92.015075
"26",94,97.230003,90.080002,90.730003,28011100,89.050966
"27",90.879997,90.989998,86.050003,87.110001,35688200,85.692909
"28",87.239998,89.839996,84.650002,86.029999,32073300,84.630477
"29",86.220001,94.510002,85.57,93.309998,31889700,91.792046
"30",93.470001,96.080002,90.599998,94.470001,26495000,93.133553
"31",94.5,100,92.860001,96.959999,23103000,95.588325
"32",97.949997,106.900002,96.669998,105.230003,24322900,103.741335
"33",103.480003,107.029999,101.459999,106.129997,34062200,104.830037
"34",106.019997,111.550003,104.519997,107.959999,30972300,106.637624
"35",107.769997,109.669998,102.68,105.82,24119400,104.523836
"36",105.809998,119.32,105.190002,113.860001,27429300,112.465357
"37",114.279999,117.209999,109.82,114.5,26044800,113.299277
"38",115.769997,126.360001,113.260002,122.660004,21303000,121.37371
"39",123.260002,124.650002,120.169998,121.410004,18460100,120.375184
"40",122.769997,133.330002,121.379997,128.300003,21287000,127.206458
"41",128.970001,158.380005,128.839996,156.339996,51546100,155.007457
"42",156.289993,166.570007,154.020004,165.889999,27812300,164.716603
"43",165.889999,166.25,156,161.399994,26988900,160.258356
"44",160.850006,177.5,159.449997,174.410004,56529000,173.176342
"45",174.690002,179.399994,167.020004,177.050003,29591300,176.039395
"46",175.339996,188.020004,171.589996,176.570007,26623200,175.562139
"47",177.259995,178.210007,162.899994,169.190002,28929400,168.224259
"48",166.970001,189.740005,164.580002,189.639999,32695500,188.557527
"49",189.839996,192.029999,181.279999,186.210007,23382100,185.38159
"50",186.5,195.889999,185.660004,191.860001,21802800,191.006448
"51",193.009995,196.440002,185.839996,195.029999,19452400,194.405299
"52",195,200,190.300003,194.669998,17638200,194.046452
"53",194.919998,206.910004,178.279999,203.410004,29781500,202.758462
"54",204,211.25,198.160004,210.759995,16596900,210.326496
"55",210.360001,214.369995,201.309998,207.580002,18872500,207.153044
"56",209.059998,222.929993,205.720001,212.649994,20044100,212.212608
"57",212.830002,231.550003,209,228.699997,22000500,228.468424
"58",228.699997,232.690002,218,226.199997,19478400,225.970955
"59",226.029999,231.899994,219.509995,223.399994,21320900,223.173787
"60",224.330002,243.610001,221.039993,237.229996,20412400,236.989785
"61",237.429993,239.190002,232.759995,235.949997,5494300,235.949997
