"","stock_data$JCP.Open","stock_data$JCP.High","stock_data$JCP.Low","stock_data$JCP.Close","stock_data$JCP.Volume","stock_data$JCP.Adjusted"
"1",25.9,27.82,21.41,21.48,99360800,20.37767
"2",21.389999,25.9,20.32,24.629999,148610900,23.59254
"3",25.07,25.700001,19.42,19.98,180893000,19.138407
"4",20.309999,27.299999,20.200001,27.18,157698100,26.035131
"5",27.309999,34.5,26.790001,31.18,234673600,30.073906
"6",31.790001,33.560001,30.26,33.27,84026200,32.089765
"7",33.860001,35.119999,31.969999,32.310001,64123900,31.163821
"8",32.580002,33.5,28.709999,32.07,89667300,31.122862
"9",32.16,37.48,30.709999,34.959999,95979700,33.92751
"10",34.860001,38.610001,33.369999,35.91,86491100,34.849454
"11",36.130001,39.240002,35.630001,38.450001,55217300,37.517511
"12",38.669998,41,35.169998,35.43,99613200,34.570752
"13",35.389999,36.189999,29.82,34.540001,174965800,33.702337
"14",34.549999,35.189999,30.41,30.76,97365400,30.189735
"15",31.09,31.809999,23.440001,26.629999,150565700,26.136301
"16",26.469999,28.59,24.1,26.780001,146881000,26.283521
"17",26.52,34.5,25.440001,32.080002,110574800,31.712267
"18",31.690001,34.470001,29.549999,32.040001,83944200,31.672725
"19",31.790001,35.880001,31.690001,35.150002,59821600,34.747075
"20",35.950001,42.290001,32.459999,41.549999,171892300,41.316966
"21",41.34,43.18,39.419998,39.599998,106422600,39.377902
"22",39.720001,39.779999,35.27,35.43,101517600,35.231291
"23",35.330002,36.889999,32.509998,36.060001,97068800,36.060001
"24",35.82,36.27,25.34,26.23,202106000,26.23
"25",25.76,26.16,21.34,23.309999,193348800,23.309999
"26",23.18,23.25,19.059999,22.51,203543800,22.51
"27",22.42,26.9,20.4,26.08,222667000,26.08
"28",26.059999,32.549999,23.58,24.290001,171405900,24.290001
"29",24.530001,27,23.200001,24.01,120876800,24.01
"30",24.299999,24.719999,15.69,17.940001,272449700,17.940001
"31",17.65,21.690001,17.1,19.709999,181987000,19.709999
"32",20.01,21.120001,17.360001,20.33,191127700,20.33
"33",20.51,23.1,16.57,17.57,228603600,17.57
"34",17.540001,17.950001,14.2,15.11,366540600,15.11
"35",15.1,17.700001,13.55,16.42,566411700,16.42
"36",16.35,19.629999,15.9,17.58,303171300,17.58
"37",17.700001,18.9,15.04,17.08,148790500,17.08
"38",17.370001,17.799999,14.1,14.6,143683400,14.6
"39",15.51,15.53,12.12,12.48,690463000,12.48
"40",12.69,14.65,8.59,8.8,893812100,8.8
"41",8.86,9.09,6.24,7.5,942151500,7.5
"42",7.71,10.3,7.57,10.19,821045000,10.19
"43",9.97,10.22,7.8,9.15,555780500,9.15
"44",9.11,9.17,5.68,5.92,636220000,5.92
"45",5.97,7.65,4.9,7.28,626627400,7.28
"46",7.11,9.28,7.04,8.62,551911200,8.62
"47",8.63,9.17,7.04,8.52,345666800,8.52
"48",8.57,9.93,8.03,8.99,534790500,8.99
"49",9.01,9.19,8.28,9.05,267037500,9.05
"50",9.11,9.56,8.45,9.38,268973400,9.38
"51",9.44,11.24,8.95,10.8,541910500,10.8
"52",10.9,11.3,9.54,10.04,354367200,10.04
"53",9.94,10.2,6.73,7.61,495628100,7.61
"54",7.6,8.1,6.92,8.01,339430500,8.01
"55",7.92,7.93,5.9,6.48,331051500,6.48
"56",6.49,8.3,6.19,7.27,310880900,7.27
"57",7.17,9.18,7.01,8.5,273341700,8.5
"58",8.46,8.49,7.24,8.41,260115400,8.41
"59",8.45,9.5,8.17,8.3,236230400,8.3
"60",8.31,9.08,8.02,8.59,328625300,8.59
"61",8.57,8.86,8.4,8.56,76817400,8.56
