"","stock_data$HPQ.Open","stock_data$HPQ.High","stock_data$HPQ.Low","stock_data$HPQ.Close","stock_data$HPQ.Volume","stock_data$HPQ.Adjusted"
"1",46.02,48.619999,43.130001,43.279999,247705900,39.20442
"2",43.150002,47.970001,42.310001,46.040001,318019800,41.704519
"3",46.59,47.799999,37.32,38.450001,836857300,34.829252
"4",39,43.150002,37.970001,42.07,536228700,38.188173
"5",41.209999,43.470001,40.25,42.040001,438761800,38.160942
"6",42.169998,44.650002,40.77,41.93,442980100,38.061091
"7",42.5,43.27,41,42.099998,328483500,38.287271
"8",42.220001,47.830002,42.220001,45.689999,368867000,41.552148
"9",46.080002,49.389999,42.080002,43.630001,438850700,39.678711
"10",43.639999,43.860001,37.599998,40.970001,437892100,37.331178
"11",41.080002,41.799999,39.16,40.369999,315203400,36.784466
"12",40.689999,41.740002,35.439999,37.380001,505598800,34.06003
"13",37.200001,37.310001,33.950001,36.400002,433645500,33.280366
"14",36.549999,37.700001,34.799999,35.169998,322198100,32.155779
"15",35.400002,35.5,22.75,26.030001,781334500,23.799119
"16",26.200001,26.459999,21.5,22.450001,682981000,20.635266
"17",22.68,28.57,21.84,26.610001,439861700,24.458994
"18",25.9,28.59,25.25,27.950001,446856300,25.690676
"19",27.440001,28.67,25.02,25.76,366407200,23.779982
"20",26.32,28.879999,26.25,27.98,265505500,25.829343
"21",28.23,30,25.280001,25.309999,413339200,23.36457
"22",25.35,25.65,22.91,23.83,494883700,22.108046
"23",23.879999,25.15,22.85,24.76,347521800,22.970845
"24",24.73,25.4,20.57,22.68,467537200,21.041146
"25",21.870001,22.75,19.120001,20.110001,362004200,18.767897
"26",20.110001,20.43,17.73,18.24,370218400,17.022696
"27",18.309999,20.26,16.77,16.879999,565207600,15.75346
"28",16.82,18.559999,16.23,17.059999,415142100,16.043013
"29",17.200001,17.620001,13.8,13.85,702911800,13.02437
"30",13.88,14.48,11.35,12.99,716000400,12.215636
"31",13.17,14.83,12.82,14.25,566559600,13.528629
"32",14.83,17.450001,14.74,16.51,645297600,15.674222
"33",16.67,20.26,16.030001,20.139999,521493700,19.120462
"34",20.049999,23.93,19.790001,23.84,509608400,22.776324
"35",23.73,24.049999,19.07,20.6,500249600,19.680884
"36",20.48,25.469999,20.15,24.42,440031000,23.330446
"37",24.459999,25.870001,23.190001,24.799999,313653800,23.832779
"38",24.950001,26.709999,24.76,25.68,292821400,24.67846
"39",25.790001,27.780001,21.809999,22.34,369472700,21.468722
"40",22.49,22.700001,20.82,20.99,295970800,20.30268
"41",20.950001,24.57,20.25,24.370001,356627600,23.572002
"42",24.5,27.68,24.5,27.35,350235600,26.454421
"43",27.24,28.700001,26.290001,27.98,306226300,27.206206
"44",27.879999,30.129999,27.27,29,300423000,28.197998
"45",29.059999,30.709999,27.889999,29.879999,233482800,29.05366
"46",29.26,33.119999,28.75,32.360001,269041900,31.616176
"47",32.299999,33.900002,31.43,33.060001,294926700,32.300086
"48",33.119999,34.09,31.209999,33.5,240698800,32.729971
"49",33.369999,35.200001,33.049999,33.68,179362700,33.062157
"50",33.93,36.209999,33.240002,35.610001,196298300,34.956752
"51",35.330002,38.200001,34.450001,38,219955700,37.302908
"52",38,38.25,34.630001,35.470001,185721200,34.968201
"53",35.389999,37.529999,31.620001,35.880001,381192300,35.372401
"54",36.029999,39.580002,35.77,39.060001,186963800,38.507413
"55",38.5,40.950001,37.110001,40.130001,231053500,39.722975
"56",40.060001,41.099998,36.060001,36.130001,224536300,35.763546
"57",36.259998,38.860001,33.689999,34.84,275071500,34.486629
"58",34.84,35.130001,31.030001,31.16,333388200,30.993409
"59",31.85,33.75,31,32.970001,218787700,32.793734
"60",33.200001,35.599998,32.25,33.400002,210900600,33.221435
"61",33.41,34.279999,32.290001,32.91,79035700,32.91
