"","stock_data$NSC.Open","stock_data$NSC.High","stock_data$NSC.Low","stock_data$NSC.Close","stock_data$NSC.Volume","stock_data$NSC.Adjusted"
"1",54.689999,60.84,52.880001,53.049999,50418900,46.611759
"2",53.110001,57.869999,50.029999,56.27,102567400,49.440976
"3",57.330002,58,51.529999,53.68,54918100,47.462825
"4",54.34,60.799999,54.25,59.509998,54594200,52.617597
"5",59.09,63.18,57.91,61.490002,57577300,54.368278
"6",61.919998,63.639999,59.200001,60.169998,47997900,53.509964
"7",61.09,63.669998,61.09,62.82,37638900,55.866645
"8",63.25,66,60.220001,61.189999,68838400,54.417064
"9",61.709999,65.669998,60.439999,65.580002,58731300,58.699123
"10",65.900002,70,63.900002,69.269997,64616100,62.001951
"11",69.639999,74.959999,65.940002,74.68,47276300,66.844319
"12",74.599998,75,70.32,73.309998,46367700,65.971559
"13",73.260002,75.82,69.669998,74.93,50672000,67.429397
"14",75,78.400002,72.709999,75.699997,42967800,68.122316
"15",76.599998,76.660004,61.860001,67.68,88927200,61.266216
"16",67.720001,70.790001,59.279999,61.02,81032600,55.23736
"17",60.509998,75.860001,57.57,73.989998,61305400,66.978238
"18",70.919998,76.199997,70,75.540001,57932500,68.788216
"19",75.190002,76.489998,69.040001,72.860001,47327900,66.347755
"20",73.989998,78.5,71.900002,72.199997,64305900,65.746742
"21",72.480003,74,67.559998,68.900002,75506800,63.152804
"22",68.849998,69.389999,64.099998,65.830002,81701300,60.338884
"23",65.660004,73.760002,64.910004,72.93,62591200,66.846646
"24",72.940002,74.889999,64.660004,65.519997,58151000,60.436477
"25",64.330002,72.169998,62.82,71.769997,49140800,66.201556
"26",71.769997,75.230003,70.769997,74.050003,40513700,68.304663
"27",74.580002,75.559998,72.220001,72.459999,29553000,67.287747
"28",71.900002,75.139999,63.25,63.630001,55409200,59.088041
"29",64.010002,68.010002,60.959999,61.349998,69384700,57.428238
"30",61.599998,62.540001,56.049999,60.380001,75077300,56.520247
"31",60.669998,62.990002,59.259998,61.84,51317600,57.886917
"32",63.139999,71.239998,62.650002,68.870003,56264600,64.926504
"33",69.260002,73.790001,68.18,73.050003,45977100,68.867157
"34",72.610001,77.419998,72.209999,77.080002,40420900,72.666398
"35",76.940002,78.080002,72.260002,77.419998,47629700,72.986926
"36",76.849998,81,74.889999,76.589996,41321800,72.673799
"37",77.010002,78.360001,70.269997,72.650002,46079600,68.935264
"38",72.989998,78.199997,71.510002,73.160004,43474600,69.91348
"39",73.959999,76.550003,71.860001,72.160004,31909400,68.957856
"40",72.889999,78.910004,71.879997,77.349998,29287300,73.917541
"41",77.370003,88.989998,76.080002,86.019997,48921800,82.691486
"42",86.400002,88.419998,85,87.690002,27712700,84.296871
"43",87.699997,93.169998,86.550003,92.830002,31724000,89.23798
"44",92.330002,95.099998,87.139999,92.589996,46228000,89.007262
"45",93.129997,94.93,89.459999,91.910004,51887800,88.876443
"46",90.959999,98.089996,90.900002,97.169998,41984100,93.962827
"47",97.5,98.120003,91.910004,94.529999,36530800,91.934134
"48",94.379997,101.330002,92.690002,100.75,26138200,97.983329
"49",101.059998,104.629997,98.540001,103.029999,28768000,100.200717
"50",103.209999,108.839996,101.550003,101.660004,31308700,99.416065
"51",101.540001,107,99.629997,107,29115600,104.638192
"52",107,113.410004,106.599998,111.599998,29619600,109.136655
"53",110.860001,113.5,101.800003,110.639999,55115600,108.197846
"54",110.5,117.639999,108.129997,111.639999,31526900,109.750808
"55",111.080002,112.220001,101.019997,109.610001,53741100,107.755161
"56",110.699997,111.059998,99.800003,101.970001,50775400,100.244447
"57",102.199997,112.050003,102.089996,109.160004,37441300,107.906277
"58",109.610001,111.760002,101.959999,102.919998,45646900,101.737939
"59",102.650002,107.309998,97.809998,100.849998,54769300,100.258473
"60",101.540001,104.580002,91.849998,92,43500700,92
"61",92.480003,93.809998,89.730003,90.540001,13594800,90.540001
