"","stock_data$FAST.Open","stock_data$FAST.High","stock_data$FAST.Low","stock_data$FAST.Close","stock_data$FAST.Volume","stock_data$FAST.Adjusted"
"1",49.98,55.849998,49.619999,50.189999,31820200,22.347302
"2",50.349998,52.84,47.049999,49.080002,61496200,21.853071
"3",49.880001,51.57,44.639999,45.27,48061000,20.327646
"4",46.23,54.580002,45.709999,53.189999,52632000,23.883972
"5",53.599998,54.919998,50.73,51.48,42987200,23.116129
"6",51.68,54.27,50.900002,53.52,33298000,24.226073
"7",54.330002,60.389999,54.25,59.91,33135600,27.118535
"8",60.549999,61.529999,57.610001,58.060001,40627000,26.281125
"9",58.389999,63.740002,58.16,62.130001,28178800,28.346949
"10",62.16,64.879997,59,64.830002,35096000,29.57883
"11",65.059998,69.75,63.16,67.089996,44547400,30.733769
"12",67.139999,67.57,32.02,33.18,31015600,30.399359
"13",33.110001,36.419998,30.93,35.990002,42485900,32.973869
"14",36.040001,36.799999,32.869999,33.650002,46161400,30.947679
"15",34.080002,34.330002,29.139999,33.470001,71876800,30.782134
"16",33.5,37.779999,30.66,33.279999,63577600,30.60739
"17",32.900002,39.139999,31.24,38.09,64811600,35.169774
"18",37.169998,42.16,36.759998,41.650002,44913100,38.456843
"19",41.799999,44.400002,39.959999,43.610001,39465000,40.266576
"20",44.689999,47.59,43.25,46.68,50126800,43.258715
"21",47.209999,52.82,46.849998,52.68,41569200,48.818961
"22",52.91,55.049999,51.380001,54.099998,44221100,50.134884
"23",54.34,54.799999,45.610001,46.82,60194200,43.543674
"24",46.709999,47.889999,41.720001,44.23,63657900,41.134915
"25",43.450001,43.799999,37.610001,40.310001,54452200,37.489227
"26",40.349998,45.439999,38.720001,43.119999,43529800,40.28124
"27",43.439999,45.049999,41.48,43.09,32525200,40.253216
"28",42.860001,44.459999,41.540001,42.990002,40123100,40.159801
"29",43.419998,47.169998,42.240002,44.700001,40509300,41.958765
"30",44.939999,45.25,40,41.810001,49014000,39.245995
"31",41.970001,47.040001,41.060001,46.650002,41653100,44.314106
"32",47.709999,50,45.709999,49.68,44355700,47.287896
"33",49.900002,53.380001,49.389999,51.630001,28536600,49.144004
"34",51.57,52.349998,49.73,51.330002,24470900,48.85845
"35",51.540001,51.540001,47.009998,49.049999,39126100,46.876034
"36",48.939999,53.119999,47.720001,52.18,34836600,49.867309
"37",52.459999,52.48,44.389999,45.790001,38538600,43.760523
"38",46,49.34,44.900002,49.029999,39367100,47.109437
"39",49.450001,50.259998,43.75,43.990002,30397100,42.266862
"40",44.610001,51.48,44.360001,50.27,32094000,48.300866
"41",50.119999,51.599998,45.849998,49.830002,46100000,48.11918
"42",49.82,51.959999,45.860001,46.529999,39709300,44.932476
"43",46.709999,48.23,44.009998,47.509998,42080600,45.878829
"44",47.509998,48.439999,43.509998,43.93,62583700,42.661904
"45",43.759998,47.669998,42.48,47.189999,44919700,45.827798
"46",47.049999,50.810001,45.799999,49.299999,43746200,47.876891
"47",49.639999,52.209999,48.630001,50.080002,51627100,48.876196
"48",49.939999,50.299999,47.360001,48.75,28847900,47.578164
"49",48.84,50.98,48.759998,49.490002,24426000,48.300378
"50",49.57,50.220001,44.150002,44.360001,59568300,43.535934
"51",44.34,45.970001,43.41,45.279999,33586400,44.438841
"52",45.389999,47.419998,44.720001,44.900002,28696300,44.065903
"53",45,46.32,40.18,44.040001,52784400,43.477085
"54",43.990002,45.610001,43.82,45.200001,30743300,44.622258
"55",45.049999,48.43,44.169998,47.560001,34464200,46.952093
"56",47.849998,48.34,43.720001,44.400002,44125100,44.104494
"57",44.43,45.810001,40.98,41.549999,64172400,41.27346
"58",41.5,43.5,39.459999,41.439999,91947900,41.164192
"59",41.290001,43.400002,39.790001,42.619999,74206700,42.619999
"60",42.709999,43.419998,41.25,41.509998,36838500,41.509998
"61",42.23,42.549999,41.299999,42.169998,11153800,42.169998
