"","stock_data$TWC.Open","stock_data$TWC.High","stock_data$TWC.Low","stock_data$TWC.Close","stock_data$TWC.Volume","stock_data$TWC.Adjusted"
"1",52.369999,55.950001,51.73,52.080002,37237400,45.967036
"2",52.279999,57.689999,51.110001,57.169998,47459900,50.459587
"3",57.889999,59.470001,50.490002,51.57,55575800,45.877
"4",52.27,57.16,50.41,53.990002,63863100,48.029849
"5",53.990002,58.610001,53.860001,57.869999,50147100,51.481519
"6",58.049999,63.98,57.189999,61.540001,51984500,55.101698
"7",62.490002,66.769997,62.389999,66.029999,48570200,59.121953
"8",66.440002,72.410004,64.459999,67.830002,49666600,60.733641
"9",68.559998,72.660004,68.059998,72.18,38882900,65.078783
"10",72.370003,72.57,66.169998,71.339996,52698400,64.321421
"11",71.739998,78.260002,71.279999,78.129997,37232900,70.443408
"12",78.300003,79.209999,75.160004,77.220001,42581200,70.064814
"13",76.949997,78.25,72.769997,78.040001,45060500,70.808832
"14",78.050003,80.860001,71.760002,73.309998,33211000,66.51711
"15",74.139999,74.139999,60.630001,65.5,63327200,59.883376
"16",65.339996,68.330002,60.189999,62.669998,51891000,57.296047
"17",62.360001,72.410004,61.41,63.689999,59865700,58.228582
"18",61.950001,65.190002,57.150002,60.48,63469900,55.758172
"19",60.18,65.400002,60.18,63.57,40309400,58.606928
"20",64.410004,74.940002,63.93,73.720001,48417300,67.964493
"21",74.739998,79.949997,73.809998,79.339996,39007000,73.673235
"22",79.400002,81.75,77.309998,81.5,34207000,75.678963
"23",81.230003,83.639999,77.669998,80.449997,29619900,74.703955
"24",80.330002,81.970001,73.800003,75.400002,35626300,70.531499
"25",74.510002,82.099998,73.519997,82.099998,35468400,76.798884
"26",82.379997,86.300003,81.07,84.93,35933500,79.446155
"27",85.559998,91.739998,83.830002,88.82,36659000,83.605888
"28",89.010002,96.57,87.970001,95.059998,35547700,89.479571
"29",95.839996,100.5,95.360001,99.150002,37867900,93.329474
"30",99.160004,100.019997,89.059998,94.889999,43519900,89.859016
"31",95.169998,97.43,93.230003,97.190002,31227900,92.037075
"32",98.5,102,88.279999,89.339996,43947200,84.60327
"33",89.029999,90.669998,84.57,86.389999,71186400,82.428299
"34",86.300003,96.449997,86.080002,96.059998,53522800,91.654847
"35",96.110001,97.790001,89.809998,93.889999,67215800,89.584361
"36",93.940002,99.43,93.480003,95.510002,41304000,91.749551
"37",95.5,113.059998,92.870003,112.480003,61277100,108.051404
"38",112.760002,119.459999,107.800003,114.07,59469000,109.578799
"39",116.379997,120.93,106.010002,107.349998,42884300,103.123379
"40",108.239998,116,107.629997,111.599998,33030800,107.206047
"41",111.540001,124,108.879997,120.150002,44585000,115.419417
"42",120.419998,139.169998,116.980003,138.220001,60070800,133.434925
"43",137.979996,139.850006,129.690002,135.5,56920900,130.809089
"44",135.070007,137.199997,130.529999,133.270004,63232000,128.656294
"45",135.740005,147.279999,133.5,140.350006,99862800,136.230016
"46",139,142.339996,133.669998,137.179993,54231400,133.153059
"47",137.399994,142.600006,132.580002,141.460007,65102400,137.307433
"48",141.970001,142.839996,133.440002,141.160004,38745800,137.746907
"49",141.460007,148.199997,140.539993,147.300003,27860100,143.738448
"50",147.669998,154.119995,145.100006,145.100006,38775600,141.591644
"51",146.149994,149.139999,142.899994,147.929993,28983200,145.091761
"52",148.190002,155.320007,143.240005,143.490005,41056000,140.736961
"53",144,147.570007,128.779999,147.210007,66662300,144.385589
"54",149.419998,150,131,149.279999,74438000,147.170646
"55",149.020004,155.949997,142.75,152.059998,36714100,149.911363
"56",153.029999,153.539993,135.520004,136.130005,39870900,134.206464
"57",137.179993,155.070007,134.210007,154.050003,46876000,152.625144
"58",154.059998,159.940002,146.740005,149.880005,54577800,149.253763
"59",150.009995,161.139999,145.440002,155.520004,103786500,154.870197
"60",156,184.889999,152.809998,180.889999,98897300,180.134189
"61",181.860001,182.610001,174.639999,179.100006,27146300,178.351675
