"","stock_data$EW.Open","stock_data$EW.High","stock_data$EW.Low","stock_data$EW.Close","stock_data$EW.Volume","stock_data$EW.Adjusted"
"1",53.139999,56.439999,51.349998,56.02,13305500,56.02
"2",56.18,59.279999,53.369999,57.799999,21042000,57.799999
"3",58.43,58.82,56.43,57.57,15934500,57.57
"4",58.049999,69.290001,53.099998,67.050003,36844500,67.050003
"5",67.419998,68.25,63.23,63.91,14491800,63.91
"6",64,67.099998,63.580002,66.360001,11889300,66.360001
"7",66.849998,85.470001,66.779999,80.839996,20092400,80.839996
"8",81.529999,86.260002,77.260002,84.290001,15891800,84.290001
"9",85.080002,89.940002,83.839996,85.040001,11592900,85.040001
"10",85.43,91.82,84.540001,87,41642900,87
"11",87.489998,88.620003,80.440002,86.349998,28695600,86.349998
"12",86.879997,90.379997,84.93,88.730003,16598300,88.730003
"13",88.730003,89.150002,82.540001,87.18,15658700,87.18
"14",87.129997,91.5,70.879997,71.349998,28053100,71.349998
"15",71.690002,76.419998,61.630001,75.449997,34641800,75.449997
"16",75.529999,79.900002,67.5,71.279999,25713000,71.279999
"17",70.889999,76.57,64.82,75.419998,23438000,75.419998
"18",73.550003,77.400002,61.59,66.029999,26839400,66.029999
"19",65.730003,71.82,62.689999,70.699997,19064500,70.699997
"20",72.080002,83.959999,70.040001,82.669998,21720200,82.669998
"21",82.470001,83.370003,70.18,73.129997,28841100,73.129997
"22",73.18,75.709999,67.949997,72.730003,28080800,72.730003
"23",72.779999,83.489998,67.860001,82.970001,24416700,82.970001
"24",82.25,88.089996,81.589996,85.370003,23093500,85.370003
"25",84.040001,104.25,82.919998,103.300003,26378500,103.300003
"26",103,106.940002,97.940002,101.199997,18671200,101.199997
"27",102.089996,103.559998,96.360001,102.110001,15183400,102.110001
"28",101.68,109.879997,101.68,107.370003,17048000,107.370003
"29",107.330002,110.790001,81.290001,86.830002,32983800,86.830002
"30",87.080002,90.68,83.080002,86.769997,19446300,86.769997
"31",86.879997,93.330002,85.599998,90.169998,17338100,90.169998
"32",91.919998,94.980003,89.620003,89.93,16671000,89.93
"33",91.699997,93.980003,83.959999,85.93,25157700,85.93
"34",85.779999,90.309998,78.099998,82.160004,21578100,82.160004
"35",82.209999,86.110001,62.990002,63.790001,36717400,63.790001
"36",63.52,72.400002,62.34,66.459999,35398100,66.459999
"37",66.620003,72.639999,64.360001,67.199997,22494100,67.199997
"38",67.32,73.309998,65.029999,71.379997,26574000,71.379997
"39",72.199997,73.730003,69.389999,70.379997,17475300,70.379997
"40",71.099998,72.610001,67.540001,69.629997,29804400,69.629997
"41",69.989998,78.889999,64.879997,65.190002,40949200,65.190002
"42",65.440002,65.93,62.169998,65.529999,23808300,65.529999
"43",65.669998,66.510002,60.619999,65.760002,28261500,65.760002
"44",65.68,73.480003,64.080002,65.120003,33528300,65.120003
"45",65.290001,70.830002,63.040001,69.760002,24373600,69.760002
"46",69.370003,75.620003,68.760002,74.169998,26208000,74.169998
"47",74.769997,84.400002,72.790001,81.470001,32238500,81.470001
"48",81.269997,87.029999,78.860001,81.199997,22035500,81.199997
"49",81.120003,88.190002,78.120003,85.839996,21086000,85.839996
"50",86.089996,94.5,84.050003,90.25,26424500,90.25
"51",90.199997,99.349998,89.419998,99.260002,18290800,99.260002
"52",99.360001,104.690002,96.839996,102.150002,16679000,102.150002
"53",102.309998,122,97.07,120.919998,23931800,120.919998
"54",120.870003,131.270004,118.889999,129.679993,15180900,129.679993
"55",129.589996,134.289993,125.339996,127.379997,20510700,127.379997
"56",128.190002,137.190002,124.690002,125.349998,18614200,125.349998
"57",125.690002,137.580002,123.970001,133.020004,18856000,133.020004
"58",133.020004,150.410004,132.009995,142.460007,24081700,142.460007
"59",142.059998,145.869995,126.089996,126.650002,21125800,126.650002
"60",127.120003,134.270004,122.75,130.720001,24834800,130.720001
"61",130.779999,135.070007,129.240005,134.699997,6241100,134.699997
