"","stock_data$WY.Open","stock_data$WY.High","stock_data$WY.Low","stock_data$WY.Close","stock_data$WY.Volume","stock_data$WY.Adjusted"
"1",39.720001,41.77,35.139999,35.200001,42588400,11.310375
"2",35.060001,41.939999,15.27,16.219999,119759500,14.147195
"3",16.68,17.73,15.06,15.7,81044900,13.693648
"4",15.89,16.690001,15.28,15.76,139910900,13.74598
"5",16,16.34,15.1,16.219999,94559300,14.147195
"6",16.370001,18,16.18,16.690001,88015200,14.601624
"7",16.98,19.049999,16.799999,18.93,95619000,16.561338
"8",19.209999,23.290001,19.209999,23.18,165417300,20.279546
"9",23.34,25.33,22.58,24.41,139517200,21.490234
"10",24.549999,25.15,22.860001,24.6,133749100,21.657508
"11",24.82,25.25,21.719999,23.01,110337400,20.257693
"12",23.040001,23.129999,20.75,21.540001,96913500,19.090344
"13",21.459999,21.99,19.879999,21.860001,116424400,19.373951
"14",21.809999,22.620001,19.5,19.99,100683000,17.716618
"15",20.129999,20.129999,15.43,18.030001,202060000,16.117752
"16",17.950001,18.1,15.55,15.55,129304300,13.900779
"17",15.5,18.559999,14.82,17.98,153231000,16.073054
"18",17.459999,17.68,15.4,16.790001,121197100,15.14108
"19",16.709999,19.040001,16.26,18.67,97688100,16.836448
"20",19.08,21.120001,18.5,20.02,116168600,18.053867
"21",20.200001,21.41,19.82,20.889999,96853600,18.971841
"22",21.01,22.360001,20.540001,21.92,88601900,19.907265
"23",21.83,22.23,19.68,20.360001,83160300,18.490508
"24",20.33,20.73,18.6,19.91,99118500,18.219366
"25",19.43,22.360001,18.700001,22.360001,95145100,20.461328
"26",22.34,23.99,21.870001,23.35,107075100,21.367263
"27",23.549999,24.959999,22.85,24.91,84451500,22.934642
"28",24.93,28.059999,24.690001,26.139999,99666600,24.067102
"29",26.27,28.82,25.950001,27.690001,94722300,25.494189
"30",27.82,28.24,24.75,27.559999,89296700,25.532914
"31",27.620001,28.52,26.42,27.82,76632900,25.773791
"32",28.5,31.74,28.360001,30.120001,100378900,27.904623
"33",30.389999,31.110001,28.780001,29.41,92978100,27.405581
"34",29.299999,31.440001,28.9,31.379999,68036300,29.241316
"35",31.360001,32,28.91,30.51,101665500,28.430611
"36",30.360001,33.240002,29.540001,29.82,104907900,27.965878
"37",29.99,30.469999,26.379999,28.49,194622800,26.718574
"38",28.52,29.860001,27.57,28.4,92281000,26.634169
"39",28.549999,28.780001,26.639999,27.379999,97412400,25.885965
"40",27.57,29.639999,26.91,28.629999,88180700,27.067757
"41",28.719999,32,28.01,30.42,91309300,28.96598
"42",30.41,30.799999,28.559999,30.129999,72602200,28.689841
"43",30.1,31.709999,29.01,31.57,79383800,30.061012
"44",31.379999,31.59,29.66,29.879999,67895300,28.45179
"45",29.879999,30.6,28.84,29.51,65761700,28.307622
"46",29.370001,30.290001,28.629999,29.35,77690100,28.154141
"47",29.24,30,27.48,29.85,80746200,28.633769
"48",29.76,31.48,29.540001,31.42,97788000,30.36053
"49",31.459999,33.259998,30.5,33.09,218760300,31.974219
"50",33.07,33.75,31.299999,31.32,219862300,30.263902
"51",31.889999,34.599998,31.09,33.950001,58327700,33.085111
"52",34,34.18,31.549999,31.860001,68165300,31.048355
"53",31.860001,34.130001,31.610001,33.860001,85927300,33.280182
"54",33.880001,35.540001,33.77,35.310001,57462400,34.705353
"55",35.290001,36.880001,34.68,35.889999,71543900,35.275419
"56",35.869999,37.040001,35.119999,35.849998,60819500,35.236103
"57",35.830002,35.830002,34.75,35.110001,58286100,34.795938
"58",35.110001,35.599998,32.740002,33.150002,71682300,32.853471
"59",33.169998,33.189999,31.25,31.51,77996500,31.22814
"60",31.389999,33.060001,31.059999,32.560001,81090700,32.268749
"61",32.59,32.799999,31.209999,31.799999,34389700,31.799999
