"","stock_data$PEP.Open","stock_data$PEP.High","stock_data$PEP.Low","stock_data$PEP.Close","stock_data$PEP.Volume","stock_data$PEP.Adjusted"
"1",63.029999,64.790001,60.5,60.950001,116426300,52.60139
"2",61.130001,65.790001,60.32,64.910004,141030200,56.018972
"3",65.470001,66.830002,63.18,64.18,113423100,55.388961
"4",64.519997,67.309998,64.519997,66.440002,114594000,57.77147
"5",66.760002,68.110001,63.779999,65.300003,156983100,56.780208
"6",65.489998,66.099998,63.43,64.629997,131219500,56.197619
"7",64.790001,66.510002,64.279999,65.330002,119167100,57.231343
"8",65.910004,67.459999,64.089996,64.309998,135788100,56.337784
"9",64.529999,65.139999,62.560001,63.419998,169952600,55.558114
"10",63.689999,65.330002,62.049999,64.410004,155291700,56.857154
"11",64.870003,69.940002,64.470001,68.889999,112344300,60.811816
"12",69.239998,71.889999,68.459999,71.120003,129381000,62.780324
"13",70.580002,70.870003,67.459999,70.43,144358800,62.624717
"14",70.080002,70.75,63.549999,64.040001,168592300,56.942878
"15",64.220001,65.480003,60.099998,64.43,284855800,57.750623
"16",64.379997,64.879997,59.25,61.900002,232660100,55.482906
"17",61.59,63.619999,58.5,62.950001,180767300,56.424053
"18",62.110001,66.650002,61.560001,64,166212200,57.833061
"19",64.269997,66.779999,63.830002,66.349998,106578400,59.956618
"20",66.860001,67.190002,64.129997,65.669998,120704200,59.342141
"21",65.989998,66.980003,62.330002,62.939999,213830000,57.341573
"22",63.049999,66.5,62.150002,66.349998,138520100,60.448259
"23",66.260002,66.860001,64.639999,66,120469200,60.129392
"24",65.919998,69.339996,65.68,67.849998,186868900,62.298272
"25",67.019997,70.660004,66.660004,70.660004,132167300,64.878353
"26",70.339996,72.940002,68.459999,72.730003,123402100,66.778978
"27",72.790001,73.660004,71.089996,72.43,117388900,66.503522
"28",72.550003,72.68,69.959999,70.769997,106262700,65.465276
"29",70.699997,71.470001,68.230003,69.239998,117614900,64.049962
"30",69.25,70.639999,67.720001,70.209999,100168400,64.947255
"31",70.32,70.889999,67.389999,68.43,98276000,63.791026
"32",69.18,73.459999,68.639999,72.849998,120185200,67.911386
"33",73.080002,76.330002,70.980003,75.769997,122822500,71.138611
"34",75.550003,79.269997,75.370003,79.110001,108962100,74.27446
"35",78.760002,84.32,78.25,82.470001,123909700,77.429083
"36",82.360001,84.779999,80.699997,80.769997,92016900,75.83299
"37",80.669998,83.190002,78.199997,81.790001,112685400,77.328718
"38",81.959999,87.059998,80.290001,83.540001,111819000,78.983263
"39",84.040001,85.43,78.610001,79.730003,93237000,75.381084
"40",80.480003,82.940002,78.32,79.5,92056100,75.699753
"41",79.379997,85.5,78.669998,84.089996,109417600,80.070339
"42",84.150002,86.730003,83.830002,84.459999,79017100,80.422655
"43",84.43,84.519997,79.959999,82.940002,99693900,79.514269
"44",82.93,83.989998,79.900002,80.360001,102347400,77.040831
"45",80.349998,81.849998,77.010002,80.07,143431700,76.762808
"46",79.169998,83.800003,79.099998,83.5,118964900,80.617503
"47",83.07,87,81.989998,85.889999,116138500,82.924997
"48",86,88.480003,84.949997,88.330002,76849900,85.280769
"49",88.120003,90.239998,86.709999,89.339996,82689300,86.901105
"50",89.120003,93.089996,88.07,88.099998,91149100,85.694958
"51",87.709999,93.510002,87.459999,92.489998,90996100,89.965115
"52",92.620003,94.209999,90.580002,93.089996,86888800,91.194629
"53",92.669998,96.739998,89.82,96.169998,126686700,94.21192
"54",95.940002,100.699997,95.5,100.099998,75405700,98.061904
"55",98.559998,100.57,92.43,94.559998,94374300,93.243073
"56",94.93,99,92.940002,93.779999,112233600,92.473938
"57",93.860001,100.760002,93.599998,98.980003,101036500,97.601522
"58",98.980003,99.300003,92.239998,95.620003,111295500,94.920151
"59",95.160004,97.639999,93.260002,95.120003,95859000,94.423811
"60",95.160004,98.440002,94.760002,96.43,77534900,95.72422
"61",96.589996,96.589996,92.720001,93.690002,32827100,93.690002
