"","stock_data$DNB.Open","stock_data$DNB.High","stock_data$DNB.Low","stock_data$DNB.Close","stock_data$DNB.Volume","stock_data$DNB.Adjusted"
"1",71.099998,73.870003,66.989998,67.120003,4772400,61.398349
"2",67.040001,71.980003,65.5,68.360001,8871300,62.532643
"3",68.540001,69.919998,65.339996,65.900002,8020900,60.599623
"4",66.599998,75.25,66.290001,74.139999,6483600,68.176873
"5",74.720001,76.309998,73.220001,74.410004,6494000,68.42516
"6",74.739998,77.510002,74.449997,75.339996,5052900,69.605002
"7",76.059998,82.300003,75.919998,82.089996,4567000,75.841182
"8",82.510002,87.080002,80.269997,84.949997,5929000,78.483475
"9",85.559998,86.540001,80.32,80.800003,5380000,74.981938
"10",81.099998,81.099998,76.910004,80.239998,6668900,74.462257
"11",80.739998,83.830002,79.470001,82.18,5842500,76.262568
"12",82.639999,83.139999,78.980003,80.209999,5358500,74.770256
"13",79.879997,79.879997,72.919998,75.540001,7043300,70.416972
"14",75.75,76.900002,71.82,72.550003,5302600,67.629752
"15",73.080002,73.120003,62.040001,66.889999,15219900,62.697884
"16",67.220001,67.489998,60.439999,61.259998,9886100,57.420725
"17",61.110001,69.650002,58.5,66.860001,10509100,62.669765
"18",65.389999,69.959999,63.689999,69.870003,10711800,65.842287
"19",69.769997,75,69.419998,74.830002,8577700,70.516362
"20",76.150002,83.139999,74.370003,82.809998,6859400,78.036344
"21",83.290001,85.43,77.349998,82.650002,8914400,78.243144
"22",83.260002,86.519997,81.519997,84.730003,8803600,80.212241
"23",84.769997,85.949997,77.43,77.779999,8013700,73.632807
"24",77.720001,79.129997,62.619999,67.57,21126100,64.33147
"25",66.910004,71.309998,63.060001,71.169998,12228300,67.758926
"26",71.5,83.199997,68.129997,80.190002,9830900,76.346615
"27",78.980003,85.790001,72.129997,80.949997,16459700,77.432329
"28",80.809998,86.459999,78.940002,79.620003,8514300,76.160129
"29",80.010002,83.43,77.650002,81.040001,7932600,77.518422
"30",81.040001,83.889999,70.379997,79.18,14171400,76.109751
"31",79.480003,84.080002,77.25,78.650002,8698500,75.600303
"32",79.910004,82.129997,77.709999,81.540001,9320600,78.378241
"33",82.099998,85.449997,77.599998,80.599998,14282200,77.857376
"34",80.470001,83.730003,79.809998,83.650002,8484400,80.803595
"35",83.709999,89.330002,82.290001,88.449997,8426100,85.440258
"36",88.239998,101.470001,86.489998,98.139999,13110500,95.188104
"37",98.379997,99.93,93.809998,97.449997,7827800,94.518856
"38",97.970001,112.099998,97.669998,103.629997,10219600,100.512972
"39",104.739998,108.139999,99.150002,99.480003,6208500,96.873829
"40",100.650002,108.900002,98.690002,103.849998,5974000,101.129339
"41",104.160004,110.150002,99.400002,108.790001,6350800,105.939924
"42",108.730003,117.690002,106.550003,116.849998,7952500,114.180606
"43",116.809998,124.169998,113.760002,122.75,7589000,119.945824
"44",122.550003,124.589996,109.080002,110,9694000,107.487093
"45",109.68,115.300003,94.290001,99.209999,16461500,97.395296
"46",98.900002,102.970001,96.059998,99.349998,12976300,97.532735
"47",99.610001,110.93,98.010002,110.760002,11589700,108.734032
"48",110.690002,110.959999,102.5,103.25,7040000,101.788635
"49",103.959999,110.599998,101.769997,110.199997,7694100,108.640264
"50",110.68,112.919998,108.870003,110.029999,6006800,108.472672
"51",109.620003,119.599998,105.639999,117.379997,6478300,116.151599
"52",118.019997,120.330002,114.639999,117.470001,7173000,116.240661
"53",117.540001,124.529999,108.860001,122.809998,8998000,121.524773
"54",122.699997,128.029999,121.029999,126.949997,3910900,126.062085
"55",126.699997,126.699997,113.379997,120.959999,6423500,120.113982
"56",121.699997,122.379997,114.18,115.110001,4912400,114.3049
"57",115.279999,137.25,113.889999,132.479996,6534900,132.004394
"58",133.039993,133.970001,124.739998,128.360001,6186300,127.89919
"59",128.460007,134.919998,126.849998,127.669998,4237400,127.211664
"60",127.949997,130,124.239998,127.93,4666300,127.93
"61",128.550003,130.580002,125.800003,130.089996,1289800,130.089996
