"","stock_data$SPG.Open","stock_data$SPG.High","stock_data$SPG.Low","stock_data$SPG.Close","stock_data$SPG.Volume","stock_data$SPG.Adjusted"
"1",83.320002,91.119993,80.489994,80.749994,46002200,65.581452
"2",80.920004,90.350001,76.469998,89.219996,59887300,72.460401
"3",90.929991,94.489993,86.619996,90.449998,55450600,73.954413
"4",92.069996,98.390001,91.609994,92.739999,45706700,75.826782
"5",93.470001,99.459992,92.129994,96.020002,41987500,78.508602
"6",97.009995,106.539997,95.500002,98.499997,52765200,81.176387
"7",99.939993,103.179997,94.299991,99.489991,39832400,81.992266
"8",100.209992,102.109998,95.289992,101.449994,38008400,83.607556
"9",102.03,110.269994,100.769991,110.039993,33632100,91.374732
"10",110.32,110.489995,102.180004,107.159994,36427000,88.983246
"11",107.509999,115.839998,104.419998,114.539998,30404000,95.111435
"12",115.099997,118.1,112.66,118.059993,33894500,98.709587
"13",117.979996,117.979996,110.099999,116.230002,41283400,97.179537
"14",115.979993,123.480002,115.889996,120.509997,30568600,100.758028
"15",121.819997,122.669995,99.599995,117.499994,72534900,98.934072
"16",117.869999,121.180001,109.010001,109.979995,56525000,92.602292
"17",109.059999,130.099989,103.319992,128.440001,56090400,108.145472
"18",125.129999,131.209995,115.210001,124.339999,38320500,105.43481
"19",123.829991,131.919997,119.629993,128.939993,32952300,109.517119
"20",131.199995,137.289991,125.529994,135.859995,33290400,115.394726
"21",136.810006,139.629999,134.339986,135.479991,24969500,115.876897
"22",135.77999,146.339991,135.2,145.679996,43200300,124.601026
"23",145.839991,155.92,141.559995,155.599993,28998200,133.085663
"24",155.599993,158.599997,143.929994,147.520003,31596400,126.996992
"25",144.630004,155.71999,142.079995,155.659992,29330600,134.004544
"26",156.659993,162.45999,154.709997,160.489994,24563400,138.162596
"27",161.489996,163.750006,156.039996,158.699994,26868400,137.538252
"28",158.699994,164.169993,150.849988,151.809991,31657400,131.566991
"29",152.209994,156.359986,149.529997,152.209994,24642100,131.913657
"30",152.159988,156.429992,145.209986,152.129997,27110300,132.806632
"31",152.569999,160.699996,151.129996,158.089988,25872900,138.009593
"32",160.189988,163.689992,157.799989,160.179996,21420900,139.834131
"33",161.299993,164.319996,156.699991,158.860005,23612600,139.664153
"34",158.579997,163.419992,156.079995,158.559998,25153400,139.400397
"35",158.579997,178.099986,158.199993,178.069995,31714400,156.552904
"36",177.849986,182.450004,166.389988,166.439995,30158000,147.273163
"37",166.32999,168.959997,152.019992,157.920002,37589800,139.734312
"38",159.199994,166.999993,156.369994,160.06,28521000,141.627873
"39",160.829984,161.39999,143.199992,145.629989,27608300,129.821533
"40",146.239995,157.389994,142.469991,148.230005,30915200,132.139312
"41",148.429983,161.989996,147.599984,154.549986,30997900,137.773244
"42",155.309994,157.159993,147.509995,149.850003,25733500,134.662189
"43",151.139987,155.860002,147.549994,152.159988,32627400,136.738049
"44",152.389989,158.980001,149.599987,154.840001,34562100,139.146434
"45",154.099992,162.179998,150.410002,161.290002,28438000,146.089775
"46",160.569992,164.929985,157.079996,163.99999,29497600,148.544369
"47",163.859994,173.219993,163.189991,173.199994,30868400,156.87735
"48",173.089989,177.310003,164.039993,166.460007,26177900,161.473553
"49",166.330002,170.339996,162.559998,166.279999,29832600,161.298938
"50",166.869995,172.720001,164.940002,168.190002,24723900,163.151726
"51",166.130005,171.490005,165.020004,170.029999,25864800,166.229593
"52",170.619995,173.309998,162.429993,164.419998,28244600,160.744984
"53",164.289993,179.610001,163.410004,179.210007,34268800,175.204415
"54",179.800003,184.029999,175.360001,180.800003,28331600,178.040384
"55",180.380005,188.179993,178.289993,182.110001,28067900,179.330387
"56",183.149994,206.309998,182.970001,198.660004,30819200,195.627781
"57",199.039993,203.5,186.789993,190.360001,26102800,188.81177
"58",190.490005,199.089996,178.839996,195.639999,39775600,194.048825
"59",195.820007,202.279999,180.550003,181.490005,27821400,180.013916
"60",181.759995,189.259995,180.100006,181.399994,28088700,181.399994
"61",181.639999,184.080002,174.210007,176.350006,10428800,176.350006
