"","stock_data$EQR.Open","stock_data$EQR.High","stock_data$EQR.Low","stock_data$EQR.Close","stock_data$EQR.Volume","stock_data$EQR.Adjusted"
"1",42.470001,46.919998,41.59,41.639999,47960600,35.64524
"2",41.849998,47.5,39.689999,45.849998,72038700,39.24914
"3",46.73,47.57,43.869999,45.830002,52079000,39.232023
"4",46.490002,50.799999,46.290001,47.57,61863200,41.004599
"5",47.779999,52.200001,47.23,48.630001,49000800,41.918304
"6",48.939999,51.099998,47.009998,49.98,52728100,43.081982
"7",50.52,52.639999,49.150002,51.950001,40938700,45.194405
"8",52.27,54.34,49.599998,54.189999,39863500,47.143112
"9",54.52,55.439999,52.18,55.110001,37725000,47.943477
"10",55.07,56.43,52.439999,56.41,43316600,49.383698
"11",56.779999,59.82,55.310001,59.740002,32652200,52.298922
"12",59.91,61.860001,58.34,61.830002,33174500,54.128597
"13",61.619999,61.68,57.709999,60,46524200,52.828774
"14",60.130001,63.860001,60.029999,61.82,44672300,54.431247
"15",62.450001,62.529999,51.93,61.18,85325100,53.867741
"16",61.029999,62.080002,50.380001,51.869999,62194900,45.935198
"17",51.529999,60.32,48.459999,58.68,54721200,51.96602
"18",56.540001,59.450001,52.099998,55.189999,49115800,48.875334
"19",54.91,57.990002,52.939999,57.029999,43837000,51.034553
"20",57.77,59.849998,53.560001,59.549999,51837400,53.289631
"21",60,60.57,56.720001,56.889999,34998800,50.909271
"22",56.84,62.790001,56.790001,62.619999,42135100,56.3502
"23",62.470001,62.799999,58.990002,61.439999,37641600,55.288347
"24",61.509998,63.84,60.139999,61.099998,44367100,54.982389
"25",59.919998,62.509998,58.669998,62.360001,45035000,56.424737
"26",62.84,65.720001,61.98,63.310001,33068100,57.284319
"27",63.369999,63.830002,59.009998,60.400002,34555100,54.651286
"28",60.490002,61.470001,56.759998,57.529999,34592000,52.350483
"29",57.630001,58.119999,55.57,57.41,31740300,52.241288
"30",57.240002,59.610001,53.25,55.509998,58382400,50.512346
"31",55.759998,56.970001,54.34,56.669998,39938300,52.281047
"32",57.540001,58.810001,55.34,55.389999,31072900,51.100181
"33",55.700001,58.099998,53.639999,55.040001,49858300,50.777289
"34",55.029999,56.540001,54.209999,55.060001,39137300,51.167529
"35",54.970001,59.419998,54.700001,58.060001,36617000,53.955444
"36",57.68,60.970001,55.900002,56.549999,64827300,52.552191
"37",56.580002,58.799999,52.709999,58.060001,49396800,54.350722
"38",58.34,59.400002,55.080002,56,34676400,52.422328
"39",56.259998,56.540001,50.240002,51.889999,39834400,48.574903
"40",52.259998,56.970001,50.77,53.57,37591800,50.505195
"41",53.610001,56.060001,51.759998,52.360001,40571200,49.364421
"42",52.450001,53.389999,50.080002,51.540001,33585200,48.591335
"43",51.299999,54.049999,50.889999,51.869999,48925200,49.523283
"44",51.740002,55.610001,51.549999,55.380001,46059800,52.874485
"45",55.23,59.34,54.560001,58.470001,44429100,55.824687
"46",58.360001,59.41,56.509998,57.990002,34047900,55.853956
"47",58.150002,60.34,57.189999,59.439999,43485200,57.250543
"48",58,62.57,58,61.799999,30901600,59.523614
"49",61.810001,63.540001,60.52,63,30306500,61.17427
"50",63.209999,66.769997,62.75,64.650002,33860200,62.776455
"51",64.43,67.43,63.84,66.470001,28139300,64.543711
"52",66.629997,67.910004,60.439999,61.580002,51836400,60.279285
"53",61.580002,69.57,61.470001,69.559998,60091700,68.090724
"54",69.68,71.919998,68.940002,70.839996,32596700,69.343686
"55",70.93,74.720001,69.779999,71.839996,35827200,70.797394
"56",72.279999,81.029999,72.059998,77.610001,38375700,76.483659
"57",77.720001,80.519997,75.949997,77.029999,41493100,75.912075
"58",77.279999,82.529999,74.82,77.860001,43709300,77.260412
"59",77.940002,79.230003,73.330002,73.860001,31315100,73.291215
"60",74.120003,75.949997,72.019997,74.32,29432300,73.747672
"61",74.639999,75.279999,70.050003,70.889999,14348100,70.344085
