"","stock_data$F.Open","stock_data$F.High","stock_data$F.Low","stock_data$F.Close","stock_data$F.Volume","stock_data$F.Adjusted"
"1",11.21,11.8,9.75,10.08,1224584800,9.15699
"2",10.23,13.18,10.02,12.77,1740320300,11.600672
"3",13.06,13.24,10.95,11.29,1339522800,10.256193
"4",11.53,12.75,11.46,12.24,1108738500,11.119202
"5",12.24,14.47,12.12,14.13,1521047100,12.836138
"6",14.32,17.42,14.16,15.94,2621318600,14.480399
"7",16.24,17.030001,16.139999,16.790001,1070529800,15.252567
"8",17.02,18.969999,15.45,15.95,2089855900,14.489484
"9",16.139999,16.51,14.49,15.05,1811316400,13.671896
"10",15.1,15.2,13.75,14.91,1694518000,13.544715
"11",15.03,16.18,14.49,15.47,1391133800,14.053437
"12",15.52,15.69,14.35,14.92,1097287800,13.553799
"13",14.78,14.9,12.65,13.79,1533251800,12.527272
"14",13.92,14.22,12,12.21,1175379700,11.09195
"15",12.75,12.81,9.81,11.12,2067271200,10.101759
"16",11.14,11.27,9.32,9.67,1226287900,8.784534
"17",9.66,12.65,9.05,11.68,1642757200,10.610481
"18",11.33,11.68,9.75,10.6,1090835600,9.629375
"19",10.51,11.42,9.84,10.76,1002379200,9.774724
"20",11,13.05,10.99,12.42,1264807200,11.327001
"21",12.73,13,11.99,12.38,898481400,11.290521
"22",12.48,13.04,12,12.48,963165900,11.38172
"23",12.5,12.95,11.15,11.28,937904000,10.331858
"24",11.25,11.34,9.96,10.56,1012184100,9.672378
"25",10.33,10.8,9.46,9.59,956337200,8.783911
"26",9.5,9.79,8.83,9.24,848181000,8.46333
"27",9.29,9.7,8.82,9.34,674626400,8.60147
"28",9.37,10.66,9.35,9.86,767225900,9.080352
"29",9.89,11.17,9.71,11.16,931586400,10.327402
"30",11.19,11.6,10.38,11.45,886550600,10.595767
"31",11.56,13.08,11.03,12.95,1202835100,11.983858
"32",13.23,14.3,12.67,12.95,1270969800,12.072104
"33",13.1,13.31,12.1,12.61,643595600,11.755153
"34",12.56,13.47,12.38,13.15,648764200,12.258546
"35",13.01,13.76,12.15,13.71,802194900,12.780583
"36",13.64,16.040001,13.35,15.68,998950500,14.724434
"37",15.93,16.09,14.3,15.47,840682200,14.527232
"38",15.61,17.68,15.56,16.879999,857103700,15.944656
"39",17.040001,17.5,15.71,16.190001,738452700,15.292891
"40",16.42,17.77,16.209999,16.870001,771336600,15.935212
"41",16.93,18.02,16.35,17.110001,860633500,16.254214
"42",17.24,17.24,16.530001,17.08,672392400,16.225714
"43",17.120001,17.200001,15.1,15.43,1037390500,14.658242
"44",15.42,16.780001,14.9,14.96,1003488000,14.325662
"45",15,15.49,14.4,15.39,712696400,14.737429
"46",15.2,15.83,15.03,15.6,617354600,14.938525
"47",15.67,16.49,15.53,16.15,664199500,15.586062
"48",16.15,16.559999,15.43,16.440001,504923500,15.865937
"49",16.51,17.35,16.379999,17.24,558726900,16.638001
"50",17.34,18.120001,17.01,17.02,618952400,16.543381
"51",17.049999,17.52,16.719999,17.41,420844900,16.922459
"52",17.48,17.870001,14.49,14.79,655715300,14.375828
"53",14.77,14.83,13.26,14.09,910207300,13.817406
"54",14.1,15.84,13.86,15.73,602637100,15.425677
"55",15.78,16.129999,13.93,15.5,593481500,15.200127
"56",15.59,15.65,14.3,14.71,596890300,14.572609
"57",14.75,16.620001,14.74,16.34,524519300,16.187385
"58",16.34,16.74,15.69,16.139999,609978100,15.989252
"59",16.16,16.16,15.7,15.8,539789600,15.8
"60",15.9,15.94,15.14,15.17,426299800,15.17
"61",15.33,15.5,14.78,15.03,223696800,15.03
