"","stock_data$SAI.Open","stock_data$SAI.High","stock_data$SAI.Low","stock_data$SAI.Close","stock_data$SAI.Volume","stock_data$SAI.Adjusted"
"1",0.24,0.24,0.24,0.24,0,0.24
"2",0.24,0.33,0.21,0.255,1443500,0.255
"3",0.255,0.255,0.21,0.25,521200,0.25
"4",0.25,0.3,0.23,0.25,334300,0.25
"5",0.25,0.25,0.2,0.22,113300,0.22
"6",0.22,0.38,0.22,0.24,2524000,0.24
"7",0.25,0.3,0.23,0.24,1845600,0.24
"8",0.235,0.25,0.205,0.205,1331300,0.205
"9",0.21,0.24,0.18,0.2,468000,0.2
"10",0.175,0.185,0.08,0.12,756900,0.12
"11",0.12,0.18,0.12,0.165,309600,0.165
"12",0.18,0.18,0.11,0.16,84800,0.16
"13",0.16,0.17,0.11,0.11,569300,0.11
"14",0.15,0.15,0.07,0.075,369100,0.075
"15",0.07,0.07,0.055,0.06,48000,0.06
"16",0.06,0.075,0.04,0.065,239200,0.065
"17",0.07,0.1,0.04,0.1,114500,0.1
"18",0.095,0.1,0.04,0.05,347000,0.05
"19",0.06,0.095,0.04,0.05,560500,0.05
"20",0.05,0.08,0.05,0.08,29000,0.08
"21",0.08,0.08,0.05,0.05,11000,0.05
"22",0.045,0.045,0.025,0.025,90500,0.025
"23",0.05,0.05,0.025,0.035,332000,0.035
"24",0.04,0.055,0.035,0.035,585100,0.035
"25",0.035,0.08,0.035,0.07,527500,0.07
"26",0.07,0.07,0.035,0.04,57000,0.04
"27",0.04,0.04,0.035,0.04,21000,0.04
"28",0.04,0.04,0.03,0.03,30000,0.03
"29",0.03,0.04,0.03,0.03,169000,0.03
"30",0.03,0.06,0.025,0.03,360000,0.03
"31",0.035,0.055,0.02,0.02,260000,0.02
"32",0.02,0.05,0.02,0.035,1307500,0.035
"33",0.035,0.05,0.025,0.035,211800,0.035
"34",0.035,0.035,0.035,0.035,77000,0.035
"35",0.03,0.05,0.03,0.05,110000,0.05
"36",0.05,0.05,0.03,0.035,47500,0.035
"37",0.035,0.035,0.025,0.025,91000,0.025
"38",0.025,0.025,0.02,0.025,59000,0.025
"39",0.025,0.025,0.015,0.025,115000,0.025
"40",0.025,0.03,0.015,0.025,105500,0.025
"41",0.025,0.04,0.02,0.035,49000,0.035
"42",0.035,0.035,0.015,0.015,9000,0.015
"43",0.015,0.025,0.01,0.025,131100,0.025
"44",0.025,0.045,0.025,0.04,320000,0.04
"45",0.04,0.04,0.025,0.03,40500,0.03
"46",0.03,0.03,0.03,0.03,5000,0.03
"47",0.03,0.035,0.02,0.035,80500,0.035
"48",0.035,0.035,0.02,0.02,78000,0.02
"49",0.02,0.025,0.015,0.025,237000,0.025
"50",0.025,0.025,0.015,0.015,10000,0.015
"51",0.015,0.015,0.015,0.015,7000,0.015
"52",0.015,0.015,0.01,0.015,37500,0.015
"53",0.015,0.015,0.015,0.015,54000,0.015
"54",0.015,0.025,0.01,0.025,386000,0.025
"55",0.025,0.03,0.02,0.02,216700,0.02
"56",0.02,0.02,0.02,0.02,1500,0.02
"57",0.02,0.02,0.02,0.02,180000,0.02
"58",0.02,0.02,0.02,0.02,0,0.02
"59",0.02,0.02,0.015,0.02,33000,0.02
"60",0.02,0.07,0.01,0.055,164100,0.055
"61",0.035,0.035,0.035,0.035,70000,0.035
