"","stock_data$AMP.Open","stock_data$AMP.High","stock_data$AMP.Low","stock_data$AMP.Close","stock_data$AMP.Volume","stock_data$AMP.Adjusted"
"1",38.400002,41.060001,35.849998,36.130001,34056500,32.547595
"2",36.049999,43.82,34.68,42.389999,63022900,38.186894
"3",43.169998,45.060001,40.790001,43.580002,63240000,39.424629
"4",44.209999,48.799999,44.209999,47.330002,49761100,42.817065
"5",47.82,53.860001,47.029999,51.689999,47934600,46.761334
"6",51.709999,55.060001,50.619999,51.84,35123800,47.05934
"7",52.700001,58.169998,52.529999,57.549999,40437800,52.242765
"8",58.220001,62.740002,58.209999,61.650002,33727400,55.964667
"9",62.18,65.120003,57.290001,63.32,51104500,57.653214
"10",63.639999,64.199997,57.970001,61.080002,47155800,55.613683
"11",61.630001,63.779999,59.830002,62.060001,33219900,56.505978
"12",62.369999,63.68,59.630001,61.23,38471200,55.958824
"13",60.869999,60.869999,54.720001,57.68,42521200,52.714437
"14",57.619999,59.490002,51.330002,54.099998,49956900,49.442631
"15",54.93,55.080002,38.93,45.700001,102228000,41.954945
"16",45.669998,45.799999,38.970001,39.360001,60039000,36.1345
"17",38.950001,49.91,36,46.68,65706500,42.854635
"18",45.200001,48.619999,41.099998,45.91,51052000,42.368755
"19",45.57,50.849998,44.360001,49.639999,49716000,45.811043
"20",51.16,55.610001,49.66,53.549999,42135600,49.419447
"21",54.810001,56.959999,49.139999,55.759998,53241600,51.72268
"22",56.049999,58.68,54.07,57.130001,36005700,52.993487
"23",57.18,57.939999,51.459999,54.209999,33976300,50.284909
"24",53.959999,55,46.150002,47.919998,35503300,44.738922
"25",46.700001,52.360001,45.169998,52.259998,37202400,48.79082
"26",52.360001,53,47.84,51.720001,28747700,48.286669
"27",51.950001,55.790001,50,54.91,22286300,51.614189
"28",54.869999,60.470001,54.220001,56.689999,24141900,53.287348
"29",57.18,60.68,55.66,58.369999,29572900,54.866512
"30",58.27,61.740002,57.200001,60.669998,33134800,57.471533
"31",60.919998,63.75,60.48,62.630001,25280800,59.328206
"32",64.25,67.440002,63.59,66.32,26399400,62.823672
"33",67.150002,69.339996,65.139999,68.629997,27974600,65.454081
"34",68.040001,75.139999,66.940002,73.650002,33449000,70.24178
"35",73.519997,75.5,69.349998,74.529999,28675100,71.081055
"36",74.349998,84.290001,72.300003,81.519997,28596700,78.305681
"37",81.910004,83.800003,76.769997,80.879997,29613400,77.690916
"38",81.599998,89.790001,80.489998,89,24729200,85.490749
"39",89.949997,91.220001,85.239998,86.150002,18921800,83.239471
"40",87.589996,94.449997,85.93,91.080002,20259900,88.002914
"41",91.199997,102.260002,89.370003,100.540001,24468700,97.143312
"42",100.669998,109.120003,100.220001,108.25,21356600,105.127676
"43",108.309998,115.360001,105.68,115.050003,20532300,111.731542
"44",114.580002,116.82,104.010002,105.639999,29016800,102.592957
"45",105.650002,110.089996,101.290001,108.989998,23882700,106.362214
"46",107.220001,113.68,106.849998,110.07,24323300,107.416177
"47",110.57,115.410004,100.940002,111.629997,28662100,108.938563
"48",111.790001,113.300003,107.110001,112.610001,18736800,110.47423
"49",112.989998,120.32,112.089996,120,17317000,117.724071
"50",120.199997,127,118.639999,119.599998,15577500,117.331655
"51",119.599998,126.669998,116.019997,125.760002,17008200,123.987054
"52",126.449997,128.509995,122.190002,123.379997,18183100,121.640602
"53",122.730003,127.040001,105.410004,126.169998,26140500,124.39127
"54",126.550003,132.75,126.029999,131.770004,12733400,130.50104
"55",131.270004,137.330002,124.010002,132.25,18858400,130.976414
"56",132.979996,133.490005,121.489998,124.940002,22763700,123.736812
"57",125.879997,138.259995,124.629997,133.630005,18139600,132.927734
"58",133.630005,137.070007,128.490005,130.839996,19647500,130.152387
"59",130.759995,131.759995,120.830002,125.279999,41381000,125.279999
"60",126.099998,129.800003,122.349998,124.589996,23940200,124.589996
"61",124.650002,130.119995,123.82,129.860001,10411600,129.860001
