"","stock_data$IPG.Open","stock_data$IPG.High","stock_data$IPG.Low","stock_data$IPG.Close","stock_data$IPG.Volume","stock_data$IPG.Adjusted"
"1",7.85,8.58,7.1,7.13,99841400,6.460199
"2",7.19,9.25,6.86,9.14,135314500,8.281378
"3",9.34,9.59,8.19,8.53,143222600,7.728681
"4",8.68,10.3,8.58,10.03,119706200,9.087769
"5",10.18,11.01,9.86,10.35,142277200,9.377709
"6",10.56,10.84,10.08,10.65,127497400,9.649526
"7",10.8,11.24,10.52,10.62,127819500,9.622344
"8",10.71,11.34,10.36,10.69,103944300,9.685768
"9",10.79,13.35,10.61,13.2,135111300,11.959976
"10",13.23,13.26,11.74,12.57,234957700,11.441643
"11",12.45,12.8,11.51,11.75,166269900,10.695251
"12",11.86,12.05,10.98,11.93,177267400,10.859094
"13",11.85,12.63,11.14,12.5,168167700,11.438128
"14",12.47,12.91,9.22,9.81,193122700,8.976643
"15",9.94,10.06,7.49,8.63,300992200,7.896883
"16",8.65,8.67,6.97,7.2,206793700,6.640858
"17",7.14,10.5,6.73,9.48,210714000,8.743797
"18",8.99,9.82,8.27,9.38,139061600,8.711024
"19",9.34,10,8.83,9.73,106609100,9.036062
"20",9.98,10.8,9.94,10.33,132988700,9.593271
"21",10.43,11.89,10.4,11.72,116183500,10.884137
"22",11.76,12,11,11.41,136185300,10.65236
"23",11.37,11.89,10.52,11.81,135857700,11.0258
"24",11.82,12.17,10.28,10.39,133504000,9.70009
"25",10.21,10.94,9.88,10.85,127126700,10.188552
"26",10.88,12.05,9.04,9.87,180930100,9.268295
"27",9.84,11.66,9.6,10.64,196436500,9.991354
"28",10.6,11.94,10.56,11.12,114463400,10.501309
"29",11.13,11.77,9.92,10.1,129852600,9.53806
"30",10.1,10.89,9.38,10.82,148247100,10.276724
"31",10.83,11.48,10.51,11.02,100347900,10.466683
"32",11.27,12.25,11.26,12.11,109754800,11.501953
"33",12.19,12.89,11.91,12.78,102802800,12.138312
"34",12.7,13.48,12.61,13.03,100223800,12.448473
"35",13.03,14.35,12.76,13.84,129620000,13.222323
"36",13.75,14.99,13.57,14.22,78051600,13.585363
"37",14.23,14.9,13.67,14.55,81285300,13.974497
"38",14.67,17.43,14.59,16.450001,125139000,15.799346
"39",16.59,16.73,15.52,15.72,70621800,15.170923
"40",15.96,17.549999,15.93,17.18,63587900,16.579928
"41",16.83,17.25,15.28,16.799999,175239200,16.213199
"42",16.799999,17.540001,16.68,17.4,80322500,16.865444
"43",17.41,17.809999,16.299999,17.700001,74163700,17.156228
"44",17.6,17.85,16.209999,16.32,73027000,15.818623
"45",16.34,17.83,15.9,17.719999,93571200,17.27151
"46",17.5,18,16.559999,17.139999,78490300,16.706189
"47",17.23,17.93,16.139999,17.42,118596800,16.979103
"48",17.459999,19.5,17.200001,19.120001,155616500,18.729184
"49",19.129999,19.77,19.1,19.51,138203400,19.111212
"50",19.549999,20.639999,18.84,19.709999,175537000,19.307122
"51",20.049999,20.32,18.93,19.530001,89738000,19.222385
"52",19.540001,19.83,17.889999,18.32,103719700,18.031442
"53",18.27,19.57,16.370001,19.389999,121055300,19.084589
"54",19.4,20.43,19,20.290001,48369800,20.064403
"55",20.280001,21.16,19.18,20.77,55373400,20.539066
"56",20.85,20.940001,19,19.940001,76685600,19.718295
"57",20,22.690001,19.52,22.299999,63920500,22.170348
"58",22.27,22.66,21.26,22.120001,66979000,21.991396
"59",22.040001,22.24,20.450001,20.84,92091500,20.718837
"60",21,21.35,20.309999,20.42,68881200,20.42
"61",20.450001,20.700001,19.629999,20.17,15388000,20.17
