"","stock_data$CAM.Open","stock_data$CAM.High","stock_data$CAM.Low","stock_data$CAM.Close","stock_data$CAM.Volume","stock_data$CAM.Adjusted"
"1",35.52,38.740002,32.389999,32.52,64368000,32.52
"2",32.450001,39.880001,31.42,39.59,95371700,39.59
"3",40.380001,41.200001,35.580002,36.779999,83827200,36.779999
"4",37.43,44.5,37.080002,42.959999,58234300,42.959999
"5",43.450001,45.040001,41.34,43.75,74669900,43.75
"6",44.189999,49,42.259998,48.110001,76424100,48.110001
"7",48.66,51.709999,48.099998,50.73,49486500,50.73
"8",51.470001,53.669998,47.66,53.299999,59400000,53.299999
"9",53.810001,60.189999,53.59,59.130001,62105900,59.130001
"10",59.52,63.16,56.630001,57.099998,66320700,57.099998
"11",57.669998,57.849998,50.689999,52.720001,68186200,52.720001
"12",52.880001,53.18,46.66,47.66,105154700,47.66
"13",47.639999,50.52,42.75,50.290001,101565200,50.290001
"14",50.110001,56.200001,48.91,55.939999,68647200,55.939999
"15",56.919998,58.5,42.080002,51.959999,114640900,51.959999
"16",51.959999,53.57,41.540001,41.540001,73749800,41.540001
"17",41.060001,53.439999,38.77,49.139999,72184200,49.139999
"18",47.240002,54.09,45.82,53.990002,54687900,53.990002
"19",54.150002,55.150002,44.77,49.189999,69752100,49.189999
"20",50.59,54.900002,49.02,53.200001,57020000,53.200001
"21",53.599998,57.650002,52.599998,55.709999,63824100,55.709999
"22",55.869999,56.700001,50.02,52.830002,68707800,52.830002
"23",52.759998,53.84,47.669998,51.25,57717400,51.25
"24",51.810001,52.990002,44.529999,45.689999,58896700,45.689999
"25",44.43,48.060001,38.380001,42.709999,69393400,42.709999
"26",42.57,52.240002,41.259998,50.27,66245400,50.27
"27",50.650002,55.43,48.450001,54.709999,52192300,54.709999
"28",54.759998,60,53.669998,56.07,52707000,56.07
"29",56.549999,57.040001,47.619999,50.639999,61528200,50.639999
"30",50.549999,54.82,49.68,53.950001,49551900,53.950001
"31",54.349998,57.779999,53,56.459999,34542600,56.459999
"32",57.790001,64.75,56.400002,63.310001,54619800,63.310001
"33",63.689999,66.139999,61.41,63.720001,48527300,63.720001
"34",63.25,67.419998,61.830002,65.199997,41410000,65.199997
"35",65.019997,65.389999,57.720001,61.549999,59788100,61.549999
"36",61.110001,65.510002,60.380001,60.869999,36576300,60.869999
"37",61.110001,65.089996,59.330002,61.16,37716100,61.16
"38",61.700001,66.120003,56.330002,59.299999,67282600,59.299999
"39",59.77,60.720001,54.830002,56.790001,47727300,56.790001
"40",57.540001,61.25,57.310001,58.369999,45960700,58.369999
"41",58.610001,66.089996,52.5,54.860001,111461600,54.860001
"42",54.619999,56.259998,53.220001,55.389999,64040200,55.389999
"43",55.23,59.740002,54.5,59.529999,65818800,59.529999
"44",59.139999,60.759998,56.509998,59.970001,81926300,59.970001
"45",59.970001,64.379997,58.060001,64.059998,60094500,64.059998
"46",63.779999,64.279999,60.720001,61.77,64070400,61.77
"47",61.810001,66.93,60.630001,64.959999,53073000,64.959999
"48",64.959999,65.93,62.73,63.950001,54715400,63.950001
"49",64.080002,68.540001,63.209999,67.709999,30877700,67.709999
"50",68.010002,74.529999,67.110001,70.910004,43290000,70.910004
"51",70.349998,74.5,69.639999,74.330002,43729400,74.330002
"52",74.860001,74.889999,65.879997,66.379997,45679500,66.379997
"53",66.400002,66.879997,54.130001,59.549999,82165200,59.549999
"54",59.549999,61.25,51.23,51.279999,52954900,51.279999
"55",50.630001,51.84,44.43,49.950001,77220600,49.950001
"56",49.450001,50.25,39.52,44.779999,71565700,44.779999
"57",45.389999,49.439999,44.419998,47.080002,67504200,47.080002
"58",46.98,48.369999,42.209999,45.119999,65035100,45.119999
"59",45.18,56.279999,44.790001,54.82,63830700,54.82
"60",54.700001,55.669998,50.669998,51.330002,53466600,51.330002
"61",51.27,54.34,50.810001,54.200001,13735500,54.200001
