"","stock_data$GT.Open","stock_data$GT.High","stock_data$GT.Low","stock_data$GT.Close","stock_data$GT.Volume","stock_data$GT.Adjusted"
"1",11.06,12.62,9.89,9.94,53036400,9.782031
"2",10.02,12.66,9.65,10.67,106128800,10.50043
"3",10.85,11.54,9.1,9.24,106546700,9.093156
"4",9.48,11.38,9.37,10.75,80064600,10.579159
"5",10.93,12.14,10.1,10.22,85755600,10.057582
"6",10.3,11.04,9.51,9.56,101344300,9.408071
"7",9.77,12.18,9.67,11.85,98655600,11.661678
"8",12,13.25,11.42,11.88,127901900,11.691201
"9",11.97,15.2,11.88,14.18,143820800,13.954649
"10",14.19,15.71,13.22,14.98,170387600,14.741934
"11",15.15,18.68,14.44,18.15,143250400,17.861556
"12",18.25,18.83,16.530001,17.73,144089800,17.448231
"13",17.67,17.700001,14.5,16.77,138734600,16.503488
"14",16.860001,18.25,15.5,16.17,143947600,15.913023
"15",16.280001,16.469999,10.65,12.46,224732100,12.261983
"16",12.43,12.51,9.15,10.09,154207300,9.929648
"17",10,15.47,8.53,14.36,149020700,14.131788
"18",13.53,14.43,11.83,13.99,121924100,13.767668
"19",13.91,14.69,13.06,14.17,77396800,13.944807
"20",14.57,15.8,12.94,13,113601500,12.793401
"21",13.25,14.34,12.66,12.86,125769500,12.655626
"22",12.91,13.34,11.07,11.22,119903000,11.04169
"23",11.18,12.36,10.24,10.98,167752600,10.805503
"24",10.95,11.4,9.98,10.45,151652200,10.283926
"25",10.12,11.94,9.24,11.81,140951500,11.622313
"26",11.8,11.81,9.55,11.45,153247700,11.268034
"27",11.51,12.6,10.86,12.2,134275000,12.006115
"28",12.14,13.54,11.87,12.19,97617400,11.996274
"29",12.35,13.11,10.94,11.41,93644000,11.22867
"30",11.43,12.62,10.91,12.6,72154400,12.399759
"31",12.69,13.84,12.51,13.81,60398100,13.590529
"32",14.04,14.65,13.5,13.75,65875700,13.531482
"33",13.84,14.32,12.63,12.99,95438800,12.78356
"34",12.95,13.74,12.46,12.61,73992200,12.409599
"35",12.59,13.4,11.83,12.5,95031500,12.301347
"36",12.45,16.059999,12.14,15.14,138328500,14.899392
"37",15.17,15.59,13.9,15.3,92641200,15.056849
"38",15.25,19.6,15.16,18.5,95738400,18.205994
"39",18.58,20.459999,18.280001,20.120001,85342300,19.80025
"40",20.35,23.24,20.139999,22.450001,88685200,22.093221
"41",22.5,23.4,19.84,20.969999,121208400,20.686562
"42",21.120001,22.5,20.459999,22.26,59405200,21.959127
"43",22.389999,24,21.139999,23.85,57435900,23.527636
"44",23.67,26.290001,22.57,23.66,90706400,23.390227
"45",23.57,27.27,22.33,26.870001,104381500,26.563627
"46",26.42,28.32,24.950001,26.129999,78632900,25.832063
"47",26.309999,28.48,24.67,25.200001,108188900,24.95853
"48",25.280001,26.65,23.790001,26.370001,79099100,26.117319
"49",26.379999,27.889999,25.52,27.780001,65206200,27.513808
"50",27.860001,28.700001,24.950001,25.18,67133200,24.992956
"51",25.15,26.09,23.889999,25.969999,62294500,25.777087
"52",25.9,26.23,22.32,22.59,68785300,22.422195
"53",22.48,24.33,18.870001,24.23,137218800,24.116053
"54",24.280001,27.549999,23.77,27.41,73284800,27.281099
"55",27.209999,28.860001,26.09,28.57,70117300,28.435644
"56",28.620001,28.98,23.74,24.24,90716100,24.186549
"57",24.370001,27.77,24.02,26.73,73643100,26.671058
"58",26.75,27.41,24.9,27.08,61710200,27.020287
"59",26.860001,29.07,26.379999,28.370001,66361200,28.370001
"60",28.6,32.509998,27.6,31.85,93008700,31.85
"61",31.99,32.740002,30.9,31.389999,30545300,31.389999
