"","stock_data$CAT.Open","stock_data$CAT.High","stock_data$CAT.Low","stock_data$CAT.Close","stock_data$CAT.Volume","stock_data$CAT.Adjusted"
"1",58.310001,68.349998,58,60.07,150441700,53.247816
"2",59.669998,70.290001,58.060001,69.75,183221000,62.240208
"3",70.739998,72.25,63.34,65.160004,152193100,58.144404
"4",67.050003,80.080002,66.349998,78.68,173789800,70.20874
"5",78.290001,81.199997,76.510002,78.599998,168307200,70.523684
"6",78.970001,84.919998,78.510002,84.599998,144417600,75.907172
"7",85.029999,94.889999,85,93.660004,105120500,84.036243
"8",94.379997,97.790001,92.300003,97.010002,117969700,87.451324
"9",97.349998,105.860001,96.5,102.93,109968500,92.788007
"10",103.370003,111.980003,97.010002,111.349998,178338000,100.378359
"11",112.089996,116.25,102.160004,115.410004,128001300,104.471571
"12",116.239998,116.550003,100.370003,105.800003,173428400,95.772396
"13",104.970001,106.93,94.209999,106.459999,189665100,96.369838
"14",106.150002,112.650002,97.279999,98.790001,177654200,89.804537
"15",102.43,102.82,79.559998,91,307561600,82.723077
"16",91.190002,92.830002,72.599998,73.839996,230736600,67.123865
"17",72.779999,97.949997,67.540001,94.459999,241048600,86.343694
"18",90,98.199997,86.629997,97.879997,180926400,89.469835
"19",97.230003,98,86.290001,90.599998,146394200,82.815357
"20",92.769997,114,92.769997,109.120003,165142400,100.18991
"21",110.75,116.949997,109.860001,114.209999,118148000,104.863355
"22",114.669998,115.379997,103.480003,106.519997,154174100,97.802682
"23",105.989998,109.769997,99.800003,102.769997,129263800,94.758702
"24",102.809998,103.5,86.010002,87.620003,157796600,80.789705
"25",85.080002,89.870003,80.959999,84.910004,154481000,78.29096
"26",85.349998,87.559998,78.25,84.209999,172984300,78.141602
"27",85,92.080002,82.099998,85.330002,145343300,79.180894
"28",85.029999,94.279999,81.779999,86.040001,157670000,79.839729
"29",86.720001,87.529999,82.099998,84.809998,154601200,79.173605
"30",85.220001,88.599998,80.160004,85.239998,131418100,79.575028
"31",85.919998,91.830002,83.75,89.610001,115496400,84.136495
"32",92.949997,99.199997,92.889999,98.389999,139248800,92.3802
"33",99,99.699997,88.5,92.370003,101518700,86.727913
"34",91.540001,91.959999,85.800003,86.970001,122103600,81.657751
"35",86.860001,87,79.489998,84.669998,177758200,80.008913
"36",84.07,90.690002,82.660004,85.800003,147274700,81.076712
"37",85.910004,86.470001,80.860001,82.489998,121551200,77.948922
"38",83.040001,89,81.349998,82.910004,145520800,78.891957
"39",83.620003,87.43,81.459999,82.540001,116049500,78.539886
"40",83.150002,88.25,81.720001,83.400002,103496700,79.358208
"41",83.559998,89.169998,82.449997,83.360001,126277800,79.875675
"42",83.779999,85.18,81.870003,84.599998,91788100,81.063843
"43",84.699997,91.669998,83.110001,90.809998,103160000,87.014273
"44",90.410004,94.690002,85.879997,93.910004,149976200,90.572774
"45",93.739998,98.239998,91.059998,96.970001,114906100,93.52403
"46",96.32,100.629997,95.059998,99.370003,120229900,95.838744
"47",98.940002,107.400002,98.940002,105.400002,114458600,102.253013
"48",105.199997,108.209999,100.720001,102.230003,81653000,99.177663
"49",102.419998,109.849998,102.010002,108.669998,68902600,105.425375
"50",109.080002,111.459999,100.739998,100.75,81170300,98.359913
"51",100.519997,109.099998,99.110001,109.07,93200800,106.482538
"52",109.029999,109.730003,98.260002,99.029999,106277300,96.680715
"53",98.639999,102.370003,90.050003,101.410004,131501400,99.758451
"54",101.610001,107.120003,98.040001,100.599998,71479600,98.961637
"55",100.239998,101.459999,88.029999,91.529999,123776900,90.039351
"56",91.769997,92.370003,78.809998,79.970001,169961100,79.312661
"57",80.080002,85.809998,79.489998,82.900002,109695900,82.218577
"58",82.900002,83.790001,78.190002,80.029999,125192400,79.372165
"59",80.029999,87.919998,79.389999,86.879997,128138200,86.879997
"60",87.690002,89.620003,85.110001,85.32,86853500,85.32
"61",86.059998,88.709999,84.699997,88.480003,29289200,88.480003
