"","stock_data$NEM.Open","stock_data$NEM.High","stock_data$NEM.Low","stock_data$NEM.Close","stock_data$NEM.Volume","stock_data$NEM.Adjusted"
"1",55.950001,62.619999,54.77,61.740002,142189900,55.941322
"2",61.049999,63.380001,54.299999,55.900002,169170600,50.64982
"3",56.860001,61.919998,54.98,61.32,122926900,55.560767
"4",61.82,65.5,59.860001,62.810001,131946600,57.049904
"5",63.73,65.169998,57.52,60.860001,144546900,55.278731
"6",61.419998,63.779999,57.310001,58.830002,151360900,53.434897
"7",58.93,64.050003,58.18,61.43,117737500,55.930993
"8",61.849998,62.209999,54.299999,55.07,173119200,50.140318
"9",55.450001,60.189999,54.07,55.27,129890800,50.322416
"10",55.830002,56.470001,50.049999,54.580002,188770200,49.839375
"11",54.43,60.450001,53.720001,58.610001,146075000,53.519342
"12",57.540001,58.48,52.16,56.57,128590800,51.656528
"13",56,56.700001,51.099998,53.970001,133203800,49.473004
"14",53.73,59.57,52.75,55.610001,118782400,50.976352
"15",55.619999,63.650002,52.919998,62.619999,223102900,57.402249
"16",62.450001,71.25,61.099998,62.950001,183179200,57.974531
"17",64.389999,68.739998,58.950001,66.830002,144258100,61.547863
"18",64.809998,72.419998,63.09,68.879997,124377600,63.43583
"19",68.82,69.400002,58.25,60.009998,118248600,55.560026
"20",61.41,64.620003,57.240002,61.48,134988600,56.921021
"21",61.68,64.43,58.060001,59.43,114835700,55.023038
"22",59.59,60.650002,50.470001,51.27,171443700,47.768024
"23",51.560001,52.41,45.220001,47.650002,151791900,44.395287
"24",47.700001,49.84,43.23,47.16,158453500,43.938755
"25",49.240002,52.330002,46.41,48.509998,136216900,45.510779
"26",48.290001,49.84,42.950001,44.470001,103370800,41.720562
"27",44.400002,50.75,43.619999,50.68,104610100,47.546617
"28",50.560001,57.93,49.080002,56.02,135454700,52.921948
"29",56.700001,56.849998,52.549999,54.580002,86384100,51.561585
"30",54.220001,54.299999,44.5,47.09,125064100,44.4858
"31",47.130001,47.130001,42.959999,46.439999,123742000,44.210484
"32",47.34,47.59,42.549999,42.959999,128775900,40.897554
"33",43.610001,45.82,40.130001,40.290001,149958600,38.355738
"34",40.369999,41.939999,38.5,41.889999,144168200,40.315461
"35",42,42,31.33,32.400002,231594500,31.182168
"36",32.150002,34.48,30.299999,34.279999,174001800,32.991501
"37",34.400002,35.439999,27.07,29.950001,181048700,29.123086
"38",30.309999,31.41,26.469999,30,204105600,29.171705
"39",30.24,34.27,26.43,31.77,206568300,30.892836
"40",32,32.18,27.389999,28.1,183493600,27.540885
"41",27.41,28.709999,25.33,27.26,200206600,26.717599
"42",26.969999,28.450001,24.35,24.83,167700600,24.335949
"43",24.459999,24.6,22.34,23.030001,210244900,22.762808
"44",23.469999,25.65,21.27,21.6,221651100,21.349399
"45",21.700001,24.549999,20.790001,23.26,228814100,22.990139
"46",23.91,26.370001,22.66,23.440001,193890700,23.311892
"47",23.52,26.5,23.280001,24.83,186989000,24.694294
"48",24.690001,25.02,22.219999,22.889999,105976600,22.764897
"49",22.780001,25.540001,22.209999,25.440001,125872500,25.328894
"50",25.48,26.17,24.48,24.91,138665300,24.801208
"51",25.139999,27.4,24.77,27.09,108419100,26.971687
"52",26.65,26.85,22.9,23.049999,135629500,22.972039
"53",23.200001,23.709999,18.51,18.76,203107600,18.69655
"54",18.85,20.07,17.75,18.4,198969800,18.337767
"55",18.889999,20.450001,17.6,18.9,214526400,18.860659
"56",18.65,25.25,18.6,25.15,233553000,25.09765
"57",24.74,26.700001,23.59,26.33,134993100,26.275194
"58",26.4,26.51,21.5,21.709999,172798900,21.688995
"59",21.83,26.790001,21.76,26.49,144259700,26.464371
"60",26.17,27.9,25.299999,27.24,115027200,27.213645
"61",27.35,27.48,23.65,23.700001,82806200,23.700001
