"","stock_data$LNC.Open","stock_data$LNC.High","stock_data$LNC.Low","stock_data$LNC.Close","stock_data$LNC.Volume","stock_data$LNC.Adjusted"
"1",25.559999,28.68,24.200001,24.290001,88813100,22.864642
"2",24.1,26.27,21.950001,26.040001,114181600,24.522359
"3",26.629999,26.83,20.65,23.370001,120625100,22.00797
"4",24.059999,26.139999,23.190001,23.92,105602900,22.525914
"5",24.190001,26.450001,23.73,24.48,82581700,23.062613
"6",24.709999,25.57,23.17,23.879999,90311100,22.497353
"7",24.299999,29.120001,24.040001,27.809999,80284600,26.199807
"8",28.17,30.15,28,28.84,72241100,27.215973
"9",29.110001,32.68,29.030001,31.719999,61647000,29.933795
"10",31.93,32.09,28,30.040001,76354900,28.3484
"11",30.34,32.389999,28,31.23,53679800,29.519576
"12",31.52,31.84,28.290001,29.35,59934100,27.742541
"13",29.15,29.200001,25.969999,28.49,87458900,26.929642
"14",28.34,29.67,26.07,26.5,63890200,25.092135
"15",26.93,27.030001,18.41,20.75,175547600,19.647615
"16",20.66,20.870001,15,15.63,153073000,14.799625
"17",15.45,21.879999,13.75,19.049999,182455400,18.096954
"18",17.83,20.940001,17.540001,20.18,138785500,19.170423
"19",20.049999,21.040001,17.780001,19.42,97000600,18.448444
"20",20,23.08,19.379999,21.540001,104446400,20.543747
"21",21.76,26.049999,21.66,24.84,98074500,23.691116
"22",24.9,27.540001,23.700001,26.360001,102562700,25.140815
"23",26.360001,26.83,22.969999,24.77,68528600,23.696627
"24",24.68,25.379999,20.34,20.67,91610500,19.774295
"25",20.059999,21.99,19.040001,21.870001,78120700,20.922295
"26",21.73,21.889999,19.17,20.049999,61783200,19.253611
"27",20.309999,24.57,19.68,23.219999,76478000,22.297698
"28",23.24,26.1,23.07,24.190001,65235300,23.229171
"29",24.33,25.950001,23.52,24.790001,73500000,23.882881
"30",24.809999,26.1,22.51,24.700001,74785000,23.796174
"31",24.84,26.530001,24.77,25.9,49627600,24.952262
"32",26.719999,29.6,26.690001,28.98,56524600,28.040596
"33",29.26,30.82,27.82,29.540001,60818800,28.582445
"34",29.26,33.66,28.91,32.610001,65407800,31.552929
"35",32.599998,34.330002,30.040001,34.009998,66874200,33.033267
"36",33.59,36.630001,31.01,35.66,73760600,34.635882
"37",35.779999,36.75,33.57,36.470001,59818900,35.422621
"38",36.73,42.369999,36.720001,41.669998,58879600,40.598261
"39",44.560001,44.84,41.779999,42.040001,49548200,40.958747
"40",42.720001,45.459999,41.130001,41.990002,46052500,40.910034
"41",41.970001,45.959999,40.84,45.41,41740800,44.36764
"42",45.459999,51.610001,45.130001,51.330002,43017700,50.151752
"43",51.490002,52.27,49.470001,51.619999,39608900,50.435093
"44",51.330002,52.549999,46.509998,48.029999,42960300,47.073691
"45",47.849998,51.16,45.709999,50.130001,43530400,49.131881
"46",49.16,53.259998,48.939999,50.669998,40352400,49.661126
"47",51.150002,52.09,45.610001,48.509998,42874600,47.701728
"48",49,51.32,46.400002,47.959999,51190300,47.160892
"49",48.43,53.09,48.23,51.439999,35331300,50.582908
"50",51.740002,53.860001,50.689999,52.389999,28100600,51.673664
"51",52.080002,55.16,50.080002,55.040001,33422200,54.287432
"52",55.279999,56.52,52.650002,53.580002,35733900,52.847396
"53",53.490002,54.810001,45.25,54.759998,54957100,54.180539
"54",53.84,58.48,53.650002,56.630001,31507900,56.030754
"55",56.09,59.169998,53.950001,57.669998,40818100,57.059746
"56",58.099998,58.549999,49.830002,49.98,51462100,49.632861
"57",50.360001,59,49.98,57.639999,53211100,57.239658
"58",57.580002,60.84,56.169998,57.459999,44137300,57.060908
"59",56.959999,58.580002,55.75,56.490002,39278500,56.296577
"60",56.93,59.509998,56.52,57.009998,37903900,56.814793
"61",57.110001,61.389999,56.540001,61.150002,14785100,60.940621
