"","stock_data$ISRG.Open","stock_data$ISRG.High","stock_data$ISRG.Low","stock_data$ISRG.Close","stock_data$ISRG.Volume","stock_data$ISRG.Adjusted"
"1",327.160004,358.890015,315.049988,315.619995,7021500,315.619995
"2",315.75,344.720001,301.660004,328.369995,14249900,328.369995
"3",333.290009,338.119995,262.01001,265.029999,13218000,265.029999
"4",271.209991,310.809998,265.75,283.73999,11987600,283.73999
"5",286.51001,294.98999,255.100006,262.950012,16501300,262.950012
"6",264.23999,280.73999,246.050003,260.290009,10045200,260.290009
"7",261.440002,273.970001,253.25,257.75,10534200,257.75
"8",261.799988,338.859985,261.799988,322.910004,14952300,322.910004
"9",324.980011,346.790009,321.959991,327.950012,6235400,327.950012
"10",330.609985,339.559998,315.01001,333.459991,8344000,333.459991
"11",336.019989,377.839996,336.019989,349.700012,11658700,349.700012
"12",351.700012,363.299988,337.75,349,5114900,349
"13",348.470001,376.170013,336.059998,372.109985,5861300,372.109985
"14",373.25,415.190002,353.390015,400.549988,9544300,400.549988
"15",403.570007,408,320,381.350006,13019900,381.350006
"16",382.399994,402.350006,355,364.279999,8597300,364.279999
"17",360.320007,443,341.209991,433.859985,9501900,433.859985
"18",425.459991,449.059998,410.369995,434.209991,6073400,434.209991
"19",424.670013,469.25,420.839996,463.01001,5997100,463.01001
"20",470.950012,476.48999,429.26001,459.910004,9028100,459.910004
"21",461.470001,518.469971,458.899994,511.619995,6775100,511.619995
"22",510.119995,550.469971,503.269989,541.75,5235600,541.75
"23",536.820007,594.890015,528.299988,578.200012,7026800,578.200012
"24",578.099976,591.640015,507.440002,523.099976,6101800,523.099976
"25",511.779999,556.77002,498.01001,553.789978,5947200,553.789978
"26",556.469971,569.950012,467.26001,481.5,8691100,481.5
"27",485,518.369995,471.040009,491.790009,5172600,491.790009
"28",490.25,521.630005,481.26001,495.630005,5824800,495.630005
"29",499.029999,551.929993,489.040009,542.219971,10527200,542.219971
"30",545,551.150024,520.299988,529,5523400,529
"31",528.75,553.960022,476.25,490.369995,10531000,490.369995
"32",506.5,583.450012,485.799988,574.380005,10499300,574.380005
"33",577.150024,585.669983,492.350006,509.890015,5817300,509.890015
"34",553,558,455.179993,491.190002,15349200,491.190002
"35",492.869995,515.72998,465.720001,492.290009,9476100,492.290009
"36",491.589996,511.790009,465.109985,497.529999,7506600,497.529999
"37",499.359985,516.070007,491.890015,506.130005,4863500,506.130005
"38",509.200012,509.200012,357.019989,388,23634500,388
"39",389.089996,395.790009,375.540009,386.519989,7195400,386.519989
"40",388.190002,390.48999,363.450012,376.269989,10721600,376.269989
"41",375.450012,408.890015,358.019989,371.5,14497000,371.5
"42",373.850006,398.790009,368.75,376.899994,5992300,376.899994
"43",378.220001,384.390015,351.140015,384.079987,9620900,384.079987
"44",383.640015,447.5,370.029999,407.579987,15402500,407.579987
"45",405.369995,454.970001,396.660004,444.829987,7636600,444.829987
"46",442.299988,462.470001,418.299988,437.98999,7986600,437.98999
"47",486.049988,541.22998,353.380005,361.700012,21421200,361.700012
"48",365.23999,377.179993,346.459991,369.73999,11192400,369.73999
"49",368.709991,426.429993,366.190002,411.799988,9700900,411.799988
"50",411.829987,483,376,457.549988,14170300,457.549988
"51",459,480.440002,438.5,470.01001,5884600,470.01001
"52",472.549988,481.619995,451.51001,461.820007,6043700,461.820007
"53",463.320007,505.73999,449.339996,495.799988,9458200,495.799988
"54",487.059998,523.650024,486.309998,517.77002,4531700,517.77002
"55",515.869995,538.830017,496.660004,528.940002,3957800,528.940002
"56",530.880005,538.090027,492.950012,494.480011,6586200,494.480011
"57",499.850006,523.400024,494.660004,500,3819700,500
"58",500.980011,514.98999,486.670013,505.029999,4845700,505.029999
"59",501.940002,559.039978,491.48999,495.980011,7225000,495.980011
"60",494.51001,505.950012,482.869995,487.75,5604400,487.75
"61",491.359985,509.579987,487.440002,504.209991,2014000,504.209991
