"","stock_data$IGT.Open","stock_data$IGT.High","stock_data$IGT.Low","stock_data$IGT.Close","stock_data$IGT.Volume","stock_data$IGT.Adjusted"
"1",18.629999,19.700001,15.63,15.7,68365600,14.284694
"2",15.62,16.9,14.65,15.24,115317700,13.866161
"3",15.51,15.83,14.52,14.6,81878900,13.283856
"4",14.8,15.8,13.65,14.45,75496200,13.199827
"5",14.56,15.73,14,15.59,81706300,14.241198
"6",15.7,16.77,15.2,15.48,83637700,14.140714
"7",15.7,17.82,15.38,17.690001,85135300,16.215686
"8",17.75,19.110001,17.17,17.17,100854700,15.739023
"9",17.309999,17.940001,15.84,16.459999,67301500,15.088194
"10",16.52,16.99,15.13,16.23,88918600,14.936052
"11",16.389999,18.41,14.86,17.690001,96057100,16.279653
"12",17.780001,18.629999,17.139999,17.24,66099200,15.865529
"13",17.24,17.719999,15.7,17.58,82527700,16.237757
"14",17.67,19.15,17.48,18.59,89758700,17.170643
"15",18.84,18.969999,13.81,15.26,124820600,14.094891
"16",15.26,15.59,13.38,14.53,97807800,13.473741
"17",14.36,18.01,13.42,17.59,90147200,16.311295
"18",16.870001,18.17,16.15,17.059999,78292900,15.819823
"19",16.969999,17.76,15.42,17.200001,61591700,16.011788
"20",17.530001,18.1,15.45,15.93,74473500,14.829522
"21",16.07,16.450001,14.15,15.02,111955600,13.982387
"22",15.05,17.370001,14.67,16.790001,103036100,15.686268
"23",16.74,17.25,15.58,15.58,68319100,14.55581
"24",15.45,15.84,13.7,14.3,77427300,13.359954
"25",13.86,15.81,13.12,15.75,92376500,14.773415
"26",16.07,16.07,11.1,11.32,114534400,10.618099
"27",11.4,12.44,10.92,12.29,90915900,11.527954
"28",12.3,13.39,12.01,13.09,71210500,12.334931
"29",13.13,13.56,12.6,12.84,73823400,12.099352
"30",12.81,14.16,12.37,13.87,107768500,13.069938
"31",14.11,14.7,13.58,14.17,75422300,13.417724
"32",14.48,16.040001,14.28,15.37,81685600,14.554016
"33",15.43,16.83,15.14,15.94,75494100,15.093755
"34",15.83,17.49,15.66,16.5,59652300,15.696779
"35",16.5,17.530001,15.66,16.950001,82288600,16.124874
"36",16.879999,18.809999,16.709999,17.879999,69589200,17.0096
"37",17.879999,17.9,15.64,16.709999,63531300,15.979302
"38",16.700001,20.25,16.549999,18.469999,82771200,17.662341
"39",18.66,19.639999,18.639999,18.889999,44328500,18.063975
"40",19.139999,21.200001,18.889999,18.93,83439900,18.189007
"41",18.889999,19.91,17.950001,18.799999,82741400,18.064095
"42",18.85,19.610001,16.389999,17.49,120003000,16.805374
"43",17.469999,18.59,16.84,18.16,88704100,17.562721
"44",18.1,18.290001,14.35,14.43,128652500,13.955401
"45",14.44,15.2,13.91,15.09,97662100,14.593693
"46",14.94,15.96,13.31,14.06,111876600,13.697087
"47",14.11,14.28,12.16,12.55,110661100,12.226062
"48",12.53,12.88,12.14,12.55,92353000,12.226062
"49",12.56,16.379999,12.22,15.91,202357900,15.607721
"50",16.040001,17.549999,15.02,16.93,237975600,16.608343
"51",16.9,16.969999,16.18,16.860001,75060200,16.539673
"52",16.84,17.049999,16.27,16.870001,71813500,16.657457
"53",16.84,17.15,15.93,16.389999,61028000,16.183503
"54",16.4,17.25,16.15,17.030001,37987200,16.815441
"55",17.01,17.48,16.5,17.25,40870500,17.144525
"56",17.280001,17.290001,16.85,16.92,34486000,16.816543
"57",16.940001,17.950001,16.85,17.84,43231300,17.730918
"58",17.92,18,17.41,17.41,77725700,17.41
"59",17.459999,20.950001,17.459999,20.360001,154767500,20.360001
"60",20.280001,21.23,17.290001,18.09,28840800,18.09
"61",18.07,18.629999,17.290001,18.59,7786000,18.59
