"","stock_data$YUM.Open","stock_data$YUM.High","stock_data$YUM.Low","stock_data$YUM.Close","stock_data$YUM.Volume","stock_data$YUM.Adjusted"
"1",41.779999,43.5,38.939999,39.040001,73901900,35.311974
"2",38.950001,42.560001,38.25,41.299999,95110500,37.545189
"3",41.790001,43.099998,40.509998,41.700001,71042300,37.908824
"4",42,46.91,41.939999,46.060001,84363300,41.872433
"5",46.310001,50.07,46.09,49.560001,74986800,45.290612
"6",49.900002,52.470001,48.639999,50.080002,66167000,45.765816
"7",50.830002,51.299999,48.919998,49.049999,57249000,44.824544
"8",49.299999,49.98,46.27,46.759998,73745400,42.949747
"9",46.93,51.639999,46.759998,50.330002,63261900,46.228848
"10",50.580002,53.189999,48.91,51.380001,70983200,47.193288
"11",51.48,54.98,49.240002,53.639999,78187100,49.517411
"12",53.790001,56.98,53.02,55.32,70385000,51.068292
"13",55.299999,55.950001,52.5,55.240002,73535200,50.994442
"14",55.290001,57.75,51.889999,52.82,83274700,48.982154
"15",53.389999,54.790001,47.540001,54.369999,128585100,50.419532
"16",54.330002,55.700001,48.380001,49.389999,96429700,45.801374
"17",49.27,54.889999,47.150002,53.57,102415200,49.952068
"18",52.509998,56.5,52.16,56.040001,67555900,52.255254
"19",56.099998,59.790001,55.880001,59.009998,69687100,55.024668
"20",59.610001,64.199997,58.400002,63.330002,68405200,59.334801
"21",63.75,66.550003,63.060001,66.239998,86693800,62.061219
"22",66.230003,71.790001,65.080002,71.18,59840000,66.689579
"23",71.099998,74.440002,68.419998,72.730003,81250000,68.426577
"24",73.019997,74.330002,67.230003,70.360001,73267000,66.196807
"25",67.739998,68.540001,61.549999,64.419998,104696100,60.608274
"26",64.269997,67.5,61.049999,64.839996,108977400,61.280424
"27",65.18,68.660004,62.900002,63.720001,71113800,60.221914
"28",63.48,69.209999,62.75,66.339996,64989600,62.698077
"29",66.800003,72.150002,65.620003,70.110001,86049900,66.59895
"30",70.080002,74.75,66.730003,67.080002,75013700,63.720691
"31",67.120003,70.349998,63.07,66.400002,94490000,63.074745
"32",67.5,68.449997,63.18,64.940002,112029700,62.007243
"33",65.220001,66.480003,59.68,65.480003,119156300,62.522856
"34",64.889999,72.209999,64.349998,71.940002,69679300,68.691115
"35",71.93,72.32,63.16,68.120003,110506200,65.371514
"36",67.790001,70.93,67.25,67.75,57139700,65.01644
"37",67.790001,73.889999,67.059998,69.339996,62065800,66.542283
"38",69.599998,74.019997,69.260002,72.919998,59859800,70.300454
"39",73.5,75.129997,69.57,70.019997,48639100,67.50463
"40",70.739998,73.760002,68.779999,71.389999,45791600,68.825418
"41",71.580002,72.080002,64.080002,67.620003,107633700,65.52915
"42",67.610001,78.68,67.510002,77.68,71444300,75.278086
"43",77.559998,78.57,71.25,75.610001,52838000,73.272092
"44",75.379997,77.330002,65.830002,67.150002,79454300,65.40414
"45",67.360001,74.339996,65.839996,74.080002,68442100,72.153964
"46",73.339996,77.949997,72.230003,75.389999,58505700,73.429903
"47",75.510002,79.699997,74.269997,76.989998,69613100,75.353666
"48",76.919998,77.400002,74.07,77.309998,46249100,75.666864
"49",76.959999,82.129997,76.959999,81.199997,40661900,79.474186
"50",81.620003,83.580002,68.089996,69.400002,99928200,68.231737
"51",69.470001,73.470001,69.379997,72.43,70950100,71.210729
"52",72,73.349998,69.629997,71.980003,53061500,70.768308
"53",71.93,72.830002,65.809998,71.830002,76100200,71.050363
"54",71.720001,77.57,71.18,77.25,50430100,76.411533
"55",75.610001,78.57,69,72.849998,84230500,72.059289
"56",73.440002,74.940002,69.379997,72.279999,64036800,71.901474
"57",72.440002,82.470001,70.5,81.110001,70833400,80.685234
"58",81,82.830002,76.400002,78.720001,78237600,78.307751
"59",78.650002,87.419998,77.919998,85.959999,84647200,85.959999
"60",86.5,95.900002,86.459999,90.110001,91455700,90.110001
"61",89.860001,92.260002,89.540001,91.599998,19688700,91.599998
