"","stock_data$WFM.Open","stock_data$WFM.High","stock_data$WFM.Low","stock_data$WFM.Close","stock_data$WFM.Volume","stock_data$WFM.Adjusted"
"1",38.990002,40.950001,35.900002,36.02,52118600,16.920312
"2",35.860001,40.43,33.959999,37.970001,93948000,17.83632
"3",38.630001,39.59,34.5,34.790001,118322200,16.342523
"4",35.490002,38.41,34.139999,37.110001,103468400,17.432337
"5",37.259998,40.330002,34.040001,39.75,124001400,18.672471
"6",39.919998,48.02,39.73,47.220001,125795800,22.181487
"7",47.73,51.75,47.599998,50.59,68766600,23.764536
"8",50.950001,53.459999,47.830002,51.709999,71827800,24.340215
"9",52.110001,60.939999,50.779999,58.560001,94985200,27.564554
"10",58.970001,66.199997,56.360001,65.900002,81392200,31.019537
"11",66.440002,66.870003,60.849998,62.759998,74427000,29.587433
"12",61.290001,63.68,58.450001,61.16,79695800,28.833133
"13",61,64,53.919998,63.450001,74076600,29.962324
"14",63.689999,68,62.369999,66.699997,63900000,31.497035
"15",67.440002,67.440002,53.32,66.040001,123033600,31.185372
"16",66.279999,73.330002,60.91,65.309998,97094200,30.886811
"17",65.209999,74.449997,60.389999,72.120003,76451600,34.107441
"18",70,71.25,62.77,68.099998,88234200,32.206275
"19",67.800003,70.139999,65.769997,69.580002,51138000,32.906208
"20",70.550003,78.290001,69.339996,74.029999,67413000,35.078299
"21",74.940002,82.360001,74.739998,80.739998,76828200,38.257759
"22",80.849998,86.349998,80.68,83.199997,59762000,39.423402
"23",83.220001,86,80.809998,83.07,51794600,39.427935
"24",83.540001,91.5,82.690002,88.610001,96038600,42.057413
"25",87.910004,97.25,84.510002,95.32,87370200,45.307668
"26",95.230003,96.900002,81.550003,91.779999,95115000,43.625029
"27",92.269997,98.470001,91.669998,96.75,53126600,45.987378
"28",96.889999,100.5,95.510002,97.400002,51228800,46.362393
"29",97.809998,101.860001,92.760002,94.790001,47138600,45.120033
"30",95.199997,99,87.699997,93.360001,82069400,44.439353
"31",93.900002,93.989998,88.18,91.160004,53725400,44.347298
"32",93.139999,96.730003,86.849998,96.25,69085400,46.928571
"33",96.860001,96.93,83.07,85.620003,111366800,41.745708
"34",85.379997,88.769997,84.720001,86.75,74926200,42.29666
"35",86.760002,89.769997,81.389999,88.32,93725200,43.165311
"36",88.349998,107.199997,51.860001,51.860001,99731100,50.691872
"37",52,53.209999,49.950001,51.48,51305400,50.32043
"38",51.950001,56.830002,51.34,55.580002,55025300,54.432641
"39",54.5,56.599998,51,52.75,50743500,51.66106
"40",53.200001,59.349998,53.169998,58.5,48439600,57.390376
"41",58.470001,65.589996,57.709999,63.130001,48915600,61.932556
"42",63.110001,64.720001,55.380001,56.599998,76720200,55.526414
"43",57,59.700001,54.869999,57.830002,56677500,56.733087
"44",57.66,57.759998,50.619999,52.259998,92828200,51.383389
"45",53.560001,56.419998,50.32,54.049999,112710800,53.143365
"46",53.5,55.91,50.099998,50.709999,75480200,49.85939
"47",51.07,53.09,47.700001,49.700001,96676300,48.98073
"48",49.82,50.830002,37.060001,38.240002,200219600,37.686583
"49",38.34,42.900002,37.02,38.630001,161198500,38.070938
"50",38.799999,39.5,36.080002,38.23,173129200,37.794128
"51",38.470001,40.450001,37.200001,39.139999,124309400,38.693753
"52",39.200001,40.139999,37.299999,38.110001,100222100,37.79441
"53",38.080002,39.43,36.240002,39.330002,102441800,39.004308
"54",39.299999,49.299999,39.299999,49.029999,140975500,48.623979
"55",49,51.040001,47.150002,50.419998,75052900,50.002468
"56",50.52,53.799999,49.009998,52.099998,83305500,51.798728
"57",52.310001,57.57,51.52,56.490002,72969200,56.163346
"58",56.48,57.080002,51.169998,52.080002,63992500,51.778847
"59",51.98,52.439999,47.389999,47.759998,79428900,47.603918
"60",48,49.02,41.009998,41.240002,120276400,41.105229
"61",41.369999,41.599998,39.560001,40.73,34597500,40.596894
