"","stock_data$KR.Open","stock_data$KR.High","stock_data$KR.Low","stock_data$KR.Close","stock_data$KR.Volume","stock_data$KR.Adjusted"
"1",19.73,21.440001,19.559999,19.690001,154837500,18.069126
"2",19.83,21.379999,19.57,21.18,171486900,19.43647
"3",21.379999,22.5,19.67,19.73,127544000,18.18432
"4",19.91,22.290001,19.84,21.66,124946800,19.963121
"5",21.860001,22.370001,21.1,22,131785400,20.276485
"6",22.049999,23.610001,21.85,23.549999,117889300,21.80583
"7",23.809999,24.139999,20.530001,22.360001,234884500,20.703965
"8",22.43,22.450001,21.09,21.4,136313800,19.815064
"9",21.49,23.459999,21.469999,22.9,135656100,21.303298
"10",23.040001,24.35,22.49,23.969999,211101700,22.298692
"11",24.059999,24.93,23.639999,24.309999,127081100,22.614985
"12",24.34,25.48,23.93,24.82,120323600,23.188521
"13",24.77,24.879999,22.889999,24.799999,204462000,23.169835
"14",24.75,25.85,24.6,24.870001,116667800,23.235236
"15",25.07,25.08,21.52,23.559999,192813700,22.117241
"16",23.629999,23.780001,21.139999,21.959999,162957400,20.615221
"17",21.92,23.65,21.34,23.18,113918700,21.760512
"18",22.77,23.469999,21.68,23.18,106347600,21.871069
"19",23.709999,24.629999,22.940001,24.219999,91118800,22.852341
"20",24.48,24.83,23.700001,23.76,89438700,22.418317
"21",23.950001,24.190001,22.92,23.790001,135033300,22.5564
"22",24.51,24.780001,23.67,24.23,129618500,22.973583
"23",24.17,24.459999,23,23.27,98761700,22.063363
"24",23.27,23.620001,21.76,22.01,96555700,20.9732
"25",21.93,23.219999,21.18,23.190001,162198300,22.097616
"26",23.1,23.18,20.98,22.17,144369900,21.125663
"27",22.209999,22.76,21.57,22.280001,99894100,21.339552
"28",22.26,24.040001,22.049999,23.540001,143485100,22.546367
"29",23.52,25.440001,23.09,25.219999,120292800,24.155452
"30",25.200001,26.4,24.190001,26.24,102092000,25.284654
"31",26.33,27.110001,25.57,26.02,90089800,25.072664
"32",26.34,28,25.200001,27.700001,74667900,26.691499
"33",27.85,29.52,27.530001,29.209999,81390800,28.295235
"34",29.18,33.279999,29.030001,33.139999,86642000,32.10216
"35",33.080002,35.240002,31.52,34.380001,91929900,33.303329
"36",34.380001,35.439999,33.669998,33.669998,72932600,32.758028
"37",33.700001,35.639999,32.77,34.540001,88552500,33.604466
"38",34.689999,39.98,34.59,39.27,89053400,38.206351
"39",39.5,39.759998,35.91,36.599998,70238700,35.746294
"40",36.970001,41.419998,36.709999,40.34,88075700,39.399059
"41",40.349998,43.849998,39.720001,42.84,66395800,41.840746
"42",42.84,43.099998,41.209999,41.75,64389500,40.937342
"43",41.73,42.25,38.860001,39.529999,77958000,38.760553
"44",39.259998,39.66,35.709999,36.099998,93037800,35.397317
"45",36.099998,41.959999,35.130001,41.939999,78534200,41.307405
"46",41.68,45.25,41.200001,43.650002,107935500,42.991615
"47",43.73,46.040001,43.330002,46.040001,80830400,45.345565
"48",46.110001,47.900002,45.310001,47.740002,70775500,47.186678
"49",47.799999,50.200001,46.77,49.43,69324300,48.857089
"50",49.200001,51.490002,48.779999,48.98,57274500,48.412304
"51",49,51.110001,48.580002,50.98,44448200,50.555592
"52",51.029999,52.959999,50.970001,52,63452900,51.567101
"53",51.919998,56.110001,50.84,55.709999,87108300,55.246214
"54",55.73,60.380001,55.700001,59.84,51390800,59.530803
"55",59.810001,64.980003,58.540001,64.209999,72429000,63.878222
"56",64.110001,70.059998,62.380001,69.050003,87038200,68.693217
"57",69.010002,73.599998,68.330002,71.150002,76809100,70.965494
"58",71.019997,77.739998,69.080002,76.660004,105180000,76.461207
"59",76.730003,77.559998,68.160004,68.910004,89862400,68.731305
"60",69.050003,74.620003,68.099998,72.800003,79827700,72.800003
"61",73.190002,73.220001,70.239998,71.290001,20762300,71.290001
