"","stock_data$CI.Open","stock_data$CI.High","stock_data$CI.Low","stock_data$CI.Close","stock_data$CI.Volume","stock_data$CI.Adjusted"
"1",33.720001,35.939999,30.950001,31.059999,46285700,30.956066
"2",30.98,32.049999,29.120001,30.76,76506700,30.657071
"3",31.280001,35,30.99,32.220001,63081200,32.112186
"4",32.68,36.040001,32.389999,35.779999,50353700,35.660272
"5",36.049999,36.759998,34.330002,35.16,57407000,35.042347
"6",35.32,38.549999,34.869999,36.810001,63757900,36.686828
"7",37.23,38.349998,35.950001,36.66,51990300,36.537328
"8",36.860001,42.669998,36.759998,42.02,64229300,41.879393
"9",42.18,44,41.060001,42.07,40821800,41.929225
"10",42.279999,44.290001,40.73,44.279999,51852000,44.172477
"11",44.529999,47.189999,42.799999,46.830002,48205000,46.716288
"12",47.18,50,45.470001,49.889999,59083700,49.768855
"13",49.869999,51.810001,47.779999,51.43,61826800,51.305116
"14",51.490002,52.950001,48.279999,49.77,47889800,49.649147
"15",50.299999,50.389999,40.240002,46.740002,100343200,46.626506
"16",46.799999,47.82,41.23,41.939999,64505100,41.838159
"17",41.380001,47.619999,38.790001,44.34,73019900,44.232332
"18",42.900002,44.560001,40.560001,44.23,83148700,44.122599
"19",43.810001,44.470001,40.849998,42,54687500,41.898014
"20",42.82,47.5,42.720001,44.830002,64244200,44.721144
"21",45,46.029999,41.139999,44.110001,86290100,44.002891
"22",44.23,49.889999,43.060001,49.25,71689700,49.175546
"23",49.02,49.630001,45.720001,46.23,59068900,46.160111
"24",46.139999,46.93,42.700001,43.91,50237700,43.843619
"25",43.32,46.419998,42.139999,44,61369500,43.933483
"26",44.299999,44.48,39.009998,40.279999,65802600,40.219105
"27",40.529999,46.220001,40,45.77,54076400,45.700808
"28",45.740002,47.919998,45.16,47.169998,39091200,47.098689
"29",47.349998,51,47.290001,51,48303400,50.922901
"30",51.549999,53.75,49.34,52.27,57054400,52.190981
"31",52.419998,54.529999,51.34,53.459999,34002300,53.379181
"32",54.099998,59.139999,53.91,58.34,41349800,58.251805
"33",58.639999,62.220001,55.970001,58.459999,39773600,58.371622
"34",58.259998,63.189999,57.529999,62.369999,37358100,62.318002
"35",62.310001,66.940002,61.880001,66.169998,43700100,66.114833
"36",66.199997,69.870003,65.330002,67.900002,39053200,67.843394
"37",68.019997,73.129997,65.540001,72.489998,41484000,72.429564
"38",73.169998,79.25,71.120003,77.830002,31366300,77.765116
"39",78.059998,79.989998,75.790001,78.690002,27510300,78.624399
"40",79.449997,84.68,76.309998,76.860001,35517900,76.795923
"41",76.900002,80.510002,72.639999,76.980003,43028300,76.915826
"42",76.989998,88.57,76.610001,87.449997,30760600,87.377091
"43",87.370003,88.089996,83.019997,87.480003,24527900,87.407072
"44",86.989998,90.629997,84.75,86.309998,26189600,86.238042
"45",86.459999,86.660004,75.370003,79.589996,57375400,79.523643
"46",78.769997,84.370003,76.410004,83.730003,50293400,83.702555
"47",83.93,84.730003,73.470001,80.040001,39991900,80.013762
"48",82.970001,90.269997,81.699997,89.779999,39458900,89.750567
"49",90.129997,93.199997,89.160004,91.970001,27656500,91.939851
"50",92,97.279999,87.330002,90.040001,38376100,90.010484
"51",90.220001,95.650002,88.660004,94.599998,25381000,94.568986
"52",94.919998,97.07,90.529999,90.690002,24654800,90.660272
"53",90.790001,99.75,85.75,99.57,42957400,99.537358
"54",99.639999,104.550003,98.120003,102.889999,33805100,102.856269
"55",102.629997,105.730003,99.879997,102.910004,24926800,102.876267
"56",103.639999,112.949997,100.669998,106.830002,29982400,106.79498
"57",107.080002,122.419998,105.230003,121.629997,27193800,121.590124
"58",121.419998,131.130005,118.699997,129.440002,37049100,129.440002
"59",129.649994,135,124.279999,124.639999,37830800,124.639999
"60",125.639999,145.330002,124.379997,140.830002,38332300,140.830002
"61",140.869995,145.300003,136.979996,139.839996,17311300,139.839996
