"","stock_data$VRSN.Open","stock_data$VRSN.High","stock_data$VRSN.Low","stock_data$VRSN.Close","stock_data$VRSN.Volume","stock_data$VRSN.Adjusted"
"1",28.35,29.790001,26.469999,26.549999,67926800,22.54496
"2",26.530001,29.120001,25.73,28.15,89667600,23.903602
"3",28.190001,30.25,27.799999,29.09,110731600,24.701805
"4",29.42,32.169998,29.299999,31.74,58760800,26.952055
"5",31.9,35.5,31.4,34.75,59304600,29.508
"6",34.560001,35.68,33.75,34.310001,57004600,29.134375
"7",34.77,37.18,32.66,32.669998,78266900,30.188847
"8",32.990002,34.259998,31.969999,33.650002,48461500,31.094423
"9",33.669998,37.57,33.669998,35.290001,49712900,32.609872
"10",35.48,36.84,34.619999,36.209999,43256900,33.46
"11",36.32,37.5,35.91,36.98,40993700,34.171522
"12",37.490002,37.73,33.349998,35.02,77563000,35.02
"13",35.009998,35.150002,32.43,33.459999,61851200,33.459999
"14",33.369999,34.799999,31.049999,31.209999,43885900,31.209999
"15",31.33,31.719999,27.65,31.15,80515800,31.15
"16",31.09,35.18,27,28.610001,98781100,28.610001
"17",28.370001,34.919998,27,32.09,44251300,32.09
"18",31.32,34,31.219999,33.580002,31538700,33.580002
"19",33.5,36.349998,32.560001,35.720001,36142100,35.720001
"20",36.400002,37.200001,34.75,37.040001,36250100,37.040001
"21",37.080002,38.5,36.080002,36.950001,27457900,36.950001
"22",37.150002,39.009998,35.75,38.349998,40936900,38.349998
"23",38.330002,43.049999,38.27,41.110001,55045000,41.110001
"24",41.099998,41.98,37.610001,38.23,37281900,38.23
"25",37.77,44,37.43,43.57,41920500,43.57
"26",43.290001,46.130001,40.990002,44.419998,53949200,44.419998
"27",44.689999,48.48,44.290001,47.68,41660000,47.68
"28",47.700001,49.400002,46.740002,48.689999,36312300,48.689999
"29",49,50.150002,36.349998,37.07,64917500,37.07
"30",37.220001,43.549999,32.810001,34.150002,129817700,34.150002
"31",34.759998,39.02,34.68,38.82,95487200,38.82
"32",39.349998,43.619999,37.549999,43.41,73923900,43.41
"33",43.599998,46.700001,43.040001,45.810001,50670100,45.810001
"34",45.970001,47.5,44.950001,47.27,40468300,47.27
"35",47.240002,47.73,43.310001,46.07,46276200,46.07
"36",46.110001,49.619999,46.029999,47.040001,29532600,47.040001
"37",47.139999,47.18,43.279999,44.66,35287800,44.66
"38",45.009998,48.84,44.380001,47.84,28801300,47.84
"39",48.009998,50.110001,47.869999,47.990002,29724500,47.990002
"40",48.540001,52.130001,48.169998,50.889999,25261600,50.889999
"41",50.669998,55,49.16,54.279999,26156800,54.279999
"42",54.380001,57.299999,53.23,56.860001,19891500,56.860001
"43",57.060001,59.889999,55.720001,59.779999,27979300,59.779999
"44",59.740002,62.959999,58.470001,58.75,32426600,58.75
"45",58.400002,58.73,50.490002,55.110001,50083300,55.110001
"46",54.709999,56.66,48.549999,53.91,38428600,53.91
"47",54.080002,54.470001,46.450001,47.18,39983400,47.18
"48",47.32,50.59,46.540001,50.080002,27237800,50.080002
"49",50.07,51.950001,48.349998,48.810001,23096300,48.810001
"50",48.799999,56.330002,48.5,54.049999,30496000,54.049999
"51",54.41,57.43,52.75,57.080002,21122300,57.080002
"52",57.380001,57.57,54.810001,55.119999,26848100,55.119999
"53",55.009998,59.849998,52.099998,59.759998,22735900,59.759998
"54",59.669998,61.25,58.189999,60.099998,17375000,60.099998
"55",59.669998,60.029999,55.419998,57,20745600,57
"56",57.23,57.919998,53.700001,54.48,19628800,54.48
"57",54.470001,64.949997,53.48,64.019997,25839300,64.019997
"58",64.040001,67.5,62.610001,66.970001,20209400,66.970001
"59",66.690002,68.25,62.619999,63.509998,25416400,63.509998
"60",63.900002,64.889999,62.68,63.189999,18931500,63.189999
"61",63.619999,63.810001,61.5,62.810001,6544400,62.810001
