"","stock_data$EXC.Open","stock_data$EXC.High","stock_data$EXC.Low","stock_data$EXC.Close","stock_data$EXC.Volume","stock_data$EXC.Adjusted"
"1",39.330002,41.619999,37.84,37.970001,74756800,30.032841
"2",38.09,42.740002,37.630001,41.830002,111140300,33.085956
"3",42,42.939999,39.52,40.720001,90663800,32.615782
"4",41.099998,43.32,40.810001,42.580002,74552200,34.105599
"5",42.900002,44.490002,40.389999,40.82,96721700,32.695878
"6",41.09,41.82,39.049999,39.369999,110469900,31.938009
"7",39.709999,42.299999,39.259998,41.639999,99438700,33.779495
"8",41.98,43.529999,41.630001,42.509998,90746900,34.485262
"9",42.790001,43.299999,41,41.759998,108265600,34.292923
"10",41.77,43.580002,39.060001,41.240002,146583800,33.865906
"11",41.27,42.349998,39.529999,42.169998,88410400,34.629611
"12",42.200001,42.84,40.959999,41.849998,112722200,34.80091
"13",41.860001,42.889999,40.91,42.84,108416600,35.624159
"14",42.84,45.27,42.580002,44.07,98095900,36.646981
"15",44.48,44.580002,39.509998,43.119999,177107000,36.329924
"16",43.18,44.68,41.59,42.610001,123445100,35.900235
"17",42.509998,44.82,39.93,44.389999,129214400,37.399938
"18",43.93,45.450001,41.740002,44.310001,129516100,37.773424
"19",44.150002,44.450001,41.880001,43.369999,106161400,36.97209
"20",43.220001,43.700001,38.57,39.779999,184102500,33.911684
"21",39.91,40.310001,38.82,39.07,149249100,33.751187
"22",39,39.950001,38.310001,39.209999,143370900,33.996807
"23",39.310001,39.349998,37.48,39.009998,134939200,33.823398
"24",39,39.369999,36.5,36.98,140792600,32.378437
"25",36.549999,38.990002,36.27,37.619999,135112100,32.938799
"26",37.630001,39.82,37.029999,39.119999,95061600,34.252148
"27",39.439999,39.75,36.400002,36.470001,141338900,32.368526
"28",36.580002,36.580002,34.540001,35.580002,118965400,31.578617
"29",35.66,37.5,35.200001,35.779999,103024400,31.756122
"30",36,36.84,28.4,30.219999,261130700,27.286981
"31",30.219999,30.66,28.889999,29.74,147702400,26.853568
"32",30.09,31.530001,29.1,31.440001,154034000,28.388574
"33",31.49,32.599998,30.129999,30.99,181354700,28.455149
"34",30.959999,34.560001,30.639999,34.48,113750200,31.659682
"35",34.419998,37.799999,34.290001,37.509998,125690700,34.44184
"36",37.279999,37.439999,31.34,31.34,184518000,29.028236
"37",31.379999,32.009998,29.84,30.879999,146770400,28.602166
"38",30.950001,32.419998,29.440001,30.59,105460600,28.333559
"39",30.58,31.450001,29.67,30.49,156968600,28.52564
"40",30.66,31.190001,29.42,29.639999,99998500,27.730402
"41",29.67,30.59,27.58,28.540001,177158200,26.701272
"42",28.65,29.139999,26.870001,26.91,182010100,25.456425
"43",26.950001,28.5,26.639999,27.389999,155802800,25.910496
"44",27.459999,29.309999,26.450001,29,149362500,27.433531
"45",29.120001,30.950001,28.57,30.41,153791400,29.073193
"46",30.24,33.939999,29.139999,33.560001,136380100,32.084723
"47",33.599998,36.599998,33.110001,35.029999,155326200,33.4901
"48",35.450001,36.849998,33.5,36.830002,175572200,35.520019
"49",36.619999,37.73,34.810001,36.48,212120700,35.182466
"50",36.080002,36.259998,30.799999,31.08,177331800,29.974535
"51",31.139999,33.419998,30.66,33.419998,117128000,32.547896
"52",33.43,34.91,32.580002,34.09,120409900,33.200414
"53",34.189999,36.889999,33.07,36.59,160450400,35.635176
"54",36.549999,37.900002,34.689999,36.169998,118323600,35.519371
"55",35.939999,38.93,35.09,37.080002,138203200,36.413006
"56",37.080002,38.25,36.009998,36.040001,114228500,35.391712
"57",36,36.990002,32.610001,33.919998,153592300,33.60751
"58",33.919998,34.02,31.709999,33.610001,167581300,33.300369
"59",32.619999,34.349998,32.299999,34.02,135782700,33.706591
"60",34.060001,34.98,32.950001,33.830002,114356700,33.830002
"61",34.009998,34.290001,32.93,34.18,52934200,34.18
