"","stock_data$SCHW.Open","stock_data$SCHW.High","stock_data$SCHW.Low","stock_data$SCHW.Close","stock_data$SCHW.Volume","stock_data$SCHW.Adjusted"
"1",15.9,16.440001,14.1,14.18,200309600,13.253988
"2",14.17,15.72,13.75,14.79,276646800,13.824152
"3",14.92,15.49,12.64,12.76,238713500,11.973923
"4",13.11,14.4,13.05,13.9,240842300,13.043693
"5",14.02,15.6,13.73,15.41,239533900,14.46067
"6",15.5,16.35,14.75,15.03,198244800,14.157878
"7",15.31,17.469999,15.22,17.110001,179041200,16.117186
"8",17.23,18.93,17.1,18.049999,237266400,17.00264
"9",18.15,19.690001,17.42,18.969999,215120600,17.925746
"10",19.030001,19.129999,17.16,18.030001,245605100,17.037492
"11",18.200001,18.9,17.780001,18.309999,183837800,17.302077
"12",18.379999,18.459999,17.129999,18.01,199927700,17.075385
"13",17.860001,17.870001,15.64,16.450001,252314600,15.59634
"14",16.42,16.75,14.46,14.93,339428600,14.155219
"15",15.09,15.26,11.13,12.35,595710100,11.76522
"16",12.42,12.46,10.83,11.27,286694400,10.736359
"17",11.21,13.47,10.56,12.28,342163000,11.698534
"18",11.75,12.97,10.67,11.96,279270000,11.447685
"19",11.88,12.32,10.72,11.26,237103700,10.77767
"20",11.51,12.85,11.34,11.65,283810800,11.150964
"21",11.69,14.07,11.68,13.88,332038500,13.350353
"22",13.96,15.53,13.48,14.37,324566100,13.821655
"23",14.38,14.8,13.52,14.28,288189000,13.735089
"24",14.28,14.38,12.12,12.46,240279800,12.038645
"25",12.13,13,11.64,12.93,216699900,12.492752
"26",12.95,13.13,11.95,12.63,164224400,12.202897
"27",12.64,13.61,11.99,13.49,162266800,13.093329
"28",13.48,14.62,12.64,12.79,223597900,12.413912
"29",12.89,13.76,12.62,13.58,213094000,13.180682
"30",13.58,14,12.47,13.1,238739100,12.769959
"31",13.12,14.66,12.82,14.36,174956900,13.998214
"32",14.67,16.66,14.62,16.530001,220670600,16.113544
"33",16.629999,17.41,15.96,16.24,211201400,15.888104
"34",16.219999,18.34,16,17.690001,184609800,17.306686
"35",17.77,17.889999,16.15,16.959999,185499600,16.592502
"36",16.940001,20.48,16.049999,19.860001,239160200,19.496741
"37",19.98,21.440001,18.940001,21.23,244028700,20.841682
"38",21.33,22.59,20.549999,22.09,211384400,21.685952
"39",22.26,22.84,20.52,20.879999,142796700,20.553086
"40",21.200001,22.709999,20.540001,21.139999,199182800,20.809015
"41",21.209999,23.93,20.440001,22.65,224215500,22.295374
"42",22.629999,25.01,22.620001,24.48,144877100,24.158961
"43",24.5,26.08,24.190001,26,113790500,25.659027
"44",25.99,27.110001,24.51,24.82,152285100,24.494502
"45",24.77,26.73,23.559999,26.51,139912700,26.227556
"46",26.129999,29.129999,25.780001,27.33,184692300,27.038819
"47",27.42,28.040001,24.59,26.549999,196323100,26.267128
"48",26.540001,27.1,24.559999,25.209999,141134500,24.999363
"49",25.33,27.5,24.68,26.93,135281500,26.704993
"50",27.07,28.65,26.440001,27.75,118171200,27.518142
"51",27.549999,29.16,26.99,28.51,94979400,28.333792
"52",28.66,31,28.040001,29.389999,134809400,29.208352
"53",29.200001,29.950001,23.35,28.67,229386200,28.492803
"54",28.75,29.16,28.049999,28.32,101668200,28.204218
"55",28.08,30.889999,27.23,30.190001,151581600,30.066573
"56",30.41,30.57,25.43,25.98,163580400,25.873784
"57",26.059999,30.200001,25.809999,29.34,126761600,29.283685
"58",29.34,31.73,28.93,30.440001,163918300,30.381574
"59",30.360001,31.129999,29.120001,30.5,130328300,30.441459
"60",30.67,32.43,30.6,31.65,126664100,31.65
"61",31.73,33.59,31.1,33.43,56157600,33.43
