"","stock_data$NOC.Open","stock_data$NOC.High","stock_data$NOC.Low","stock_data$NOC.Close","stock_data$NOC.Volume","stock_data$NOC.Adjusted"
"1",58.410159,63.060176,54.370148,54.440152,36843100,42.646211
"2",54.330156,60.000168,53.50015,58.640164,53087200,45.936331
"3",59.480168,60.250174,53.510157,54.120151,51043200,42.758886
"4",54.900154,61.740173,54.520153,60.630167,49060600,47.902276
"5",61.250167,63.230172,59.840169,63.220178,47154900,49.948575
"6",63.36018,65.680186,60.330175,61.680172,33751000,49.108446
"7",62.700174,65.420186,62.520176,64.78018,39230900,51.576607
"8",65.150188,70.350203,64.700183,69.300194,41575600,55.175345
"9",69.77019,72.500208,65.650179,66.680188,35594200,53.464858
"10",67.010182,68.730187,62.23,62.709999,52369100,55.651931
"11",62.810001,64,59.869999,63.610001,39955800,56.450637
"12",63.919998,65.790001,63.380001,65.290001,45680200,58.391271
"13",65,69.900002,62.5,69.349998,49041800,62.022278
"14",69.589996,70.610001,59.580002,60.509998,62094500,54.116337
"15",59.619999,60.169998,49.200001,54.619999,98258800,49.316412
"16",54.650002,55.34,49.970001,52.169998,54710300,47.104306
"17",51.740002,58.709999,50.130001,57.75,52804600,52.142491
"18",56.259998,59.830002,52.689999,57.07,47137000,52.00652
"19",56.860001,59.150002,55,58.48,36926800,53.291419
"20",59.419998,61.860001,57.310001,58.049999,36926800,52.89957
"21",58.330002,60.779999,57.880001,59.810001,34518800,54.961044
"22",60.419998,62.310001,59.439999,61.080002,35564600,56.128082
"23",61.189999,65.779999,59.509998,63.279999,33924500,58.149719
"24",63.369999,63.799999,57.610001,58.75,34527300,54.494117
"25",58.150002,63.799999,56.59,63.790001,35053300,59.169017
"26",63.849998,66.800003,61.860001,66.199997,30475400,61.404432
"27",66.389999,70.199997,64.730003,66.889999,33943800,62.547835
"28",66.889999,68.269997,65.449997,66.43,30553100,62.117697
"29",66.599998,71.25,66.400002,68.690002,29808200,64.230991
"30",68.830002,70.839996,62.799999,66.699997,38056700,62.901756
"31",66.919998,69.169998,65.5,67.580002,30097400,63.731649
"32",68.790001,69.610001,64.949997,65.040001,42401500,61.336289
"33",65.279999,66.949997,64.349998,65.68,34531000,62.460586
"34",65.389999,70.209999,64.199997,70.150002,35657000,66.711483
"35",70.099998,75.779999,69.129997,75.739998,39652600,72.027477
"36",75.449997,84.059998,75.32,82.389999,40602300,78.947088
"37",82.480003,84.339996,80.639999,82.800003,28099400,79.339958
"38",82.779999,92.989998,81.739998,92.059998,32631100,88.212996
"39",92.449997,96.419998,91.970001,92.269997,35288400,88.998284
"40",93.43,99.099998,92.32,95.260002,23431600,91.88227
"41",95.190002,108.860001,92.510002,107.510002,29627000,103.697909
"42",107.57,114.480003,106.669998,112.68,24569500,109.279932
"43",112.599998,116.190002,107.209999,114.610001,29569800,111.151695
"44",114.18,123.650002,110.5,115.550003,30947500,112.063333
"45",116.089996,123.300003,109.169998,121.029999,28477600,117.984197
"46",119.739998,125.370003,119.68,123.379997,27795200,120.275056
"47",123.160004,126,116.110001,121.510002,28794600,118.452121
"48",121.220001,123.480003,117.5,121.550003,21325600,119.184797
"49",121.32,124.919998,119.300003,119.629997,21515600,117.302152
"50",119.330002,128.460007,118.230003,123.269997,21623600,120.871321
"51",122.910004,128.660004,119.970001,127.220001,18662600,125.432461
"52",128.410004,134.240005,126.739998,131.759995,21875700,129.908664
"53",130.610001,139.220001,118.239998,137.960007,30499300,136.021561
"54",137.789993,142.509995,134.830002,140.929993,19999300,139.640328
"55",140.720001,153.190002,138.679993,147.389999,30056100,146.041219
"56",148.289993,159.199997,141.580002,156.949997,39583900,155.513732
"57",157.289993,172.300003,154.690002,165.710007,25098900,164.877921
"58",165.610001,167.729996,156.320007,160.960007,33388900,160.151773
"59",160.089996,165.949997,152.779999,154.039993,21629800,153.266507
"60",154.869995,161.789993,152.440002,159.179993,20462200,159.179993
"61",159.089996,161.440002,156.179993,158.559998,8792100,158.559998
