"","stock_data$EQT.Open","stock_data$EQT.High","stock_data$EQT.Low","stock_data$EQT.Close","stock_data$EQT.Volume","stock_data$EQT.Adjusted"
"1",39.450001,41.849998,35.959999,36.139999,20785000,34.463614
"2",36.07,38.029999,34.619999,36.68,27618100,34.978566
"3",37.23,39.5,32.23,32.599998,39149400,31.26602
"4",33.119999,36.630001,32.57,36.060001,32616000,34.58444
"5",36.490002,38.439999,36.009998,37.439999,25441300,35.907969
"6",37.830002,43.450001,36.91,40.470001,24822400,39.040365
"7",41.07,45.23,40.73,44.84,21444500,43.25599
"8",45.07,48.279999,44.599998,48.189999,26880900,46.487647
"9",48.650002,49.330002,46.41,49.299999,20941300,47.773147
"10",49.68,49.990002,43.18,49.900002,24781000,48.354567
"11",50,52.650002,45.68,52.619999,17499900,50.990324
"12",52.970001,54.25,48.919998,54.18,22994600,52.732237
"13",54.09,54.220001,48.599998,52.52,25977700,51.116595
"14",52.41,64.620003,51.889999,63.48,36825500,61.783728
"15",64.550003,65.169998,47.860001,59.82,51052500,58.431232
"16",60.080002,65.970001,53.299999,53.360001,42238800,52.121207
"17",53.009998,73.099998,49.540001,63.5,42151900,62.025799
"18",61.529999,65.050003,55.27,62.009998,36436500,60.788232
"19",61.610001,62.889999,52.82,54.790001,34010900,53.710488
"20",55.990002,56.560001,46.040001,50.52,52823400,49.524618
"21",50.959999,55.889999,48.5,53.02,38684100,52.207254
"22",53.18,54.119999,47.009998,48.209999,31408000,47.470985
"23",48.169998,50.080002,45.189999,49.82,33714500,49.056306
"24",50.049999,51.689999,44.209999,46.380001,38605200,45.872918
"25",45.630001,55.200001,43.689999,53.630001,43500500,53.043652
"26",54.16,58.360001,52.200001,56.400002,36142400,55.783368
"27",56.52,57.689999,52.689999,53.959999,26403400,53.579225
"28",53.75,59.459999,52.689999,59,18707500,58.583661
"29",59.439999,62.630001,57.450001,60.630001,24258600,60.20216
"30",60.16,62.740002,58.09,60.060001,22242500,59.84865
"31",60.599998,61.07,56.450001,58.98,30608900,58.772449
"32",60.09,62.43,56.84,59.41,33766100,59.200936
"33",59.82,63.389999,57.860001,63.09,26674300,62.899082
"34",62.630001,68.440002,62.049999,67.75,32117200,67.54498
"35",67.940002,76.910004,64.709999,75.120003,35114200,74.89268
"36",74.790001,83.330002,73.620003,79.879997,34367800,79.669504
"37",79.989998,84,76.93,79.370003,25586600,79.160853
"38",79.800003,88.160004,78.57,86.5,31028900,86.272062
"39",87.449997,88.230003,82.620003,85.720001,19942100,85.52458
"40",86.970001,94.419998,84.099998,88.720001,19966800,88.517741
"41",88.970001,91.589996,84.75,85.610001,30426300,85.41483
"42",85.720001,88.050003,80.720001,85.110001,29318700,84.946119
"43",85.099998,91.190002,82.059998,89.779999,31697000,89.607125
"44",89.879997,93.610001,84.25,92.809998,25923900,92.631289
"45",92.800003,102.669998,91.620003,102.290001,37149600,102.125042
"46",101.459999,104.720001,94.349998,96.970001,29605500,96.813621
"47",96.699997,111.470001,95.779999,108.989998,34589300,108.814234
"48",109.080002,111.160004,101.959999,106.879997,26832200,106.738284
"49",106.739998,109.970001,102.150002,106.900002,30590500,106.758262
"50",106.709999,107.709999,93.760002,93.82,37159900,93.695603
"51",93.419998,99.120003,92.669998,99.059998,22528600,98.960561
"52",99.059998,99.199997,89.769997,91.540001,24415400,91.448113
"53",91.82,94.209999,76.199997,94.040001,43878800,93.945603
"54",94.150002,100.650002,88.160004,90.980003,34139500,90.917006
"55",90.010002,91.68,74.370003,75.699997,39359900,75.64758
"56",76.160004,78.449997,71.330002,74.440002,27427200,74.388458
"57",75.449997,83.459999,73.489998,79.809998,33965100,79.783957
"58",79.989998,83.43,74.760002,82.870003,25410400,82.842964
"59",83.360001,91.419998,81.970001,89.940002,28376200,89.910657
"60",90.150002,92.790001,84.489998,85.07,23692900,85.07
"61",85.029999,87.379997,83.199997,85.779999,7570900,85.779999
