"","stock_data$SCG.Open","stock_data$SCG.High","stock_data$SCG.Low","stock_data$SCG.Close","stock_data$SCG.Volume","stock_data$SCG.Adjusted"
"1",35.43,38.139999,35.41,35.759998,15339600,28.776255
"2",35.98,40.060001,35.23,38.310001,16036400,30.828255
"3",38.66,39.990002,38.080002,39.029999,15466900,31.407641
"4",39.400002,40.82,39.290001,40.32,14430500,32.830764
"5",40.68,41.970001,40.200001,40.84,12006200,33.254177
"6",41.040001,41.700001,40.330002,40.619999,13582100,33.07504
"7",41.060001,41.490002,40.029999,40.599998,15544800,33.446911
"8",40.939999,42.77,40.240002,42.27,12593200,34.822685
"9",42.5,42.830002,39.849998,40.48,17463800,33.348054
"10",40.59,40.73,37.860001,39.369999,19621900,32.828801
"11",39.759998,41.619999,38.57,41.52,12373200,34.621587
"12",41.720001,42.200001,40.16,40.669998,11592100,33.91281
"13",40.540001,40.689999,38.16,39.369999,20865900,33.236691
"14",39.459999,41,38.959999,39.189999,16330500,33.084732
"15",39.5,40.389999,34.639999,40.220001,39174900,33.954275
"16",40.279999,41.580002,37.740002,40.450001,19377100,34.574367
"17",40.48,43.130001,38.490002,42.279999,15523200,36.138546
"18",41.52,43.66,40.509998,43.619999,13353000,37.283902
"19",43.610001,45.48,42.279999,45.060001,15279000,38.947884
"20",45.57,45.580002,43.560001,44.830002,14495700,38.749083
"21",45.029999,45.849998,44.150002,45,15834500,38.896022
"22",44.990002,46.119999,43.77,45.610001,12315700,39.865936
"23",45.849998,46.25,43.32,46.119999,12278700,40.311706
"24",46.200001,47.220001,45.32,46.950001,11784200,41.037178
"25",46.459999,48.240002,46.220001,47.84,16355700,42.255439
"26",48.07,49.759998,47.48,49.169998,9508500,43.43018
"27",49.290001,50.34,47.18,47.360001,10600400,41.831471
"28",47.439999,49.189999,47.369999,48.27,14675000,43.078011
"29",48.599998,49.639999,47.52,49.080002,8128000,43.800888
"30",49.240002,49.290001,44.93,46.34,15663700,41.355604
"31",46.43,46.91,44.720001,45.639999,11398500,41.170773
"32",46.240002,46.98,45.57,46.810001,11611500,42.226204
"33",47.07,49.639999,46.700001,48.84,11578100,44.057418
"34",48.77,51.23,48.490002,51.16,10119600,46.626456
"35",51.25,54.27,50.98,54.200001,15295900,49.397068
"36",54.23,54.41,50.07,50.439999,14358900,45.970258
"37",50.490002,50.91,47.220001,49.099998,16169900,45.210859
"38",49.580002,52.93,47.84,51.91,10918900,47.798284
"39",52.220001,52.91,47.91,48.119999,9788900,44.308483
"40",48.139999,48.59,45.720001,46.040001,15227900,42.861591
"41",46.240002,47.889999,44.75,46.630001,16516400,43.41086
"42",46.939999,48.150002,45.73,47.169998,14284200,43.913578
"43",47.16,47.75,46.240002,46.93,19280600,44.163023
"44",47.169998,47.389999,45.580002,47.27,16654500,44.482977
"45",47.279999,49.98,45.77,49.5,15752700,46.581497
"46",49.200001,51.389999,48.18,51.32,14372100,48.814122
"47",51.09,53.709999,50.349998,53.68,18249800,51.058887
"48",53.790001,53.830002,50.439999,52,15509100,49.460919
"49",51.990002,53.880001,49.509998,53.810001,16022900,51.701133
"50",53.860001,53.889999,50.779999,50.880001,15669500,48.885963
"51",50.75,51.939999,48.529999,51.939999,18144500,49.904418
"52",52,52.23,48.810001,49.610001,15301100,48.149719
"53",49.700001,55.25,47.77,54.889999,28010800,53.2743
"54",54.900002,57.389999,54.830002,57.029999,16214900,55.351308
"55",56.77,63.41,56.02,60.400002,19627300,59.164771
"56",60.830002,65.57,59.939999,63.77,17171100,62.465851
"57",63.73,64.040001,56.509998,56.950001,21940900,55.785326
"58",56.810001,57,52.029999,54.990002,24609000,54.398535
"59",54.900002,56.259998,52.560001,52.98,17239300,52.410152
"60",53.09,54.360001,51.259998,53.16,19061000,52.588216
"61",53.119999,53.73,49.889999,50.349998,6781100,50.349998
