"","stock_data$SLM.Open","stock_data$SLM.High","stock_data$SLM.Low","stock_data$SLM.Close","stock_data$SLM.Volume","stock_data$SLM.Adjusted"
"1",11.320009,12.350008,10.320004,10.39001,206007200,3.406324
"2",10.349998,12.130002,10.049997,12.000007,299309600,3.934155
"3",12.230002,12.300008,10.920007,11.050002,227888300,3.6227
"4",11.240014,12.400008,11.129997,11.550005,264633000,3.786624
"5",11.550005,12.070012,10.920007,11.900006,191181400,3.90137
"6",12.000007,12.800011,11.200003,11.550005,191583600,3.786624
"7",11.779999,13.139996,11.739988,12.589993,222453900,4.12758
"8",12.730006,14.76001,12.609999,14.410008,330422300,4.724264
"9",14.519998,15.310012,13.910005,14.819999,178579700,4.858678
"10",14.840005,15.599997,13.710005,15.299997,266484000,5.016044
"11",15.720004,16.859993,14.399992,16.590015,209500000,5.438971
"12",16.690015,17.109994,15.670004,17.039989,203371200,5.586493
"13",16.879998,17.089989,15.499997,16.809993,273170100,5.543623
"14",16.839987,17.109994,15.290008,15.590008,242405000,5.141295
"15",15.679993,15.879993,11.600005,13.730011,478924500,4.561467
"16",13.630009,13.780011,12.030001,12.45001,366492900,4.136218
"17",12.400008,14.529986,10.90999,13.669994,427656600,4.541528
"18",13.069989,14.390003,11.970012,12.880006,291335000,4.314763
"19",12.780006,13.89,12.369986,13.399987,229187800,4.488955
"20",13.760005,15.420002,13.110002,14.949995,241763800,5.008202
"21",15.120001,16.440013,14.979988,15.759987,207538600,5.320622
"22",15.84001,16.889987,15.470003,15.759987,225050500,5.320622
"23",15.699998,15.959989,14.640003,14.829988,239118200,5.006652
"24",14.849994,15.010012,12.850011,13.969994,233758000,4.759421
"25",13.660004,15.799999,13.660004,15.709987,246924000,5.352217
"26",15.79001,16.440013,15.070001,15.990011,330691600,5.447618
"27",16.120006,16.409991,15.399997,15.749999,163624600,5.365849
"28",15.749999,16.939988,15.329991,15.720004,150369000,5.398279
"29",15.820004,17.650009,15.749999,17.580003,202205200,6.037007
"30",17.670014,17.989994,16.350002,16.550002,206628500,5.683302
"31",16.600002,17.459996,16.440013,17.13,186764500,5.926994
"32",17.430002,17.739992,16.570009,16.889987,183066300,5.843949
"33",17.000005,19.399989,16.820009,18.969993,218603500,6.616794
"34",18.83001,20.499996,18.799986,20.499996,238287300,7.150464
"35",20.499996,21.020003,19.319995,20.649996,188331700,7.202784
"36",20.570001,26.170004,20.52999,23.739995,209937900,8.280586
"37",23.839995,24.119991,21.900003,22.859997,246982800,8.024128
"38",22.980002,25.140003,22.689989,24.710007,199064600,8.673503
"39",24.869995,25.199991,23.839995,23.989998,169629600,8.420771
"40",24.360003,25.490004,23.889998,24.89999,145337600,8.794409
"41",24.969995,26.279992,23.930007,25.369999,169103500,8.960411
"42",25.310008,26.809988,24.610007,26.65,139051300,9.412494
"43",26.540009,26.8,25.180016,26.279992,178817900,9.334609
"44",26.240009,27.340014,22.639989,22.759997,341501000,8.084312
"45",22.720011,24.269994,21.079992,23.939998,235864100,8.503447
"46",23.76999,25.910013,23.580006,24.480011,229957700,8.749111
"47",24.499989,26.6,23.960003,25.749995,392042500,9.203
"48",9.45,9.48,8.51,8.61,230724700,8.61
"49",8.67,9,8.2,8.31,120712400,8.31
"50",8.33,8.99,8.19,8.86,104278400,8.86
"51",8.85,9.12,8.74,8.86,62083100,8.86
"52",8.86,9.23,8.48,8.56,83410700,8.56
"53",8.62,9.56,8.34,9.55,130821900,9.55
"54",9.77,10.06,9.45,9.68,68141600,9.68
"55",9.67,10.47,9.29,10.19,83436500,10.19
"56",10.21,10.34,8.5,9.11,99337900,9.11
"57",9.16,9.77,9.09,9.47,67488300,9.47
"58",9.43,9.62,8.86,9.28,67990500,9.28
"59",9.26,10.49,9.25,10.19,89365100,10.19
"60",10.23,10.76,10.12,10.26,58943900,10.26
"61",10.33,10.41,10.07,10.23,21228400,10.23
