"","stock_data$NTRS.Open","stock_data$NTRS.High","stock_data$NTRS.Low","stock_data$NTRS.Close","stock_data$NTRS.Volume","stock_data$NTRS.Adjusted"
"1",49.610001,51.52,46.599998,46.700001,34621500,41.602707
"2",46.669998,50.360001,45.450001,46.990002,47644100,41.861055
"3",47.57,50.849998,45.299999,46.130001,48953800,41.094923
"4",46.669998,49.779999,46.369999,48.240002,34255900,43.228316
"5",48.700001,50.689999,47.02,49.630001,45727900,44.473908
"6",49.880001,52.599998,48.860001,50.299999,27836000,45.074299
"7",51.02,56.049999,50.68,55.41,33466500,49.919606
"8",55.810001,56.860001,51.419998,51.98,41527500,46.829473
"9",52.380001,54.900002,51.43,51.57,32080700,46.460099
"10",51.669998,52.169998,48.93,50.75,28199800,45.974053
"11",51.290001,52.57,48.639999,49.990002,30689500,45.285576
"12",50.169998,50.200001,47.82,48.790001,30876300,44.198504
"13",48.509998,48.529999,44.580002,45.959999,36914100,41.885531
"14",46,46.98,42.98,44.900002,38566100,40.919505
"15",45.32,45.740002,34.700001,38.419998,82220300,35.01397
"16",38.57,38.860001,33.509998,34.98,50584500,32.128757
"17",34.540001,42.700001,33.200001,40.470001,59945000,37.171265
"18",39.18,40.849998,34.869999,37.630001,38356800,34.562755
"19",37.369999,40.970001,37.009998,39.66,40412200,36.684659
"20",40.720001,43.470001,39.860001,41.169998,32248300,38.081375
"21",41.529999,44.830002,41.439999,44.41,23838200,41.078308
"22",44.529999,48.150002,43.110001,47.450001,30875000,44.174652
"23",47.59,48.02,45.279999,47.560001,22649200,44.27706
"24",47.490002,48.310001,42.310001,43.18,27798300,40.199399
"25",42.330002,46.040001,41.110001,46.02,25729100,43.155554
"26",45.98,47.32,44.25,45.400002,25923000,42.574146
"27",45.490002,47.720001,43.689999,46.439999,19732600,43.54941
"28",46.459999,49.68,45.950001,46.419998,26956400,43.811799
"29",46.860001,48.52,45.93,47.799999,24825600,45.114262
"30",47.990002,49.330002,45.98,48.02,22316400,45.321902
"31",48.119999,50.459999,47.009998,50.16,24666500,47.642115
"32",50.950001,53.5,49.27,51.48,33641900,48.895855
"33",51.779999,53.959999,51.23,53.189999,21283000,50.520017
"34",53.049999,55.5,52.48,54.560001,22420000,52.108774
"35",54.380001,56.66,51.900002,53.919998,29990900,51.497525
"36",53.880001,59.330002,53.040001,58.150002,31361200,55.537486
"37",58.529999,59.09,56.400002,57.900002,31999900,55.596849
"38",58.130001,62.02,58.040001,58.540001,27812100,56.21139
"39",58.970001,59.66,54.59,54.869999,17710100,52.687374
"40",55.380001,56.82,53.919998,54.380001,28045600,52.51177
"41",54.439999,57.689999,52.400002,56.419998,32148800,54.481683
"42",56.380001,59.400002,56.040001,58.990002,19619800,56.963394
"43",58.91,62,56.66,61.889999,25936300,60.082969
"44",61.759998,63,59.830002,60.220001,31079500,58.46173
"45",60.299999,62.84,58.310001,61.849998,18392100,60.044136
"46",61.43,67.169998,60.779999,65.559998,23454600,63.964144
"47",65.779999,65.980003,58.299999,60.25,33107600,58.783402
"48",60.27,61.919998,58.610001,60.400002,17395500,58.929752
"49",60.459999,64.970001,60.200001,64.209999,19830500,62.9881
"50",64.510002,68.110001,63.110001,66.889999,24482200,65.6171
"51",66.800003,69.440002,64.059998,69.349998,24435100,68.030286
"52",69.540001,70.839996,67.620003,68.029999,24843900,67.053837
"53",68.099998,68.699997,60.779999,66.300003,33629700,65.348665
"54",66.230003,69.150002,65.199997,67.730003,17755900,66.758147
"55",67.489998,69,64.720001,67.400002,18237400,66.758434
"56",67.68,68.620003,61.099998,65.379997,27873800,64.757658
"57",65.949997,71.839996,65.459999,69.830002,23382200,69.165304
"58",70.080002,72.720001,68.169998,69.650002,22955200,69.312986
"59",69.360001,74.269997,68.879997,73.150002,25947500,72.79605
"60",73.639999,76.629997,73.300003,74.550003,21136900,74.189278
"61",74.790001,77.510002,73.769997,77.260002,9200400,77.260002
