"","stock_data$VFC.Open","stock_data$VFC.High","stock_data$VFC.Low","stock_data$VFC.Close","stock_data$VFC.Volume","stock_data$VFC.Adjusted"
"1",76.169998,80.169998,71.040001,71.18,62820400,16.024208
"2",71.050003,82.110001,69.239998,79.330002,85289600,17.858955
"3",80.480003,81.459999,70.089996,70.57,73192000,15.886883
"4",71.639999,81.910004,71.629997,81.019997,60290800,18.38684
"5",81.529999,89.300003,80.370003,83.239998,84054000,18.890652
"6",83.75,85.519997,78.209999,82.879997,74907600,18.808953
"7",84.129997,89.739998,83.760002,86.18,85977600,19.702802
"8",86.629997,86.790001,80.400002,82.720001,104460800,18.911764
"9",83.110001,100.239998,82.779999,95.669998,111537200,21.872442
"10",96.169998,99.360001,92.199997,98.529999,88697200,22.674044
"11",97.879997,108.870003,96.660004,100.559998,80964800,23.141194
"12",102.07,102.559998,94.309998,99.669998,71798800,22.936384
"13",99.739998,109.730003,91.599998,108.559998,98297200,25.150959
"14",108.120003,131.300003,108.120003,116.800003,97868400,27.059987
"15",117.959999,119.809998,101.739998,117.059998,101961600,27.120222
"16",117.449997,132.820007,107.57,121.519997,96462800,28.312351
"17",120.360001,142.5,115.910004,138.220001,93592000,32.203204
"18",135.119995,141.339996,126.190002,138.690002,73104400,32.312707
"19",137.960007,142,125.550003,126.989998,103314800,29.7406
"20",131.029999,135.580002,128.919998,131.490005,65403600,30.794485
"21",131.460007,150,129.270004,146.050003,92958000,34.204384
"22",147.199997,152.5,144.179993,145.979996,89226000,34.358776
"23",145.259995,155.839996,143.029999,152.050003,60487200,35.787451
"24",152.710007,156.149994,133.440002,141.039993,71923600,33.196066
"25",137.990005,144.820007,132.429993,133.449997,69859200,31.574382
"26",132.369995,152.970001,129.529999,149.300003,89138800,35.324507
"27",149.699997,154.149994,144.759995,152.679993,49243600,36.124215
"28",152.399994,164.350006,150.419998,159.360001,44530400,37.884997
"29",159.059998,169.820007,153,156.479996,51811200,37.200327
"30",157.699997,162.509995,152.039993,160.509995,51342000,38.158387
"31",161.740005,162.309998,146.110001,150.970001,59674400,36.093221
"32",153.029999,155.710007,142.789993,147.580002,84477200,35.282756
"33",149.139999,163.740005,146.710007,161.259995,69802800,38.553306
"34",161.25,168.820007,159.380005,167.75,51433600,40.318454
"35",167.759995,178.910004,164.5,178.220001,47774400,42.834903
"36",177.960007,187.910004,174.009995,183.860001,42736000,44.190468
"37",183.789993,195.059998,175.75,193.059998,44670000,46.620501
"38",193.929993,200.550003,190.869995,197,41594000,47.57194
"39",198.119995,202.350006,185.619995,187.210007,39324400,45.207834
"40",188.800003,204.940002,188.240005,199.050003,41031200,48.284294
"41",199.600006,217.690002,189.320007,215,60677600,52.153344
"42",215,237.179993,214.820007,234.580002,41484000,56.902937
"43",236.190002,245.789993,60.119999,62.34,62364300,60.761998
"44",63.02,63.450001,57.48,58.450001,46767400,56.970465
"45",58.439999,60.82,55.139999,58.59,59212000,57.106921
"46",57.900002,63.209999,57.880001,61.880001,44513600,60.579804
"47",62.07,62.970001,57.57,61.09,44819500,59.806402
"48",61.099998,63.990002,60.18,63.02,28111500,61.69585
"49",63.099998,64.080002,61.279999,63,28070200,61.930846
"50",63.029999,63.639999,60.119999,61.27,37332900,60.230206
"51",60.77,64.739998,59.82,64.120003,25779900,63.031842
"52",64.139999,67.82,63.959999,66.029999,30923700,65.171667
"53",66.080002,68.290001,61.75,67.68,43616500,66.80022
"54",67.879997,75.43,67.220001,75.169998,28815900,74.192855
"55",74.32,75.989998,71.269997,74.900002,29119700,74.246527
"56",75.190002,76.889999,69.290001,69.370003,51363600,68.764775
"57",68.32,77.830002,67.849998,76.660004,64454800,75.991174
"58",76.529999,77.43,72.239998,75.309998,39202700,74.968308
"59",75.379997,76.18,72.199997,72.43,27342300,72.101378
"60",72.709999,72.980003,68.440002,70.43,42433700,70.110452
"61",70.650002,71.279999,69,70.029999,10885400,70.029999
