"","stock_data$WM.Open","stock_data$WM.High","stock_data$WM.Low","stock_data$WM.Close","stock_data$WM.Volume","stock_data$WM.Adjusted"
"1",32.310001,34.119999,31.219999,31.290001,49482900,26.021705
"2",31.25,35.869999,31.219999,33.950001,58024700,28.233841
"3",34.369999,34.75,32.560001,33.09,43334700,27.518639
"4",33.419998,36.240002,33.330002,35.740002,43691800,30.000404
"5",35.900002,37.25,35.330002,35.720001,53300200,29.983616
"6",35.849998,36.27,34.080002,34.25,75972100,29.011387
"7",34.639999,36.959999,34.43,36.869999,53524600,31.230652
"8",37.080002,38.580002,35.93,37.869999,47193200,32.0777
"9",38,38.330002,36.57,37.060001,48549100,31.391593
"10",37.150002,38,35.860001,37.34,57856600,31.918156
"11",37.419998,39.689999,37.189999,39.459999,50782400,33.730327
"12",39.549999,39.689999,38.060001,38.880001,53430600,33.527818
"13",38.880001,38.900002,36.220001,37.27,69563500,32.139449
"14",37.16,38.060001,31.49,31.49,83755100,27.155117
"15",31.799999,33.93,27.75,33.040001,202885300,28.491747
"16",32.759998,33.130001,28.77,32.560001,132440800,28.369763
"17",32.450001,35.52,30.530001,32.93,97541400,28.692146
"18",32.419998,32.459999,29.77,31.299999,119793800,27.581306
"19",31.290001,33,30.51,32.709999,67415600,28.823787
"20",33.110001,35,32.110001,34.759998,50286500,30.630229
"21",34.900002,35.759998,34.169998,34.98,55448200,30.824093
"22",35.09,35.48,34.209999,34.959999,49481000,31.124707
"23",34.849998,36.349998,33.919998,34.200001,61979600,30.448085
"24",34.200001,34.619999,32.16,32.439999,83649200,28.881164
"25",32.200001,33.41,31.93,33.400002,72450900,30.067337
"26",33.549999,34.650002,31.07,34.400002,114608500,30.967556
"27",34.5,35.700001,33.880001,34.580002,68951400,31.129596
"28",34.73,34.880001,31.860001,32.080002,78795800,29.177029
"29",32.07,33.400002,31.52,32.740002,55414400,29.777305
"30",32.799999,33.25,30.82,32.57,55420800,29.951261
"31",32.68,34.450001,32.34,33.740002,74022400,31.027191
"32",34.130001,37.98,33.700001,36.380001,70916800,33.454926
"33",36.549999,37.5,35.5,37.32,55656700,34.319345
"34",37.18,39.27,36.59,39.209999,46211500,36.414386
"35",39.049999,41,37.970001,40.98,52226000,38.058188
"36",40.810001,43,40.459999,41.93,37976200,38.940455
"37",42,42,38.810001,40.330002,49573900,37.784711
"38",40.400002,42.830002,39.93,42.029999,29999800,39.377418
"39",42.240002,43.59,40.310001,40.439999,33691900,37.887765
"40",40.869999,42.48,39.599998,41.240002,30793700,38.991749
"41",41.240002,44.599998,40.279999,43.540001,38075300,41.16636
"42",43.52,46.380001,43.349998,45.68,55713600,43.189695
"43",45.27,45.360001,42.950001,44.869999,44761500,42.765565
"44",44.790001,44.799999,40.860001,41.779999,45204800,39.820488
"45",41.720001,43.779999,40.450001,41.5,51700400,39.553621
"46",40.880001,42.099998,40.349998,42.07,44041500,40.46394
"47",42.119999,44.5,41.040001,44.450001,40533500,42.753083
"48",44.389999,44.720001,43.240002,44.68,35032200,42.974302
"49",44.689999,44.889999,43.740002,44.73,32576500,43.386618
"50",44.75,45.689999,43.490002,44.889999,34418700,43.541813
"51",44.720001,47.349998,43.970001,46.970001,31799000,45.559346
"52",46.970001,47.689999,46.509998,47.529999,29289600,46.471267
"53",47.639999,49.18,45.5,48.889999,48873300,47.800973
"54",48.790001,49.709999,48.200001,48.73,34344500,47.644537
"55",48.73,51.950001,48.290001,51.32,53620700,50.56533
"56",51.25,53.490002,50.860001,51.43,44540100,50.673713
"57",51.459999,54.84,50.669998,54.48,42549300,53.678861
"58",54.48,55.310001,52.669998,54.23,51103000,53.808723
"59",54.25,55.93,49.43,49.529999,63928500,49.145233
"60",49.57,50.450001,48.09,49.650002,41538000,49.264304
"61",49.82,49.91,48.23,48.439999,14505100,48.439999
