"","stock_data$HON.Open","stock_data$HON.High","stock_data$HON.Low","stock_data$HON.Close","stock_data$HON.Volume","stock_data$HON.Adjusted"
"1",40.790001,43.77,38.540001,39.029999,91116600,34.757996
"2",38.990002,44.299999,37.889999,42.860001,110058200,38.168788
"3",43.66,44.169998,38.080002,39.060001,97956000,35.035143
"4",39.59,44.889999,39.450001,43.939999,101732400,39.412291
"5",44.220001,48.279999,43.41,47.110001,102451600,42.255647
"6",46.93,50.439999,46.560001,49.709999,111609700,44.868393
"7",50.41,53.740002,50.41,53.16,85067800,47.982374
"8",53.490002,56.990002,52.98,56.009998,84282200,50.554791
"9",56.32,58.080002,54.919998,57.91,65308300,52.574903
"10",58.09,59.950001,53.740002,59.709999,96524000,54.209073
"11",59.959999,62.099998,56.310001,61.23,88418900,55.58904
"12",61.669998,62.279999,57.759998,59.549999,87517400,54.370792
"13",59.369999,59.950001,55.369999,59.59,85712900,54.407314
"14",59.490002,60.650002,51.990002,53.099998,91509200,48.481763
"15",54.009998,54.040001,41.619999,47.810001,204257700,43.969948
"16",47.740002,48.360001,41.5,43.91,122736900,40.383191
"17",43.549999,54.52,41.220001,52.400002,118708400,48.191283
"18",50.860001,55.810001,48.82,54.150002,97423300,50.142143
"19",53.880001,55.549999,51.43,54.349998,79210900,50.327337
"20",55.279999,58.91,54.73,58.040001,77026900,53.744228
"21",58.639999,60.790001,58.330002,59.57,64780700,55.50891
"22",59.349998,62,57.310001,61.049999,82297500,56.888013
"23",60.57,61.450001,56.57,60.66,82576700,56.524601
"24",60.48,61.470001,54.779999,55.66,78817600,52.204231
"25",54.209999,56.990002,52.209999,55.84,87117200,52.373055
"26",55.939999,59.52,52.73,58.049999,78287400,54.445842
"27",58.400002,59.98,56.700001,58.450001,57084700,55.172976
"28",58.48,61.950001,57.16,59.75,62330000,56.40009
"29",60.369999,63.48,60.049999,61.240002,79638000,57.806554
"30",61.259998,63.889999,58.290001,61.330002,70378100,58.29435
"31",61.560001,64.489998,60.240002,63.470001,70072600,60.328426
"32",64.669998,69.25,64.160004,68.239998,72149000,64.862322
"33",68.970001,71.43,68.389999,70.099998,65628300,67.020857
"34",69.709999,75.75,68.900002,75.349998,77234700,72.040251
"35",75.199997,75.279999,70.919998,73.540001,83540700,70.309757
"36",73.199997,81.239998,72.470001,78.459999,70167700,75.400608
"37",78.550003,81.089996,76.150002,79.339996,60479000,76.246292
"38",79.860001,84.849998,77.32,82.980003,64071300,79.744364
"39",83.800003,84.779999,78.879997,79.57,49529000,76.851536
"40",80.440002,87.550003,80.230003,83.040001,47582600,80.202987
"41",83.129997,87.940002,81.040001,86.730003,66311900,83.766922
"42",86.769997,89.519997,85.330002,88.510002,43097000,85.922111
"43",88.480003,91.559998,85.769997,91.370003,49890400,88.69849
"44",90.959999,92.150002,88.120003,91.230003,61068800,88.562584
"45",91.230003,95.209999,88.269997,94.440002,58684500,92.120862
"46",92.709999,95.910004,90.050003,92.760002,67229800,90.482117
"47",93.150002,95.160004,89.959999,92.900002,60216300,90.618679
"48",92.830002,94.769997,90.07,93.150002,54157800,91.309701
"49",93.300003,96.489998,92.510002,92.949997,50180600,91.113647
"50",93.290001,98.089996,91.830002,91.830002,67998800,90.015779
"51",91.75,96.330002,90.18,95.230003,52193700,93.791672
"52",95.18,96.93,92.25,93.120003,53075900,91.713541
"53",92.75,96.980003,82.889999,96.120003,94247700,94.66823
"54",96.25,99.349998,94.879997,99.07,41446600,98.100092
"55",98.599998,102.389999,95.370003,99.919998,51298000,98.941769
"56",100.199997,103.919998,96.5,97.760002,69805500,96.80292
"57",98.57,105.389999,96.940002,102.779999,45876700,102.281353
"58",102.779999,106.150002,100.300003,104.309998,65481000,103.803929
"59",104.050003,105.059998,100.690002,100.919998,57429800,100.430377
"60",101.559998,107.099998,100.150002,104.199997,61951200,104.199997
"61",104.230003,105.389999,103.160004,104.769997,14727300,104.769997
