"","stock_data$RHI.Open","stock_data$RHI.High","stock_data$RHI.Low","stock_data$RHI.Close","stock_data$RHI.Volume","stock_data$RHI.Adjusted"
"1",23.450001,25.700001,23.34,23.549999,34714100,21.465286
"2",23.530001,26.49,23.17,25.18,30948600,22.950995
"3",25.65,26.5,21.16,21.58,29066500,19.782372
"4",21.99,26.5,21.83,26,21495100,23.834183
"5",26.219999,27.9,25.049999,27.110001,25185000,24.85172
"6",27.43,28.48,26.65,27.719999,24307200,25.533118
"7",28.23,31.040001,28.09,30.6,22874500,28.185911
"8",30.9,34.259998,30.209999,31.360001,32297900,28.885953
"9",31.57,34.16,31,31.9,25391800,29.512468
"10",32.040001,33.290001,29.09,30.6,34145100,28.309767
"11",30.889999,31.83,29.049999,30.33,28350100,28.059974
"12",30.52,30.610001,26.870001,27.57,34503300,25.63649
"13",27.389999,27.43,25.440001,27.030001,34860300,25.134361
"14",27.049999,30.16,24.530001,27.379999,40756400,25.459814
"15",27.57,27.68,21.02,23.92,61254600,22.385245
"16",24.110001,24.389999,19.690001,21.219999,38653600,19.858481
"17",20.98,27.959999,20.15,26.43,43608900,24.734198
"18",25.41,27.27,23.809999,26.49,30742000,24.926879
"19",26.33,28.74,26.200001,28.459999,31267000,26.780633
"20",29.129999,30.51,26.92,27.690001,27054100,26.056071
"21",28.01,30,28.01,28.43,23342100,26.890257
"22",28.58,31,27.639999,30.299999,19102200,28.658978
"23",30.23,32.32,28,29.799999,29352700,28.186058
"24",29.799999,30.42,27.799999,28.42,32263600,27.021438
"25",27.690001,29.6,26,28.57,25210300,27.164056
"26",28.620001,29.41,25.9,27.01,24083200,25.680825
"27",27.219999,29.200001,25.83,26.299999,27450600,25.136958
"28",26.34,27.68,25.700001,26.629999,29246100,25.452364
"29",26.65,28.139999,25.1,26.889999,40072900,25.700867
"30",26.940001,28.34,26.209999,28.26,27151600,27.161235
"31",28.52,31.84,27.99,31.82,32736900,30.582819
"32",32.240002,35.75,32.220001,35.240002,42858500,33.86985
"33",35.169998,37.150002,34.59,35.549999,28337100,34.322662
"34",35.279999,37.59,34.669998,37.529999,18637400,36.234303
"35",37.529999,37.75,32.349998,32.82,30674500,31.686913
"36",32.529999,36.16,31.08,34.759998,31810200,33.710725
"37",34.849998,34.919998,31.790001,33.23,18258100,32.226911
"38",33.349998,38,30.639999,37.240002,28912200,36.115866
"39",37.439999,39.099998,35.139999,35.27,16535700,34.353486
"40",35.759998,39.23,35.490002,39.029999,17736400,38.015779
"41",39.130001,41.130001,37.880001,38.529999,21979700,37.528771
"42",38.549999,39.41,37.16,38.630001,14314400,37.786972
"43",38.619999,42.330002,38.060001,41.990002,19062800,41.073647
"44",41.720001,43.060001,39.790001,41.779999,30822600,40.868227
"45",41.650002,41.880001,38.619999,40.939999,24518900,40.226182
"46",40.59,42.950001,40.259998,41.950001,17822600,41.218574
"47",42.200001,44.900002,39.57,44.799999,20594800,44.018881
"48",44.650002,46.130001,43.73,45.59,16992600,44.979115
"49",45.610001,48.130001,45,47.740002,16199000,47.100308
"50",47.790001,53.080002,46.98,48.650002,21455700,47.998114
"51",48.529999,50.369999,47.939999,50.209999,15255200,49.716115
"52",50.200001,51.459999,48.610001,49,14616000,48.518018
"53",48.91,54.799999,45.299999,54.779999,28624400,54.241162
"54",54.740002,58.299999,54.240002,56.790001,17784900,56.410095
"55",56.18,59.450001,55.27,58.380001,21236500,57.989458
"56",58.950001,59.59,55.599998,58.060001,14459900,57.671599
"57",58.330002,63.209999,57.549999,61.959999,15157900,61.746933
"58",61.990002,63.27,59.25,60.52,17491800,60.311886
"59",60.32,60.540001,55.029999,55.450001,25184700,55.259321
"60",55.75,58.200001,54.580002,56.369999,19114400,56.369999
"61",56.700001,57.220001,55.75,56.66,4833300,56.66
