"","stock_data$BAX.Open","stock_data$BAX.High","stock_data$BAX.Low","stock_data$BAX.Close","stock_data$BAX.Volume","stock_data$BAX.Adjusted"
"1",41.05,42.999998,40.509998,40.639998,150536600,19.286222
"2",40.529999,45.179998,40.249998,43.769998,196269000,20.771603
"3",44.409998,46.619997,42.47,42.549998,142923100,20.192636
"4",42.939998,49.580001,42.699999,47.709997,156619000,22.790299
"5",48.110001,51.900002,47.169999,50.929998,161557900,24.328441
"6",51.040001,52.000001,48.389999,48.549997,98931600,23.191553
"7",48.999997,52.299999,48.819998,50.619999,111273300,24.332966
"8",50.84,51.399999,48.329999,48.490001,177923700,23.309079
"9",48.680001,53.379999,48.029997,53.15,167573000,25.549135
"10",53.279997,53.999998,49.979998,53.769999,149582700,25.998924
"11",53.939998,57.529999,52.939996,56.899999,128645500,27.512345
"12",57.169996,60.5,57.130001,59.520003,137970200,28.779171
"13",59.329999,60.179997,57.509998,59.689998,133513200,29.016083
"14",59.799997,62.499998,57.659999,58.169995,143376900,28.27719
"15",58.459997,58.639996,49.519998,55.979998,222021400,27.212604
"16",56.02,57.259998,51.99,56.14,143152700,27.447752
"17",55.25,57.29,52.450001,54.979999,165608400,26.880609
"18",53.729997,55.200001,47.689999,51.659999,161565600,25.257408
"19",51.519999,52.779998,47.549998,49.479999,126453800,24.349381
"20",50.13,56.679998,49.5,55.479999,145364600,27.302014
"21",55.709997,58.389997,55.599998,58.13,100743500,28.606095
"22",58.019998,60.540002,57.11,59.779996,101550100,29.590527
"23",59.630002,60.459998,53.65,55.409998,123240100,27.42742
"24",55.25,56.09,50.559999,50.619999,103125900,25.056416
"25",50.249999,53.159998,48.98,53.15,135715200,26.485386
"26",53.449999,59.959999,53.229998,58.509996,125996200,29.156346
"27",58.89,59.740001,57.399999,58.679999,80771900,29.241061
"28",58.599998,61.669994,57.950001,60.270002,95012700,30.264603
"29",60.419996,63.05,59.829999,62.629998,100908000,31.449676
"30",62.619997,68.910006,62.450002,66.269994,155630600,33.277501
"31",66.599998,67.800001,63.860002,66.660001,90205100,33.705902
"32",67.359998,68.999996,65.890001,67.839996,119479400,34.302554
"33",67.980004,69.339994,66.400001,67.599997,100162500,34.181201
"34",67.41,72.739998,67.209997,72.64,101551300,36.96645
"35",72.469997,72.849997,68.709995,69.870002,126879200,35.5568
"36",69.549999,73.949994,67.509999,70.329999,183294600,35.790893
"37",70.419997,71.319997,67.91,69.269997,105051800,35.500748
"38",69.639997,74.599995,69.039999,73.040001,95622900,37.432868
"39",73.499998,74.109996,69.309999,69.559999,121877300,35.649373
"40",70.260002,72.849997,65.510001,65.690004,116884500,33.904913
"41",65.690004,67.749998,62.8,65.87,168169800,33.997815
"42",66.019994,69.309999,64.779997,68.449994,129300900,35.329441
"43",69.010004,69.809999,65.529996,69.549999,126749700,36.160272
"44",69.539998,70.739994,67.309995,68.3,130728700,35.510376
"45",68.349996,70.150003,66.440003,69.499996,104144400,36.134275
"46",68.910006,75.679998,66.339998,73.580002,173398100,38.529036
"47",73.870004,74.120004,71.849998,72.790001,113858800,38.115364
"48",72.849997,75.879995,72.849997,74.409999,101624000,38.96365
"49",74.409999,74.649998,72.019994,72.300002,94441700,38.126707
"50",72.629999,77.309996,72.629999,74.69,94793100,39.387049
"51",74.660005,76.339992,73.259999,74.980002,69728700,39.539979
"52",74.949993,75.360002,71.190004,71.769994,90551100,38.113999
"53",71.260001,73.550001,66.37,70.139996,128316900,37.248376
"54",70.129995,73.199995,68.17,72.999998,108824100,38.767202
"55",73.129999,75.289998,70.650003,73.29,92991900,39.197815
"56",73.609997,74.029999,70.039997,70.309998,116497600,37.604016
"57",70.370001,71.819997,65.940004,69.149998,129608000,36.983611
"58",69.149998,70.029997,66.76,68.499997,140898600,36.919426
"59",68.199995,72.069997,67.109998,68.739996,113535000,37.048778
"60",68.910006,70.120002,66.169996,66.609999,137386900,36.181422
"61",66.790002,66.919995,64.009996,66.020001,82981000,35.860946
