"","stock_data$MDLZ.Open","stock_data$MDLZ.High","stock_data$MDLZ.Low","stock_data$MDLZ.Close","stock_data$MDLZ.Volume","stock_data$MDLZ.Adjusted"
"1",29.120001,30.24,27.85,28,171490300,16.466113
"2",28,30.059999,27.59,29.209999,162480400,17.177684
"3",29.49,30.57,28.85,29.91,209693800,17.589337
"4",30.15,31.98,29.9,30.860001,177142300,18.315032
"5",30.99,32.669998,30.74,32.27,159751200,19.15185
"6",32.349998,32.459999,29.799999,30.25,198749600,17.953004
"7",30.459999,31.98,30.1,31.51,162307000,18.872583
"8",31.76,31.77,30.209999,30.57,183580300,18.30958
"9",30.67,32.200001,30.24,31.84,195649800,19.070233
"10",31.76,31.879999,30.43,31.360001,213783200,18.957438
"11",31.440001,33.900002,31.35,33.59,194989800,20.305495
"12",33.599998,35.439999,33.220001,34.970001,203334600,21.13972
"13",34.91,35.470001,33.75,35.23,192524800,21.477426
"14",35.040001,36.02,34.259998,34.380001,170449500,20.959237
"15",34.610001,36.299999,32.630001,35.02,386489300,21.349403
"16",34.91,35.52,32.700001,33.580002,229431000,20.642915
"17",33.330002,35.700001,31.879999,35.18,203076900,21.626495
"18",34.560001,36.299999,34.099998,36.150002,175840800,22.222792
"19",36.169998,37.93,36.009998,37.360001,159874300,23.14466
"20",37.950001,39,37.169998,38.299999,153833700,23.726993
"21",38.52,39.060001,37.52,38.07,154454000,23.584507
"22",38.080002,38.669998,37.580002,38.009998,169167200,23.72671
"23",38.049999,39.93,36.75,39.869999,181849200,24.887765
"24",39.77,39.990002,38.209999,38.27,209367800,23.88901
"25",37.990002,39.32,37.099998,38.619999,205511000,24.294067
"26",38.32,40.290001,37.150002,39.709999,244559400,24.979737
"27",39.799999,42,38.75,41.509998,226866100,26.112033
"28",41.299999,42.439999,39.330002,41.349998,403843000,26.201678
"29",41.080002,42.540001,26.18,26.549999,356071400,25.235056
"30",26.68,26.85,24.5,25.889999,312478500,24.607744
"31",26.02,26.23,25,25.450001,220528400,24.314029
"32",25.84,28.1,25.780001,27.790001,248341300,26.549583
"33",28,28.32,26.450001,27.639999,291252900,26.406277
"34",26.940001,30.66,26.940001,30.620001,275984200,29.506538
"35",30.42,32.099998,29.73,31.450001,253382000,30.306356
"36",31.299999,31.99,29.209999,29.48,269095700,28.407992
"37",29.469999,30.639999,28.219999,28.530001,200885400,27.616983
"38",28.790001,31.860001,28.5,31.27,203922300,30.269297
"39",31.57,32.91,30.15,30.67,188019500,29.688498
"40",31.139999,33.080002,30.049999,31.42,167468700,30.547728
"41",31.309999,34.099998,30.07,33.650002,203096700,32.71582
"42",33.75,34.299999,31.76,33.529999,177344700,32.599149
"43",33.599998,35.43,33.220001,35.299999,169922900,34.458199
"44",35.029999,36.049999,32.279999,32.759998,242933400,31.978769
"45",32.799999,34.950001,31.84,34.029999,166099200,33.218484
"46",33.700001,35.279999,33.43,34.549999,210806500,33.864834
"47",34.73,36.119999,34.029999,35.650002,183940100,34.943022
"48",35.779999,38.470001,35.18,37.619999,174490900,36.873952
"49",37.540001,38.41,36.959999,37.610001,146554400,37.003751
"50",37.810001,39.540001,35.98,36.02,133909300,35.439381
"51",36.23,36.759998,34.919998,36.189999,129790100,35.606639
"52",36.290001,36.349998,33.93,34.27,148720600,33.863807
"53",34.110001,35.950001,31.83,35.259998,207484800,34.842071
"54",35.209999,39.419998,34.950001,39.200001,149781400,38.735373
"55",39.200001,39.27,35.689999,36.330002,169973700,36.042568
"56",36.43,37.880001,35.16,35.240002,168666600,34.961192
"57",35.240002,37.450001,34.889999,36.939999,190445400,36.647739
"58",36.939999,37.009998,33.970001,36.09,259268400,35.95822
"59",36.220001,39.080002,35.93,38.369999,216577600,38.229893
"60",38.529999,41.599998,38.080002,41.59,190537800,41.438137
"61",41.599998,41.810001,39.779999,40.369999,70849700,40.22259
