"","stock_data$MSFT.Open","stock_data$MSFT.High","stock_data$MSFT.Low","stock_data$MSFT.Close","stock_data$MSFT.Volume","stock_data$MSFT.Adjusted"
"1",25.129999,26.889999,22.950001,23.01,1116666000,20.085144
"2",23.09,26.41,22.73,25.809999,1408590600,22.529229
"3",25.99,26.379999,23.32,23.469999,1279372100,20.595957
"4",23.67,25.530001,23.540001,24.49,1273139500,21.491052
"5",24.77,27.200001,23.780001,26.67,1281432800,23.404098
"6",26.879999,28.870001,24.93,25.26,1361176300,22.302962
"7",25.57,28.4,25.559999,27.91,1033710000,24.642742
"8",28.049999,29.459999,27.42,27.73,1361258700,24.483813
"9",27.799999,28.34,26.43,26.58,1114368500,23.60715
"10",26.6,26.780001,24.68,25.389999,1310885200,22.550245
"11",25.530001,26.870001,24.719999,25.92,1313844800,23.020968
"12",25.940001,26.25,24.030001,25.01,1364062800,22.358345
"13",24.99,26,23.65,26,1297757600,23.243382
"14",25.93,28.15,25.84,27.4,1259328200,24.494948
"15",27.51,27.690001,23.790001,26.6,1719339500,23.929857
"16",26.459999,27.5,24.6,24.889999,1279920200,22.391509
"17",24.719999,27.5,24.26,26.629999,1218142500,23.956845
"18",26.190001,27.200001,24.299999,25.58,1046207400,23.185531
"19",25.559999,26.190001,25.16,25.959999,1007166600,23.52996
"20",26.549999,29.950001,26.389999,29.530001,1354858100,26.765784
"21",29.790001,32,29.709999,31.74,984332300,28.958305
"22",31.93,32.950001,31.49,32.259998,942366500,29.432731
"23",32.220001,32.889999,30.23,32.02,940739700,29.213766
"24",32.049999,32.34,28.639999,29.190001,1014372600,26.806537
"25",28.76,31.139999,28.32,30.59,973131400,28.092222
"26",30.620001,31.049999,28.540001,29.469999,846604100,27.063673
"27",29.59,30.959999,28.969999,30.82,671748400,28.490944
"28",30.450001,31.610001,29.74,29.76,893107700,27.511048
"29",29.809999,30.25,27.76,28.540001,1105402300,26.383244
"30",28.84,30.200001,26.34,26.620001,1310516100,24.81055
"31",26.780001,27.73,26.26,26.709999,947310900,24.89443
"32",27.25,28.23,26.280001,27.450001,1145054400,25.584132
"33",27.67,28.200001,27.1,27.799999,780587000,26.124859
"34",27.719999,28.66,27.52,28.610001,844946000,26.886052
"35",28.639999,33.110001,28.110001,33.099998,1465757200,31.105497
"36",32.93,35.279999,32.32,34.900002,1071860000,33.027017
"37",34.919998,35.779999,32.57,34.540001,945155500,32.686336
"38",34.75,36.43,31.02,31.84,1111130600,30.131237
"39",32.060001,35.200001,30.84,33.400002,1051265000,31.830242
"40",31.75,33.75,30.950001,33.279999,1242961500,31.715879
"41",33.349998,36.290001,32.799999,35.41,965331500,33.745772
"42",35.669998,38.290001,35.389999,38.130001,800431600,36.613523
"43",38.09,38.98,35.529999,37.41,826617700,35.922157
"44",37.349998,37.889999,34.630001,37.84,930226200,36.335056
"45",37.740002,38.459999,35.689999,38.310001,705304500,37.062212
"46",37.919998,41.5,37.490002,40.990002,778425700,39.654923
"47",41.150002,41.66,38.900002,40.400002,746113500,39.08414
"48",40.240002,40.970001,38.509998,40.939999,574362900,39.88596
"49",40.950001,42.290001,39.860001,41.700001,555779700,40.626396
"50",41.860001,45.709999,41.049999,43.16,731616500,42.048806
"51",43.209999,45.470001,42.209999,45.43,513919700,44.536806
"52",45.43,47.57,44.529999,46.360001,860827300,45.448522
"53",46.27,46.970001,42.099998,46.950001,853235700,46.026922
"54",46.889999,50.049999,46.73,47.810001,522988700,47.165633
"55",47.880001,49.060001,44.900002,46.450001,626740700,45.823962
"56",46.66,47.91,40.349998,40.400002,918956900,39.855503
"57",40.59,44.299999,40.23,43.849998,656204800,43.56686
"58",43.669998,44.189999,40.540001,40.66,824335300,40.397459
"59",40.599998,49.540001,40.119999,48.639999,874535300,48.325932
"60",48.580002,48.91,46.02,46.860001,631981300,46.860001
"61",47.060001,47.77,45.459999,46.610001,203857700,46.610001
