"","stock_data$ABT.Open","stock_data$ABT.High","stock_data$ABT.Low","stock_data$ABT.Close","stock_data$ABT.Volume","stock_data$ABT.Adjusted"
"1",46.379951,49.229948,46.17995,46.77995,255531400,19.510713
"2",46.549959,49.769965,44.589955,49.079949,330509500,20.660079
"3",49.709961,51.699955,48.929949,49.339953,301114400,20.769528
"4",49.719963,52.859958,49.719963,52.239951,235460300,21.990274
"5",52.539951,53.749951,50.929948,51.319964,347207400,21.782116
"6",51.579945,51.639952,46.029951,46.509964,388459000,19.740572
"7",46.889954,48.769967,46.399959,47.909963,361505500,20.334784
"8",48.289954,48.819964,45.069968,45.159965,493167900,19.345506
"9",45.179953,48.55996,45.07995,48.099959,403285600,20.604933
"10",48.189951,49.449957,46.499958,49.049955,383277000,21.01189
"11",49.149957,52.959957,49.049955,52.03995,360534300,22.504415
"12",52.219963,54.239946,51.369961,52.249953,335373500,22.59523
"13",52.219963,52.789949,50.619962,52.619961,296154300,22.755238
"14",52.549952,53.599951,51.159959,51.319964,251935300,22.394773
"15",51.619964,52.619961,46.289955,52.509957,491257700,22.914057
"16",52.399953,53.279944,49.409962,51.139951,344087400,22.31622
"17",50.889952,55.609956,48.959962,53.869961,562774200,23.723604
"18",52.949955,54.779942,52.049956,54.549952,262138000,24.023062
"19",54.189949,56.439946,53.799952,56.229943,285213400,24.762908
"20",56.57994,56.839945,53.959958,54.149953,311848200,24.052667
"21",54.259958,57.199947,53.959958,56.609954,282077100,25.145366
"22",56.599948,61.48994,55.909956,61.289943,348089800,27.224153
"23",61.139943,62.569952,59.039945,62.059949,313330600,27.801947
"24",62.019954,63.199945,61.03994,61.789939,310697900,27.680986
"25",61.149945,64.469953,59.459951,64.469953,265480900,28.881593
"26",64.21995,66.879932,63.509946,66.309946,370081600,29.938389
"27",66.429932,67.449942,65.059946,65.539939,177828100,29.590737
"28",65.259947,70.409939,64.569951,68.55994,238433900,30.954242
"29",68.489935,72.469945,64.51995,65.499944,421217200,29.788572
"30",65.759944,66.279933,62.619953,64.999943,286689900,29.561178
"31",65.08994,66.849942,64.009947,65.499944,297290900,29.788572
"32",32.299999,33.939999,31.639999,33.880001,327308700,32.247189
"33",33.919998,35.290001,33.369999,33.790001,198064800,32.161526
"34",33.689999,35.34,33.27,35.32,147948200,33.617788
"35",35.18,37.549999,34.950001,36.919998,154928900,35.273784
"36",36.77,38.77,35.580002,36.669998,158660700,35.034931
"37",36.630001,37.639999,34.689999,34.880001,146831300,33.324748
"38",34.970001,37.16,33.720001,36.630001,156935000,35.138323
"39",36.889999,37.07,33.23,33.330002,132799800,31.972709
"40",33.68,35.720001,32.700001,33.189999,176037800,31.838407
"41",33.169998,37.619999,32.75,36.549999,190625300,35.210189
"42",36.689999,38.810001,36.610001,38.189999,123309800,36.790071
"43",38.240002,38.57,36.27,38.330002,119120400,36.924942
"44",38.09,39.860001,35.650002,36.66,168285600,35.513606
"45",36.580002,39.98,35.799999,39.779999,166756200,38.536039
"46",39.5,40.490002,38.080002,38.509998,178349600,37.305753
"47",38.490002,39.5,36.650002,38.740002,158565600,37.751467
"48",38.650002,40.130001,38.25,40.009998,112561900,38.989057
"49",40.02,41.299999,39.59,40.900002,111958000,39.856349
"50",41.18,43.27,40.919998,42.119999,127311700,41.265351
"51",42,42.93,41.150002,42.240002,75057500,41.382919
"52",42.169998,44.200001,41.59,41.59,96645700,40.746106
"53",42.049999,44.060001,39.279999,43.59,129690900,42.932407
"54",43.560001,44.77,43.02,44.509998,79729800,43.838526
"55",44.27,46.5,43.099998,45.02,110939100,44.340834
"56",45.25,45.869999,43.360001,44.759998,116044000,44.318111
"57",44.93,47.880001,44.279999,47.369999,112770400,46.902344
"58",47.34,47.849998,46.099998,46.330002,113588200,45.872615
"59",46.330002,48.619999,45.549999,46.419998,98185000,46.196869
"60",46.709999,49.43,46.23,48.599998,89226800,48.36639
"61",48.77,49.200001,48.009998,48.5,35102100,48.266872
