"","stock_data$INTC.Open","stock_data$INTC.High","stock_data$INTC.Low","stock_data$INTC.Close","stock_data$INTC.Volume","stock_data$INTC.Adjusted"
"1",20.35,21.690001,19.4,19.450001,907056500,16.424859
"2",19.43,22.280001,18.959999,20.6,1607900800,17.395994
"3",20.9,21.280001,17.6,17.67,1741791400,15.035539
"4",17.940001,19.620001,17.75,19.200001,1347521700,16.337428
"5",19.469999,20.559999,18.77,20.049999,1399157800,17.060698
"6",20.35,21.809999,20.219999,21.16,1126956500,18.146165
"7",21.459999,22.07,20.65,21.030001,920821000,18.034681
"8",21.01,21.940001,20.27,21.459999,1449438700,18.403435
"9",21.49,22.209999,21.01,21.469999,1002697600,18.567891
"10",21.610001,22.08,19.709999,20.18,1330377500,17.452262
"11",20.379999,23.190001,19.360001,23.15,1446913800,20.020805
"12",23.02,23.959999,22.110001,22.51,1583498800,19.620188
"13",22.450001,22.48,21,22.16,1183643100,19.31512
"14",22.209999,23.389999,22.08,22.33,945313300,19.463296
"15",22.57,22.690001,19.16,20.129999,1552667100,17.717027
"16",20.280001,22.98,19.16,21.34,1336431600,18.781986
"17",21.18,25.200001,20.4,24.540001,1523540600,21.598404
"18",24.110001,25.5,22.51,24.91,1137108100,22.118808
"19",24.870001,25.780001,23.049999,24.25,987696800,21.532762
"20",24.620001,27,24.389999,26.42,1119898300,23.459611
"21",26.74,27.5,26.35,26.879999,782982800,24.058794
"22",27.059999,28.450001,26.200001,28.120001,726544100,25.168651
"23",28.040001,28.780001,27.24,28.4,747858300,25.419262
"24",28.469999,29.27,24.92,25.84,872560200,23.295599
"25",25.4,27.75,24.84,26.65,789493000,24.02584
"26",26.51,26.860001,24.68,25.700001,767755500,23.169385
"27",25.83,26.9,24.15,24.83,753682300,22.581145
"28",25.030001,25.1,22.48,22.66,933236400,20.607682
"29",22.75,23.17,21.219999,21.629999,1116041800,19.670968
"30",21.76,22.540001,19.23,19.57,1158066100,17.980939
"31",19.879999,21.309999,19.5,20.620001,805637100,18.945681
"32",21.15,23.059999,20.879999,21.040001,1220335600,19.331578
"33",21.190001,21.379999,20.1,20.879999,702460600,19.390754
"34",20.790001,22.040001,20.66,21.84,755792900,20.282284
"35",21.67,24,20.75,23.950001,1251872500,22.241791
"36",23.82,24.709999,23.58,24.280001,740062700,22.760663
"37",24.879999,25.98,23.41,24.23,870588100,22.71379
"38",24.35,24.43,22.629999,23.34,1016381600,21.879483
"39",23.41,23.49,21.889999,21.98,648993400,20.806196
"40",22.209999,24.09,21.969999,22.92,645551600,21.695997
"41",22.940001,24.73,22.48,24.469999,797993300,23.163222
"42",24.51,25.290001,23.5,23.84,591599400,22.778123
"43",24,26.040001,23.4,25.959999,614535900,24.803693
"44",25.780001,27.120001,24.4,24.540001,834053300,23.446944
"45",24.5,24.98,23.5,24.76,510845400,23.882737
"46",24.549999,26.059999,24.299999,25.809999,587134100,24.895534
"47",25.799999,27.24,25.639999,26.690001,735619700,25.744356
"48",26.51,27.32,25.74,27.32,491940100,26.578469
"49",27.309999,31,27.120001,30.9,761349300,30.061299
"50",30.99,34.830002,30.440001,33.889999,835628800,32.970143
"51",33.75,35.200001,32.389999,34.919998,593322200,34.198164
"52",34.759998,35.560001,33.630001,34.82,558097600,34.100233
"53",34.610001,34.779999,29.65,34.009998,894696800,33.306975
"54",33.810001,37.689999,33,37.25,562604900,36.719197
"55",37.209999,37.900002,35.330002,36.290001,600034300,35.772878
"56",36.669998,37.490002,33,33.040001,689888100,32.569189
"57",33.060001,34.75,32.610001,33.25,456360300,33.011292
"58",33.290001,34.5,29.309999,31.27,910690800,31.045507
"59",31.129999,33.040001,30.450001,32.549999,568144200,32.316316
"60",32.630001,34.75,31.93,34.459999,496142300,34.459999
"61",34.369999,34.59,31.15,31.82,286900900,31.82
