"","stock_data$COF.Open","stock_data$COF.High","stock_data$COF.Low","stock_data$COF.Close","stock_data$COF.Volume","stock_data$COF.Adjusted"
"1",38.869999,44.779999,38.57,40.299999,93125400,38.345997
"2",40.25,45.200001,38.599998,42.330002,124643000,40.277572
"3",43.09,43.360001,36.689999,37.869999,103442500,36.077902
"4",38.25,40.77,37.400002,39.549999,100729900,37.678401
"5",39.93,41.150002,36.099998,37.27,141653100,35.506297
"6",37.41,41,36.439999,37.23,100595500,35.512491
"7",37.790001,42.950001,37.52,42.560001,82659600,40.596607
"8",43.009998,49.689999,43.009998,48.16,94208300,45.938264
"9",48.540001,52.98,48.310001,49.77,80756200,47.520056
"10",49.880001,52.869999,47.779999,51.959999,103307100,49.611051
"11",52.529999,55.639999,48.830002,54.73,71551400,52.255829
"12",55.130001,56.259998,51.830002,54.34,77169700,51.930353
"13",54.029999,54.029999,47.330002,51.669998,105311300,49.37875
"14",51.740002,54.970001,46.580002,47.799999,143842100,45.680361
"15",48.139999,48.360001,35.939999,46.049999,190242900,44.061934
"16",45.900002,46.279999,39.619999,39.630001,139604300,37.919099
"17",39.369999,47.310001,36.330002,45.66,134655800,43.688772
"18",44.27,46.939999,39.299999,44.66,108452500,42.782792
"19",44.18,47.25,41.27,42.290001,104601000,40.512412
"20",43.389999,49.630001,43.119999,45.75,129943200,43.826976
"21",46.02,51.32,46.009998,50.599998,134841100,48.524418
"22",50.509998,57.490002,48.09,55.740002,138512600,53.453581
"23",55.889999,56.950001,52.509998,55.48,91825400,53.204244
"24",55.279999,56.900002,48.860001,51.369999,98413700,49.310914
"25",50.130001,55.400002,47.990002,54.66,101467400,52.469041
"26",54.869999,58.689999,52.880001,56.490002,68814300,54.22569
"27",56.709999,57.939999,54.18,56.529999,70611900,54.312078
"28",56.5,59.740002,55.139999,57.009998,130086500,54.773245
"29",57.490002,61.330002,56.75,60.169998,88355800,57.809264
"30",60.349998,61.830002,54.450001,57.599998,73159700,55.385443
"31",57.84,59.939999,56.330002,57.93,64543600,55.702757
"32",59.529999,62.919998,55.130001,56.32,131039700,54.154657
"33",56.779999,57.91,50.689999,51.029999,124352200,49.11077
"34",50.209999,55.52,50.209999,54.950001,106309000,52.883341
"35",55.060001,57.93,52.34,57.779999,104891000,55.606904
"36",57.779999,63.630001,57.049999,60.93,82870100,58.933888
"37",61.18,63.119999,59.669998,62.810001,65351900,60.752299
"38",63.169998,70,63.09,69.019997,66979400,66.758851
"39",69.480003,69.790001,63.650002,64.550003,48894600,62.707864
"40",65.309998,69.839996,63.990002,68.739998,48836200,66.778284
"41",69.040001,72.989998,67.360001,68.669998,78483100,66.710282
"42",68.790001,72.18,68.629997,71.629997,54046100,69.885488
"43",72.650002,76.709999,71.019997,76.610001,54825100,74.744206
"44",76.610001,78.489998,69.720001,70.610001,76602800,68.890332
"45",70.519997,74.07,67.860001,73.43,51047600,71.956053
"46",72.690002,77.550003,71.970001,77.160004,56199200,75.611185
"47",77.330002,77.910004,72.629997,73.900002,75477100,72.41662
"48",73.900002,79.239998,73.389999,78.889999,59819600,77.61113
"49",78.919998,83.889999,78.110001,82.599998,68166400,81.260987
"50",83.120003,85.389999,79.540001,79.540001,68130700,78.250594
"51",79.040001,82.660004,77.699997,82.059998,50932800,81.038421
"52",82.339996,84.660004,80.660004,81.620003,58851300,80.603903
"53",81.75,83.099998,75.080002,82.769997,82028500,81.739581
"54",83,83.690002,80.220001,83.199997,45866900,82.467418
"55",82.540001,83.959999,77.720001,82.550003,61845500,81.823147
"56",82.790001,83.239998,73.110001,73.209999,72953500,72.565382
"57",73.699997,80.82,72.769997,78.709999,54968600,78.329023
"58",78.709999,81.989998,77.699997,78.82,57614300,78.438491
"59",78.830002,83.209999,78.57,80.849998,53251600,80.458664
"60",81.239998,85.68,80.970001,83.559998,48517200,83.559998
"61",83.800003,86.989998,83.050003,86.93,24053900,86.93
