"","stock_data$CRM.Open","stock_data$CRM.High","stock_data$CRM.Low","stock_data$CRM.Close","stock_data$CRM.Volume","stock_data$CRM.Adjusted"
"1",91.360001,97.940002,84.5,85.82,178967600,21.455
"2",85.660004,101.489998,83.610001,98.949997,163086800,24.737499
"3",101.099998,114.150002,95.099998,109.879997,268615200,27.469999
"4",111.889999,123.769997,111.18,111.800003,240966000,27.950001
"5",113.089996,117,97.919998,116.07,319368800,29.0175
"6",116.339996,146.449997,109.209999,139.220001,308407600,34.805
"7",142.070007,151.259995,129.660004,132,234303600,33
"8",133.130005,146.619995,122.029999,129.139999,217006400,32.285
"9",130.020004,148,128,132.270004,216401600,33.067501
"10",132.660004,134.779999,117.660004,133.580002,295130400,33.395
"11",134.960007,142.460007,128.199997,138.600006,184078000,34.650002
"12",139.619995,153.990005,127.25,152.259995,235984000,38.064999
"13",150.789993,152.039993,134.699997,148.979996,185873600,37.244999
"14",149.309998,160.119995,141.600006,144.710007,152053200,36.177502
"15",148.570007,148.940002,109.220001,128.75,342050800,32.1875
"16",128.720001,136.990005,113.059998,114.279999,255257600,28.57
"17",112.980003,139.75,109.279999,133.169998,219881200,33.2925
"18",129.399994,137.369995,103.379997,118.419998,297622800,29.605
"19",116.050003,128.449997,94.089996,101.459999,279600000,25.365
"20",104.18,119.970001,95.160004,116.800003,226518800,29.200001
"21",117.349998,146.259995,115.620003,143.160004,261814400,35.790001
"22",143.979996,157.559998,138.339996,154.509995,168503200,38.627499
"23",152.889999,164.75,147.5,155.729996,160855600,38.932499
"24",156.149994,163.5,132.110001,138.619995,302806400,34.654999
"25",134.240005,142.470001,125.25,138.259995,197744800,34.564999
"26",136.910004,143.839996,122.889999,124.360001,200517600,31.09
"27",127.370003,151.970001,120.18,145.179993,250475600,36.294998
"28",144.720001,161.899994,142.910004,152.690002,145049600,38.172501
"29",153.169998,159.850006,142.539993,145.979996,139180400,36.494999
"30",143.25,160.5,139.039993,157.669998,170144800,39.4175
"31",158.699997,172.75,153.229996,168.100006,122377200,42.025002
"32",171.770004,178.910004,166.119995,172.130005,127951200,43.032501
"33",173.979996,175.839996,162,169.220001,112243200,42.305
"34",177.5,187.940002,170.139999,178.830002,148463600,44.7075
"35",178.699997,179.649994,39.75,41.110001,129861500,41.110001
"36",41.209999,47.580002,40.849998,42.330002,138661000,42.330002
"37",42.369999,42.439999,36.09,38.18,182138600,38.18
"38",38.560001,44.419998,37.73,43.75,94649900,43.75
"39",44.169998,49.939999,42.110001,49.130001,125481000,49.130001
"40",49.459999,54.25,48.02,51.91,105773900,51.91
"41",52.139999,56.240002,48.700001,53.360001,88658000,53.360001
"42",53.540001,58.369999,50.990002,52.09,124486200,52.09
"43",52.009998,55.549999,50.119999,55.189999,90028800,55.189999
"44",55.200001,61.490002,54.029999,60.529999,99129500,60.529999
"45",61.099998,67,58.07,62.369999,120484400,62.369999
"46",60.650002,63.869999,53.860001,57.09,145786100,57.09
"47",57.610001,59.349998,48.18,51.650002,139659700,51.650002
"48",51.900002,55.540001,49.18,52.630001,157066400,52.630001
"49",52.630001,58.630001,50.209999,58.080002,110350000,58.080002
"50",58.240002,59.490002,52.48,54.25,87479200,54.25
"51",54.330002,61.009998,52.5,59.09,121571700,59.09
"52",59.200001,61.439999,55.290001,57.529999,91892700,57.529999
"53",57.290001,64.599998,51.040001,63.990002,108542100,63.990002
"54",63.919998,64.739998,56.799999,59.869999,95623400,59.869999
"55",59.09,61.099998,53.439999,59.310001,107375600,59.310001
"56",59.900002,60.43,54.950001,56.450001,83201700,56.450001
"57",56.880001,71,55.450001,69.379997,93191300,69.379997
"58",67.379997,69.889999,63.650002,66.809998,99918700,66.809998
"59",66.510002,78.459999,65.419998,72.82,98160500,72.82
"60",73.370003,76.18,69.290001,72.75,134185200,72.75
"61",72.790001,73.669998,71,73.029999,23690300,73.029999
