"","stock_data$VIAB.Open","stock_data$VIAB.High","stock_data$VIAB.Low","stock_data$VIAB.Close","stock_data$VIAB.Volume","stock_data$VIAB.Adjusted"
"1",33.84,36.34,31.209999,31.370001,76263500,28.576684
"2",31.24,34.48,30.24,33.040001,94162600,30.09798
"3",33.470001,34.68,30.389999,31.42,83621800,28.759704
"4",31.870001,36.990002,31.389999,36.189999,100962800,33.125832
"5",36.57,38.650002,35.700001,38.619999,75147300,35.350087
"6",38.84,39.759998,36.990002,37.830002,73351500,34.764134
"7",38.259998,40.25,38.049999,39.610001,69135500,36.399875
"8",39.759998,43,39.650002,41.549999,74539500,38.18265
"9",41.900002,45.900002,41.860001,44.66,72585000,41.181737
"10",44.759998,47.34,42.720001,46.52,93309900,42.896875
"11",46.799999,51.419998,46.73,51.16,69486300,47.175496
"12",51.400002,51.93,48.91,50.41,82955900,46.483909
"13",50.369999,51.759998,46.77,51,105061700,47.273507
"14",51.130001,52.669998,48.040001,48.419998,72341900,44.882022
"15",48.810001,49.130001,40.130001,48.240002,161029700,44.715177
"16",47.939999,48.52,38.709999,38.740002,112923900,36.11509
"17",38.32,46.080002,35.130001,43.849998,78291100,40.878848
"18",42.43,46.119999,39.860001,44.759998,117622000,41.727189
"19",45.009998,46.27,41.720001,45.41,77555000,42.579499
"20",46.349998,48.84,45.200001,47.040001,77783600,44.107899
"21",47.060001,49.77,44.889999,47.66,85525600,44.689252
"22",48.130001,49.099998,46.529999,47.459999,85116700,44.736978
"23",47.580002,47.740002,45.740002,46.389999,73298400,43.72837
"24",46.380001,49.849998,45.810001,47.73,117905100,44.991487
"25",47.169998,48.77,45.32,47.02,85058900,44.578585
"26",47.43,48.619999,44.970001,46.709999,73593700,44.28468
"27",47.080002,51.57,44.849998,50.009998,94981300,47.413333
"28",49.869999,55.599998,48.93,53.59,111224300,51.083386
"29",53.900002,56.91,50.990002,51.290001,80111900,48.890967
"30",51.599998,52.259998,47.610001,51.610001,94873100,49.195999
"31",51.880001,54.82,50.830002,52.740002,86034300,50.527914
"32",53.860001,60.84,53.860001,60.349998,74972300,57.818723
"33",60.23,60.700001,57.130001,58.5,58787400,56.04632
"34",58.169998,64.709999,58.119999,61.48,54333600,59.163963
"35",61.77,66.889999,60.82,63.990002,72346500,61.57941
"36",65.739998,70.910004,65.699997,65.889999,61783800,63.407832
"37",65.610001,68.620003,64.550003,68.029999,53738700,65.76158
"38",68.519997,74.900002,66.82,72.769997,48324100,70.343526
"39",73.519997,80.959999,73.279999,79.559998,74895500,76.907118
"40",80.739998,85.220001,78.739998,83.580002,66647200,81.094359
"41",83.779999,86.059998,79.290001,83.290001,52639500,80.812983
"42",83.669998,85.5,78.830002,80.169998,68452500,77.785768
"43",81,87.839996,80.220001,87.339996,56667100,85.051397
"44",87.449997,87.57,80.610001,82.099998,58211500,79.948705
"45",82.150002,88.470001,78.43,87.730003,44624800,85.431185
"46",87.330002,89.269997,83.419998,84.989998,48989300,83.04538
"47",86.040001,88.029999,81.190002,84.980003,48126300,83.035614
"48",83.260002,86.120003,81.75,85.330002,43292900,83.377604
"49",85.419998,88.5,84.300003,86.730003,39139400,85.066873
"50",86.879997,89.760002,82.639999,82.669998,53783300,81.084723
"51",82.809998,83.059998,79.269997,81.150002,51048200,79.593873
"52",81.150002,81.989998,76.519997,76.940002,56120000,75.77625
"53",76.669998,76.790001,65.860001,72.68,71258400,71.580682
"54",72.669998,75.779999,68.599998,75.629997,72421800,74.486059
"55",75.360001,78,72.139999,75.25,72417600,74.448356
"56",75.830002,76.290001,64.199997,64.419998,82089200,63.733727
"57",64.470001,71.269997,63.110001,69.940002,71413900,69.194926
"58",70,71.989998,66.800003,68.300003,69617000,67.893152
"59",67.690002,73.519997,65.800003,69.449997,64186000,69.036295
"60",69.769997,70.709999,63.98,66.879997,58956300,66.481605
"61",67.349998,69.169998,65.989998,67.150002,25964300,66.75
