"","stock_data$NBL.Open","stock_data$NBL.High","stock_data$NBL.Low","stock_data$NBL.Close","stock_data$NBL.Volume","stock_data$NBL.Adjusted"
"1",62.450001,67.370003,59.91,60.330002,57940400,28.69328
"2",60.209999,69.839996,59.220001,67.059998,72191200,31.894103
"3",68.110001,70.849998,63.799999,69.779999,73034400,33.274692
"4",71.300003,77.629997,70.5,75.089996,63193800,35.806772
"5",75.959999,81.720001,75.07,81.480003,65134400,38.853856
"6",82.120003,85.949997,79.870003,81.25,63858000,38.8279
"7",82.730003,89,81,86.080002,56896000,41.13607
"8",86.110001,91.239998,81.269997,91.099998,63663800,43.535036
"9",91.309998,92.919998,85.949997,92.660004,66925000,44.370282
"10",93.169998,98.989998,86.25,96.650002,69221800,46.280894
"11",93.93,98.720001,90.980003,96.269997,51512800,46.098929
"12",96.82,97,85.209999,93.199997,62118200,44.719168
"13",93.300003,93.790001,82.5,89.629997,58624800,43.006213
"14",89.650002,100.459999,88.57,99.68,54556000,47.8284
"15",101.040001,101.269997,79,88.360001,91354600,42.494156
"16",88.989998,90.43,69.25,70.800003,93304600,34.049189
"17",69.889999,94.879997,65.910004,89.339996,83306600,42.965456
"18",86.440002,98.540001,84.339996,98.389999,69604200,47.435775
"19",97.919998,99.169998,87.519997,94.389999,52115800,45.507296
"20",96.870003,103.160004,94.040001,100.669998,50074400,48.535008
"21",101.75,105.459999,97.5,97.650002,60896800,47.180952
"22",97.919998,100.900002,93.57,97.779999,65305600,47.243762
"23",97.68,100.980003,91.760002,99.32,44240800,47.987835
"24",99.830002,100.75,81.5,84.459999,56268600,40.899395
"25",82.639999,87.139999,76.830002,84.82,56268200,41.073724
"26",85,91.230003,82.330002,87.43,50821600,42.337606
"27",87.959999,91.019997,85.199997,87.900002,41795200,42.671255
"28",87.120003,97.599998,85.949997,92.709999,38004400,45.006279
"29",91.059998,96.760002,90,95.010002,44676800,46.122821
"30",95,98.57,91.209999,97.75,47844000,47.57815
"31",98.830002,103.080002,95.510002,101.739998,39884200,49.520213
"32",103.43,110.080002,101.860001,107.790001,32140800,52.464949
"33",108.510002,115.589996,107.260002,110.830002,40682000,54.063628
"34",110.150002,116.639999,108.029999,115.660004,38223000,56.419736
"35",116.349998,118.480003,105.239998,113.290001,52090400,55.263632
"36",112.610001,123.209999,57.639999,57.650002,56166200,56.386477
"37",57.790001,61.77,56.259998,60.040001,38520800,58.724094
"38",60.310001,66.300003,59.849998,62.490002,36609200,61.120398
"39",63.16,65.160004,61,61.43,28449200,60.218541
"40",62.099998,68.43,61.650002,67.010002,28258100,65.6885
"41",67.059998,78.010002,64.360001,74.93,45345500,73.587704
"42",75.110001,76.919998,68.580002,70.239998,39647700,68.981719
"43",70.099998,70.739998,65.790001,68.110001,49350200,66.889878
"44",67.860001,67.949997,61.75,62.330002,47151400,61.213422
"45",62.419998,70.5,60.139999,68.760002,60794100,67.68309
"46",68.480003,71.980003,65.370003,71.040001,35722800,69.92738
"47",71.07,76.290001,69.220001,71.779999,39323400,70.655788
"48",71.540001,72.459999,68.830002,72.07,36293300,71.119592
"49",72.360001,79.629997,71.260002,77.459999,39066400,76.438512
"50",77.830002,77.93,65.669998,66.489998,61422100,65.789819
"51",66.050003,72.849998,65.879997,72.139999,51693400,71.380323
"52",71.93,72.059998,67.900002,68.360001,41979500,67.640129
"53",68.339996,68.730003,52.650002,57.630001,73742900,57.203259
"54",58.080002,58.200001,48.939999,49.18,60614600,48.815829
"55",49.110001,52.360001,42.110001,47.43,95280600,47.078788
"56",47.07,48.139999,41.009998,47.740002,74006500,47.386493
"57",48.75,52.419998,45.77,47.23,85605600,47.057137
"58",47.23,49.720001,43.310001,48.900002,86327800,48.721026
"59",49.27,53.68,48.240002,50.720001,61478700,50.534365
"60",50.759998,52.689999,42.799999,43.779999,109970800,43.779999
"61",43.580002,46.900002,42.990002,46.630001,38192600,46.630001
