"","stock_data$CME.Open","stock_data$CME.High","stock_data$CME.Low","stock_data$CME.Close","stock_data$CME.Volume","stock_data$CME.Adjusted"
"1",297.649994,314.050007,280.779991,281.550007,55508500,45.537077
"2",281.299992,289.720001,264.519997,278.799992,71909500,45.092298
"3",281.970005,287.029991,234.500008,248.16,78811000,40.136675
"4",252.639999,274.979992,250.170002,260.450001,56521500,42.312705
"5",261.000004,292.159996,255.620003,289.650002,70552000,47.056537
"6",290.909996,299.489994,279.769993,288.059998,48439500,46.798225
"7",292.910004,327.999992,292.210007,321.749992,51756500,52.463659
"8",322.999992,323.429985,301.219997,308.560009,47761500,50.312937
"9",309.750004,317.369995,290.499992,311.280003,80453500,50.756452
"10",311.459999,312.089996,279.580002,301.550007,63632500,49.39749
"11",303.439999,312.999992,294.909992,295.769997,36485000,48.450655
"12",297.900009,301.110001,282.800007,285.760002,50333500,46.810899
"13",284.34,293.129997,261.100006,291.590004,50261000,48.013819
"14",290.049992,300,276.760006,289.190006,37911500,47.61863
"15",294.419994,294.559994,236.499996,267.119999,79481500,43.984536
"16",267.560005,273.509998,246.270008,246.399994,57243000,40.796904
"17",244.370003,280.760002,238.290005,275.559998,71367000,45.62498
"18",260.279999,279.920006,235.230007,249.279995,92663000,41.273752
"19",247.280006,259.750004,237.099991,243.670006,50241000,40.582729
"20",247.420006,249.519997,224.689999,239.510002,69682500,39.889889
"21",241.889992,296.989994,240.799999,289.489994,102685000,48.213952
"22",287.070007,304.610004,267.479992,289.330006,78562000,49.121749
"23",289.319992,294.379997,264.899998,265.820007,46804500,45.130279
"24",265.809994,270.599995,248.999996,257.57,58953000,43.729612
"25",253.029995,284.430008,252.479992,268.110008,47729500,45.900734
"26",268.990002,273.220005,50.169998,52.110001,46383500,44.606453
"27",52.279999,54.959999,49.540001,54.900002,43055500,46.994709
"28",54.900002,60,54.099998,57.290001,49205600,49.442827
"29",57.880001,58,54.16,55.93,34331600,48.269109
"30",56.18,57.48,53.43,55.27,27748400,47.699511
"31",55.560001,55.82,49.790001,50.669998,51885300,45.205193
"32",51.299999,58.34,51,57.84,40884900,51.601904
"33",58.16,60.099998,56.389999,59.669998,43459200,53.234535
"34",59.82,63.630001,59.110001,61.41,38592300,55.189851
"35",61.990002,61.990002,58.360001,60.860001,30668300,54.695561
"36",60.84,70.400002,58.619999,67.93,41967800,61.049448
"37",67.970001,79.449997,66.580002,75.949997,58477300,68.703427
"38",76.010002,78.120003,73.07,74.059998,42003100,66.993757
"39",74.839996,75.370003,70.309998,71.110001,39407100,64.325227
"40",71.940002,75.5,70.279999,73.879997,37901600,67.243354
"41",73.800003,78.019997,71.580002,74.209999,31145300,67.543712
"42",74.199997,84.349998,72.169998,81.949997,31527600,74.588425
"43",82.019997,84.709999,77.589996,78.459999,42086300,74.139559
"44",77.959999,79.970001,72.110001,74.760002,50138800,70.643304
"45",74.480003,78,70.519997,73.82,33483800,69.755064
"46",73.18,77.75,72.769997,74.019997,37553900,70.376881
"47",74.419998,75,66.440002,70.389999,44145400,66.925544
"48",70.809998,72.480003,67.540001,72,29519900,68.456304
"49",72.059998,72.489998,69.160004,70.949997,29466500,67.91721
"50",70.980003,76.220001,69.739998,73.940002,30982400,70.779407
"51",73.709999,77.419998,72.25,76.550003,28218500,73.277842
"52",76.580002,83.660004,75.300003,79.959999,34046100,77.015553
"53",79.959999,83.879997,75.940002,83.809998,41854800,80.723779
"54",84.110001,86.400002,82.510002,84.639999,24497900,81.523217
"55",84.589996,93.910004,84.010002,88.650002,34074100,87.732618
"56",89.220001,89.970001,83.43,85.300003,31160800,84.417286
"57",85.839996,97.120003,84.769997,95.93,27768000,94.93728
"58",95.730003,100.610001,93.68,94.709999,41158800,94.21646
"59",94.480003,94.980003,88.220001,90.910004,34832700,90.436267
"60",91.639999,96.489998,89.760002,94.199997,25663400,93.709116
"61",94.480003,98.660004,93.5,98.589996,14196900,98.589996
