"","stock_data$HSY.Open","stock_data$HSY.High","stock_data$HSY.Low","stock_data$HSY.Close","stock_data$HSY.Volume","stock_data$HSY.Adjusted"
"1",51.619999,52.099998,47.779999,47.93,32572900,42.783698
"2",47.68,51.669998,45.529999,47,44062000,41.953553
"3",47.349998,47.959999,45.540001,46.470001,32531000,41.76038
"4",46.84,48.25,45.310001,47.59,32202800,42.766869
"5",47.860001,51.75,47.349998,49.490002,28979000,44.47431
"6",49.669998,49.700001,45.939999,46.799999,24080300,42.348235
"7",47.189999,48.560001,45.669998,47.150002,22581100,42.664944
"8",47.32,50.009998,46.240002,46.689999,23255700,42.248698
"9",46.790001,52.529999,46.790001,52.32,31242100,47.66295
"10",52.439999,55.049999,52.119999,54.349998,29770700,49.512257
"11",54.459999,58.200001,54.139999,57.709999,24047900,52.57318
"12",57.709999,57.98,53.77,55.73,29677800,51.083346
"13",55.75,57.259998,53.799999,56.849998,23868500,52.109962
"14",57.02,59.450001,56.029999,56.439999,24764200,51.734147
"15",56.84,58.91,53.830002,58.650002,41339000,54.091647
"16",58.790001,60.959999,55.779999,59.240002,26028700,54.635792
"17",59.029999,60.900002,56.400002,57.23,28792800,52.78201
"18",56.389999,58.880001,55.32,57.68,29606300,53.525206
"19",57.68,62.259998,57.5,61.779999,21230100,57.329875
"20",62.099998,62.380001,60.52,61.080002,18827500,56.6803
"21",61,61.919998,59.32,60.700001,32466200,56.68264
"22",60.77,61.599998,59.43,61.330002,21086800,57.270945
"23",61.330002,67.129997,59.509998,67.010002,31096200,62.575021
"24",67,69.459999,66.510002,66.860001,29965300,62.786327
"25",66.110001,72.029999,65.43,72.029999,28825500,67.641326
"26",71.970001,72.970001,70.059998,71.739998,19194900,67.368994
"27",72,73.160004,70.720001,71.82,20263800,67.799634
"28",71.970001,73.419998,69.849998,70.889999,15129600,66.921694
"29",71.029999,72,68.089996,68.849998,17534500,64.995889
"30",68.879997,73.290001,68.230003,73.269997,18910400,69.570938
"31",73.279999,74.709999,70.949997,72.220001,15475800,68.573952
"32",72.860001,79.959999,72.540001,79.449997,22579200,75.438939
"33",80,83.669998,78.449997,83.339996,23439000,79.545773
"34",83,87.620003,82.57,87.529999,18791200,83.545017
"35",87.349998,91.989998,84.839996,89.160004,26464900,85.100813
"36",88.919998,91.300003,87.32,89.110001,25154700,85.458885
"37",89.010002,90.120003,85.139999,89.279999,24255500,85.621918
"38",89.419998,95.419998,88.75,94.870003,18751900,90.982882
"39",95.480003,98,90.239998,91.949997,16449400,88.633827
"40",92.779999,94.32,89.279999,92.5,13591400,89.163995
"41",92.269997,101.370003,90.550003,99.239998,15962900,95.660915
"42",99.349998,99.989998,94.510002,96.889999,13291100,93.875077
"43",96.739998,97.849998,93.150002,97.230003,12066000,94.204501
"44",97.18,99.980003,95.18,99.400002,20000600,96.306975
"45",98.970001,108.690002,97.660004,105.82,27067600,102.990958
"46",105.309998,107.540001,102.510002,104.400002,19169300,101.608923
"47",103.75,104.68,95.110001,96.239998,27125200,93.667072
"48",96.029999,98.290001,95.339996,97.339996,21888500,95.211523
"49",97.330002,100.160004,95.93,97.370003,18775400,95.240873
"50",97.739998,97.739998,88.099998,88.150002,29009200,86.22248
"51",88.400002,92.720001,87.879997,91.419998,23244700,89.944241
"52",91.410004,95.650002,89.629997,95.43,23531000,93.889511
"53",95.07,96,89.669998,95.910004,25586700,94.361766
"54",96,100.449997,94.949997,100.279999,19328600,99.218277
"55",100.239998,107,97.699997,103.93,21040600,102.829634
"56",104.330002,111.349998,98.730003,102.209999,31635500,101.127843
"57",102,107.57,101.559998,103.779999,23028600,103.196044
"58",103.779999,104.199997,98.269997,100.910004,21117800,100.342197
"59",100.139999,102.559998,91.129997,91.919998,29840300,91.402777
"60",92.309998,96.400002,92.309998,92.860001,20979100,92.860001
"61",92.919998,93.230003,90.709999,91.110001,7930300,91.110001
