"","stock_data$VLO.Open","stock_data$VLO.High","stock_data$VLO.Low","stock_data$VLO.Close","stock_data$VLO.Volume","stock_data$VLO.Adjusted"
"1",16.679999,18.919997,16.67,17.98,157187900,14.904962
"2",18.029996,18.200002,16.660001,16.989995,237356000,14.084273
"3",17.249995,18.389997,15.49,15.769999,231520800,13.111832
"4",16.01,17.599998,15.909998,17.509995,152073200,14.558537
"5",17.690001,18.679994,17.170002,17.950002,136480500,14.924377
"6",18.119999,20.199998,17.769994,19.480003,166013200,16.237134
"7",19.750004,23.7,19.689999,23.120004,180538000,19.271177
"8",23.479997,25.789999,23.010002,25.360003,208627300,21.13828
"9",25.750002,30.420003,25.529999,28.179996,298100800,23.530884
"10",28.169997,30.960003,25.600004,29.82,311298600,24.900323
"11",30.060002,31.12,26.650003,28.299996,249631000,23.631087
"12",28.419997,28.699995,25.210005,27.499998,222749300,23.006184
"13",27.34,27.649996,22.959996,25.569996,234595000,21.391566
"14",25.569996,27.099999,24.109997,25.120002,205360300,21.015106
"15",25.409999,25.549998,17.869998,22.719995,353957200,19.052865
"16",22.849995,23.849998,17.769994,17.780006,244160500,14.910217
"17",17.650004,26.859996,16.400001,24.600001,298992900,20.629427
"18",23.999996,26.439999,20.170001,22.269999,275054100,18.789283
"19",22.230002,23.219996,19.819998,21.050003,178416000,17.759968
"20",21.349999,24.86,19.120002,23.989997,262441200,20.240452
"21",24.519997,25.860003,23.900004,24.489999,203617900,20.787987
"22",24.629998,28.679996,24.629998,25.77,268544800,21.874497
"23",25.659999,26.540002,23.049999,24.700003,195135700,20.966245
"24",24.950003,25.500002,20.989998,21.099999,187097500,18.036621
"25",20.629996,24.61,20.000004,24.149994,210773300,20.643806
"26",24.48,28.090003,23.469998,27.499998,200759100,23.507443
"27",27.669994,31.480003,26.650003,31.259999,240758800,26.883219
"28",31.299995,34.360002,30.469999,31.679997,182032200,27.244413
"29",31.959995,33.440003,27.889999,29.099995,206189400,25.025642
"30",28.709994,32.43,28.070005,32.260002,178446700,27.909561
"31",32.329996,34.490002,30.960003,34.119999,158672800,29.518727
"32",34.980003,44.400001,34.049994,43.730002,247702600,37.832767
"33",44.189997,47.849996,43.509999,45.589999,190492900,39.613684
"34",45.310001,48.97,42.509994,45.489994,246818600,39.526789
"35",45.300002,45.530004,37.669996,40.320003,265293700,35.034523
"36",39.969999,42.700001,35.810001,40.630001,175859500,38.810853
"37",40.68,40.860001,33.27,34.77,152322900,33.213225
"38",34.580002,36.330002,33,35.77,178194200,34.168452
"39",36.150002,37.5,34.110001,35.529999,132167600,34.146113
"40",36.119999,37.279999,33.700001,34.150002,124422500,32.819866
"41",34.150002,42.150002,33.200001,41.169998,199130700,39.566435
"42",41.34,46.369999,39.009998,45.720001,157701200,44.164495
"43",45.919998,50.540001,44.529999,50.400002,187447500,48.68527
"44",50.139999,53.639999,48.599998,51.099998,179628300,49.361451
"45",51.09,52.639999,45.900002,47.98,173210500,46.586164
"46",48.029999,55.959999,47.84,53.099998,164906500,51.557425
"47",53.59,58.970001,50.610001,57.169998,147128400,55.50919
"48",57.139999,59.689999,53.68,56.049999,127776000,54.669775
"49",56.369999,58.130001,50.029999,50.099998,182612100,48.866292
"50",50.299999,51.5,47.77,50.799999,178058500,49.549055
"51",50.720001,54.610001,49.369999,54.139999,107143600,53.084927
"52",54.139999,54.439999,45.73,46.27,175041300,45.368297
"53",46.389999,50.169998,42.529999,50.09,182807800,49.113853
"54",50.169998,52.07,48.279999,48.610001,137410500,47.928913
"55",48.200001,52.099998,45.349998,49.5,169471900,48.806442
"56",49.549999,53.900002,43.450001,52.880001,187361900,52.139085
"57",53.400002,62.91,52.919998,61.689999,152231000,61.272397
"58",61.130001,64.489998,56.299999,63.619999,162550200,63.189332
"59",63.970001,64.279999,56.09,56.900002,149348400,56.514825
"60",57.049999,61.25,56.959999,59.240002,104404400,59.240002
"61",59.209999,59.939999,56.759998,58.209999,39344500,58.209999
