"","stock_data$HCN.Open","stock_data$HCN.High","stock_data$HCN.Low","stock_data$HCN.Close","stock_data$HCN.Volume","stock_data$HCN.Adjusted"
"1",43.209999,44.84,41.66,42.119999,30217400,32.644776
"2",42.02,46,40.849998,45.310001,37746300,35.117162
"3",45.889999,46.66,44.09,45.93,29770800,36.139666
"4",46.330002,48.540001,45.919998,47.34,32938700,37.249114
"5",47.599998,51.369999,46.740002,51.099998,24002600,40.20764
"6",51.259998,52.060001,45.130001,46.279999,32706800,36.920721
"7",44.450001,47.959999,44.07,47.639999,51901200,38.005687
"8",48.029999,49.279999,46.75,49.080002,31826900,39.154475
"9",49.43,52.240002,48.139999,52.220001,25552500,42.250321
"10",51.299999,52.740002,50.169998,52.439999,82969800,42.428317
"11",52.610001,55.209999,51.599998,53.77,36206600,43.504399
"12",54.09,54.259998,50.5,53.189999,37426700,43.628176
"13",53.040001,53.77,49.790001,52.43,37944300,43.0048
"14",52.439999,54.630001,51.700001,52.779999,30878200,43.29188
"15",50.740002,51.310001,41.029999,50.959999,83061100,42.440601
"16",51.09,51.529999,46.150002,46.799999,45179400,38.976062
"17",46.619999,53.880001,43.650002,52.689999,49962700,43.881382
"18",50.849998,53.77,47.080002,50.169998,56004900,42.354159
"19",50,55.169998,49.310001,54.529999,36277800,46.034928
"20",55.209999,57.48,53.599998,57.209999,35007900,48.297419
"21",57.43,57.66,53.259998,54.439999,56026600,46.560997
"22",54.580002,55.330002,53.509998,54.959999,44853800,47.005738
"23",54.84,56.91,52.400002,56.700001,29963200,48.493913
"24",56.740002,57.950001,53.720001,55.470001,31992400,48.066166
"25",54.52,58.34,53.509998,58.299999,34456000,50.518431
"26",58.52,62.549999,58.040001,62.23,32397900,53.923876
"27",62.400002,62.799999,57.130001,58.439999,51224100,51.249561
"28",58.419998,59.939999,56.48,57.740002,67441800,50.635691
"29",57.919998,60.91,56.880001,59.43,35165700,52.117753
"30",59.509998,60.73,58,58.889999,42063000,52.296023
"31",59,61.330002,58.169998,61.290001,35874700,54.427293
"32",62.080002,63.419998,60.779999,62.84,35642100,55.803737
"33",62.18,64.870003,61.439999,64.139999,38285600,57.660115
"34",63.700001,67.919998,63.41,67.910004,33514300,61.049247
"35",67.599998,74.980003,67.599998,74.970001,35457600,67.395993
"36",74.82,80.07,67.989998,68.029999,70215300,61.782466
"37",67.379997,68.940002,61.619999,67.029999,48566200,60.874301
"38",67.559998,68.790001,63.25,64.489998,36262800,58.567561
"39",64.669998,64.849998,58.16,61.439999,46723500,56.477196
"40",61.799999,66.080002,59.880001,62.380001,32310900,57.34127
"41",62.380001,66.760002,61.279999,64.849998,37227200,59.611754
"42",64.900002,65.400002,55.900002,55.990002,35392600,52.097333
"43",56.16,56.240002,52.43,53.57,43549000,49.84558
"44",53.150002,58.110001,52.900002,57.919998,50725700,53.893148
"45",57.82,59.080002,55.869999,58.740002,33990100,55.430472
"46",58.470001,59.93,56.450001,59.599998,35599300,56.242015
"47",59.66,63.360001,58.91,63.09,33197100,59.535383
"48",63.02,65.25,62.099998,63.23,48430500,60.422419
"49",63.25,64.940002,61.509998,62.669998,55363800,59.887284
"50",62.27,64.860001,61.419998,63.630001,36381400,60.80466
"51",63.689999,67.580002,62.82,67.580002,38907700,65.390272
"52",67.830002,68.360001,62.23,62.369999,59018800,60.349084
"53",62.529999,71.150002,62.049999,71.110001,55134700,68.805892
"54",71.309998,74.379997,69.980003,73.660004,37448300,72.073869
"55",73.529999,78.169998,73.220001,75.669998,46461000,74.040582
"56",76.050003,84.879997,75.309998,81.949997,48277000,80.185352
"57",81.82,82.050003,75.650002,77.110001,62446200,76.219894
"58",77.440002,80.349998,73.199997,77.360001,58569600,76.467008
"59",77.459999,79.599998,71.529999,72.019997,35323000,71.188646
"60",72.25,73.160004,69.769997,70.260002,40943700,70.260002
"61",70.419998,71.470001,67.610001,68.309998,18810200,68.309998
