"","stock_data$STJ.Open","stock_data$STJ.High","stock_data$STJ.Low","stock_data$STJ.Close","stock_data$STJ.Volume","stock_data$STJ.Adjusted"
"1",36.459999,38.110001,35.66,36.09,37461700,33.03666
"2",36.02,37.509998,34.25,36.77,68895600,33.65913
"3",37.18,38.689999,34.419998,34.57,45229500,31.645257
"4",34.970001,39.52,34.970001,39.34,42818800,36.011699
"5",39.639999,40.66,38.049999,38.299999,62908400,35.059686
"6",38.330002,39.779999,37.380001,38.689999,68109300,35.41669
"7",39.060001,42.98,38.91,42.75,57691300,39.133201
"8",42.360001,43,40.139999,40.5,82543300,37.073559
"9",40.77,48.509998,40.400002,47.880001,82044300,43.829186
"10",48.18,52.279999,46.73,51.259998,77633300,47.115532
"11",51.740002,53.93,50.73,53.439999,63488300,49.119276
"12",53.73,54.18,48.400002,50.669998,58606300,46.573235
"13",50.43,50.73,46.009998,47.68,69140300,44.024446
"14",47.91,49.790001,45.419998,46.5,67922800,42.934915
"15",46.98,46.98,40.040001,45.540001,89321000,42.048517
"16",45.610001,46.259998,35.419998,36.189999,71599500,33.596408
"17",35.880001,41.98,33.540001,39,94302200,36.205028
"18",37.990002,40.23,34.720001,38.439999,78157500,35.68516
"19",38.240002,39.02,32.130001,34.299999,96299900,32.035398
"20",34.810001,41.98,34.23,41.709999,74282300,38.956165
"21",41.93,43.740002,41.419998,42.119999,59719500,39.339096
"22",42.330002,44.799999,38.919998,44.310001,67984200,41.599319
"23",43.32,44.099998,37.259998,38.720001,96887500,36.351289
"24",38.73,40.919998,37.209999,38.419998,68238800,36.069639
"25",37.75,40.02,34.82,39.91,89254000,37.699406
"26",39.860001,40.099998,35.57,37.360001,61317400,35.29065
"27",37.59,39.099998,36.34,37.759998,53639400,35.668492
"28",37.810001,43.310001,37.810001,42.130001,45203100,40.014531
"29",42.290001,43.759998,37.779999,38.259998,72120900,36.338852
"30",38.450001,39.220001,30.25,34.279999,115655700,32.5587
"31",34.130001,36.799999,33.439999,36.139999,71670100,34.545524
"32",36.709999,41.790001,36.119999,40.700001,79983800,38.90434
"33",41.009998,43.040001,40.279999,41,63989600,39.191104
"34",40.849998,43.23,39.93,40.439999,48960600,38.889067
"35",40.5,42.830002,39.790001,41.220001,51025600,39.639156
"36",40.970001,47.450001,40.549999,43.23,53759100,41.572068
"37",43.400002,46.18,42.029999,45.630001,44522300,44.123589
"38",45.75,52.84,45.380001,52.389999,42067500,50.660415
"39",52.57,54.060001,50.119999,50.41,27076500,48.745782
"40",50.75,54.360001,49.939999,53.639999,30074200,52.116144
"41",53.619999,58.509998,53.48,57.389999,58339500,55.75961
"42",57.400002,59.290001,56.02,58.419998,30631300,56.760348
"43",58.52,63.150002,57.299999,61.950001,46101700,60.430866
"44",61.700001,68.389999,60.27,60.73,70041000,59.240782
"45",60.57,68.25,59.16,67.32,43436100,65.669182
"46",66.669998,68.790001,63.43,65.389999,38280800,64.051753
"47",65.610001,67.5,59.849998,63.470001,46615500,62.171049
"48",63.32,66.529999,62.110001,64.900002,36921900,63.571783
"49",64.919998,70.589996,64.010002,69.25,29876000,68.093688
"50",69.550003,71.900002,65.129997,65.190002,37334200,64.101483
"51",65.209999,66.580002,62.610001,65.589996,31024800,64.494798
"52",65.690002,65.989998,60.07,60.130001,29861700,59.388107
"53",60.279999,66.790001,54.799999,64.169998,54614100,63.378258
"54",64.18,68.459999,63.450001,67.959999,32663900,67.121498
"55",67.610001,70.239998,63.849998,65.029999,32570700,64.489602
"56",65.07,68.760002,63.93,65.870003,54161100,65.322626
"57",65.959999,68.82,64.629997,66.68,39533700,66.125892
"58",66.68,68.989998,64,65.400002,38368100,65.145936
"59",65.379997,75.730003,64.809998,70.050003,44443400,69.777873
"60",70.730003,75.230003,70.599998,73.75,27857600,73.463497
"61",74.150002,75.169998,72.809998,74.440002,8614200,74.150818
